ResourceID,brocade.id,card,order,External Relation,External Relation URL,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type
0bcab4b7-8d1d-5d86-a490-a1f7ec90800d,tg:rubgr:1966,ExternalRelations,1,gepubliceerd in /als,https://anet.be/record/rub/opacrub/c:lvd:13267875,Bibliotheekcatalogus van het Rubenianum,,,
675ad524-cfb6-5d06-9684-ac3f31dd37ec,tg:rubgr:3776,ExternalRelations,1,relatie naar geheel,https://anet.be/record/rub/opacrub/tg:rubgr:3773,Verwijzing naar Grossmann object,,,
e5ecf9b6-1d4c-50c9-95e6-1013d54013e5,tg:rubgr:142,ExternalRelations,1,relatie naar geheel,https://anet.be/record/rub/opacrub/tg:rubgr:127,Verwijzing naar Grossmann object,,,
291b64fa-e066-533a-80b3-f35509e95957,tg:rubgr:904,ExternalRelations,1,gepubliceerd in /als,https://anet.be/record/rub/opacrub/c:lvd:13261600,Bibliotheekcatalogus van het Rubenianum,,,
291b64fa-e066-533a-80b3-f35509e95957,tg:rubgr:904,ExternalRelations,2,gepubliceerd in /als,https://anet.be/record/rub/opacrub/c:lvd:3243414,Bibliotheekcatalogus van het Rubenianum,,,
5793d084-6d19-50ab-ab38-f08121b1073b,tg:rubgr:5122,ExternalRelations,1,gerelateerd onderdeel,https://anet.be/record/rub/opacrub/tg:rubgr:5126,Verwijzing naar Grossmann object,,,
dc371fd6-36b1-5690-be18-81dccbaa9287,tg:rubgr:2599,ExternalRelations,1,relatie naar geheel,https://anet.be/record/rub/opacrub/tg:rubgr:2593,Verwijzing naar Grossmann object,,,
f09d1fb6-af76-596a-b722-0c1f52f567b0,tg:rubgr:553,ExternalRelations,1,relatie naar geheel,https://anet.be/record/rub/opacrub/tg:rubgr:550,Verwijzing naar Grossmann object,,,
0ba17f58-abe3-5f39-9ded-a3ada2b01f2f,tg:rubgr:1136,ExternalRelations,1,relatie naar geheel,https://anet.be/record/rub/opacrub/tg:rubgr:1132,Verwijzing naar Grossmann object,,,
0ba17f58-abe3-5f39-9ded-a3ada2b01f2f,tg:rubgr:1136,ExternalRelations,2,relatie naar geheel,https://anet.be/record/rub/opacrub/tg:rubgr:1135,Verwijzing naar Grossmann object,,,
b5ba90dd-edf5-5023-8135-90d87cd5b893,tg:rubgr:3808,ExternalRelations,1,relatie naar geheel,https://anet.be/record/rub/opacrub/tg:rubgr:3773,Verwijzing naar Grossmann object,,,
0a29270b-6c2e-5b0b-a9c6-5f039e0f246a,tg:rubgr:2624,ExternalRelations,1,relatie naar geheel,https://anet.be/record/rub/opacrub/tg:rubgr:2623,Verwijzing naar Grossmann object,,,
0faebee2-98b4-5dd3-97bf-77e6461137b6,tg:rubgr:20,ExternalRelations,1,gerelateerd onderdeel,https://anet.be/record/rub/opacrub/tg:rubgr:19,Verwijzing naar Grossmann object,,,
