ResourceID,brocade.id,card,order,source_field,Legacy Subject,Legacy Subject Type
0bcab4b7-8d1d-5d86-a490-a1f7ec90800d,tg:rubgr:1966,Subjects,a::rub.50,ow.link,a::rub.50,related artworks
720fd76d-d5a6-5e2b-b964-dbd86d71de31,tg:rubgr:284,Subjects,a::rub.9,ow.link,a::rub.9,related artworks
e5ecf9b6-1d4c-50c9-95e6-1013d54013e5,tg:rubgr:142,Subjects,a::rub.7,ow.link,a::rub.7,related artworks
ea56551b-1143-5c33-aa7d-fda9ed25be41,tg:rubgr:1874,Subjects,a::rub.49:1,ow.link,a::rub.49:1,related artworks
ea56551b-1143-5c33-aa7d-fda9ed25be41,tg:rubgr:1874,Subjects,a::rub.9:1,ow.link,a::rub.9:1,related artworks
291b64fa-e066-533a-80b3-f35509e95957,tg:rubgr:904,Subjects,a::rub.24,ow.link,a::rub.24,related artworks
5793d084-6d19-50ab-ab38-f08121b1073b,tg:rubgr:5122,Subjects,a::rub.25,ow.link,a::rub.25,related artworks
442f8d59-3201-577b-ae69-8f1998987cb8,tg:rubgr:154,Subjects,a::rub.7,ow.link,a::rub.7,related artworks
f09d1fb6-af76-596a-b722-0c1f52f567b0,tg:rubgr:553,Subjects,a::rub.15,ow.link,a::rub.15,related artworks
59674641-00a1-515f-9cec-26a121fc9497,tg:rubgr:4764,Subjects,a::rub.28,ow.link,a::rub.28,related artworks
0ba17f58-abe3-5f39-9ded-a3ada2b01f2f,tg:rubgr:1136,Subjects,a::rub.26,ow.link,a::rub.26,related artworks
0faebee2-98b4-5dd3-97bf-77e6461137b6,tg:rubgr:20,Subjects,a::rub.5,ow.link,a::rub.5,related artworks
e51571ea-7877-5f44-a5db-13a3ea7aedce,tg:rubgr:343,Subjects,a::rub.10,ow.link,a::rub.10,related artworks
daf22265-a605-50e2-ba77-6a99b9ca801e,tg:rubgr:705,Subjects,a::rub.20:1,ow.link,a::rub.20:1,related artworks
f4aae6f1-772b-57c5-a63b-8f4606f530d2,tg:rubgr:569,Subjects,a::rub.15,ow.link,a::rub.15,related artworks
fcd73a9b-f988-50d4-a977-935cc945712c,tg:rubgr:139,Subjects,a::rub.7,ow.link,a::rub.7,related artworks
66214610-7b0e-55ba-8f81-c21a9a456856,tg:rubgr:1622,Subjects,a::rub.44,ow.link,a::rub.44,related artworks
68d9f3f7-a0ae-5f3b-98ea-44a4066bf6ae,tg:rubgr:1272,Subjects,a::rub.34:1,ow.link,a::rub.34:1,related artworks
5ef2f296-cccc-5418-ad2c-c682b080bc55,tg:rubgr:36,Subjects,a::rub.5,ow.link,a::rub.5,related artworks
597b8047-6b8f-5fa7-b12b-7b2b2b160f45,tg:rubgr:41,Subjects,a::rub.5,ow.link,a::rub.5,related artworks
5806476e-ab09-57ce-ace2-590446899917,tg:rubgr:1340,Subjects,a::rub.35,ow.link,a::rub.35,related artworks
4196a43c-f98e-5c2a-984b-363d999c793f,tg:rubgr:16,Subjects,a::rub.5,ow.link,a::rub.5,related artworks
edf83fd8-2968-5b3e-982e-b78879e6feee,tg:rubgr:1481,Subjects,a::rub.39,ow.link,a::rub.39,related artworks
c34845f8-bf9a-5a8e-bc2f-a27081328a0f,tg:rubgr:1252,Subjects,a::rub.33,ow.link,a::rub.33,related artworks
03433aa7-7baa-5713-8b93-4ec0fcf2a076,tg:rubgr:158,Subjects,a::rub.7,ow.link,a::rub.7,related artworks
e29bbe75-99ad-5111-9bee-6d46cfea9d60,tg:rubgr:5084,Subjects,a::rub.9,ow.link,a::rub.9,related artworks
6eb3bcdf-9516-5dd4-bcae-ed063b724290,tg:rubgr:3469,Subjects,a::rub.7,ow.link,a::rub.7,related artworks
9826d58e-9c29-5b56-9f29-d2bfd6524c24,tg:rubgr:1141,Subjects,a::rub.26,ow.link,a::rub.26,related artworks
dd40c403-0840-5a9f-b00a-05e170300684,tg:rubgr:524,Subjects,a::rub.14,ow.link,a::rub.14,related artworks
32e56245-9548-5b72-a642-e8adc950616b,tg:rubgr:965,Subjects,a::rub.25,ow.link,a::rub.25,related artworks
c6395b4f-50b5-5178-974f-cf961382eef5,tg:rubgr:1950,Subjects,a::rub.50,ow.link,a::rub.50,related artworks
aa2f07d1-cdc9-5ae6-8c23-e482630eda29,tg:rubgr:573,Subjects,a::rub.15:1,ow.link,a::rub.15:1,related artworks
8d0c5943-caa9-59dc-b3b6-61b3baa2cd3b,tg:rubgr:135,Subjects,a::rub.7,ow.link,a::rub.7,related artworks
5afa981f-dbae-5f63-b453-cb2c244e9837,tg:rubgr:565,Subjects,a::rub.15,ow.link,a::rub.15,related artworks
e3a1b2fe-7d77-5ba6-a205-5d187d24273a,tg:rubgr:1550,Subjects,a::rub.42,ow.link,a::rub.42,related artworks
341a891b-62b7-541d-9161-095ed23b4874,tg:rubgr:532,Subjects,a::rub.14,ow.link,a::rub.14,related artworks
2398661b-93fc-5c0b-909c-fcbc0fca88f5,tg:rubgr:162,Subjects,a::rub.7,ow.link,a::rub.7,related artworks
08d8933b-cb05-5cc9-856b-66ecb30657d5,tg:rubgr:861,Subjects,a::rub.23,ow.link,a::rub.23,related artworks
66008fb5-1bd2-5b8d-87b2-147d52b986f8,tg:rubgr:533,Subjects,a::rub.14,ow.link,a::rub.14,related artworks
3e303450-18db-52db-a598-617c80932863,tg:rubgr:1156,Subjects,a::rub.28,ow.link,a::rub.28,related artworks
973bb26c-7fa3-5c06-8d44-a6c1ad3eb691,tg:rubgr:163,Subjects,a::rub.7,ow.link,a::rub.7,related artworks
5c876b3f-7d67-5321-a918-24c7a1e05dfc,tg:rubgr:134,Subjects,a::rub.7,ow.link,a::rub.7,related artworks
211942b0-7599-5e92-862a-f9e1f11f6d6d,tg:rubgr:564,Subjects,a::rub.15,ow.link,a::rub.15,related artworks
40d421e1-e27e-5900-8e22-e923812fafb9,tg:rubgr:1551,Subjects,a::rub.42,ow.link,a::rub.42,related artworks
44da81d7-4553-58ec-a97c-c74492508f52,tg:rubgr:572,Subjects,a::rub.15,ow.link,a::rub.15,related artworks
0541cca6-6191-5549-9f6b-33b47c0902d7,tg:rubgr:1639,Subjects,a::rub.44,ow.link,a::rub.44,related artworks
b014b1f5-693d-5e78-a632-f784c21b8de6,tg:rubgr:1286,Subjects,a::rub.35,ow.link,a::rub.35,related artworks
38143320-acdb-5542-ba9a-14252edc0a70,tg:rubgr:876,Subjects,a::rub.23,ow.link,a::rub.23,related artworks
5e4f8615-f29e-5012-bb9b-e28dfe78b357,tg:rubgr:5103,Subjects,a::rub.37,ow.link,a::rub.37,related artworks
5e4f8615-f29e-5012-bb9b-e28dfe78b357,tg:rubgr:5103,Subjects,a::rub.9,ow.link,a::rub.9,related artworks
c8d620a4-3b84-5a58-bba1-8943db2468dc,tg:rubgr:175,Subjects,a::rub.7,ow.link,a::rub.7,related artworks
a4e51b95-0eb8-5bb9-9d34-3144747349a7,tg:rubgr:1140,Subjects,a::rub.26,ow.link,a::rub.26,related artworks
c9bd8cd7-135b-5ad7-89c9-349074465c6c,tg:rubgr:227,Subjects,a::rub.8,ow.link,a::rub.8,related artworks
e469c177-53da-543f-8e50-8fa1096bd544,tg:rubgr:948,Subjects,a::rub.25,ow.link,a::rub.25,related artworks
d33a3bdc-26ed-5f6f-b21e-1b5e2f63814e,tg:rubgr:2202,Subjects,a::rub.54,ow.link,a::rub.54,related artworks
fcabad0c-75be-52af-9eb8-f257ef9d5824,tg:rubgr:335,Subjects,a::rub.10:1,ow.link,a::rub.10:1,related artworks
cb9a9b76-4a78-5b45-9b18-f09441a504cf,tg:rubgr:159,Subjects,a::rub.7,ow.link,a::rub.7,related artworks
7368085c-3029-5a91-8b42-d96bc012bd18,tg:rubgr:1479,Subjects,a::rub.39,ow.link,a::rub.39,related artworks
2496749e-e397-508d-9d31-af4792cd1a02,tg:rubgr:1253,Subjects,a::rub.33:1,ow.link,a::rub.33:1,related artworks
1b05d074-b1be-5a1f-8b43-d553a88b1769,tg:rubgr:17,Subjects,a::rub.5,ow.link,a::rub.5,related artworks
f90763f1-f0c5-56b3-ae58-d367b5e90140,tg:rubgr:40,Subjects,a::rub.5,ow.link,a::rub.5,related artworks
20de6331-c490-5ac8-9e8a-42003b696b62,tg:rubgr:4790,Subjects,a::rub.19,ow.link,a::rub.19,related artworks
d05ba72a-feae-52a9-982d-b46a7d69deae,tg:rubgr:929,Subjects,a::rub.25,ow.link,a::rub.25,related artworks
10f14f75-c9c2-5784-85ff-57b7ddfb3732,tg:rubgr:37,Subjects,a::rub.5,ow.link,a::rub.5,related artworks
306f0d14-8de1-5cdb-bfd3-489b9cd4ff02,tg:rubgr:1273,Subjects,a::rub.34,ow.link,a::rub.34,related artworks
a90d15c1-9b0e-580a-be2b-2ea449a0e66a,tg:rubgr:1418,Subjects,a::rub.38,ow.link,a::rub.38,related artworks
76ef35a2-f9b3-5b95-a9fc-931a1f2c8b84,tg:rubgr:568,Subjects,a::rub.15,ow.link,a::rub.15,related artworks
1aa888be-554e-54a7-b7a6-387cf814439c,tg:rubgr:138,Subjects,a::rub.7,ow.link,a::rub.7,related artworks
0f831782-799d-5b7b-be48-4cbe7b30c294,tg:rubgr:1361,Subjects,a::rub.36,ow.link,a::rub.36,related artworks
e103b0cf-c2ae-5949-af1d-9f92026c6d32,tg:rubgr:704,Subjects,a::rub.20,ow.link,a::rub.20,related artworks
61c35d51-f3c1-5e2a-8320-5f256f7b117f,tg:rubgr:4899,Subjects,a::rub.9:1,ow.link,a::rub.9:1,related artworks
59543e29-d5ae-5c71-9f1a-aa337d87649a,tg:rubgr:712,Subjects,a::rub.21,ow.link,a::rub.21,related artworks
69828783-a488-51d2-b526-e50e4540fcee,tg:rubgr:342,Subjects,a::rub.10,ow.link,a::rub.10,related artworks
0364ee62-46d6-5fe7-9623-5380e1407909,tg:rubgr:529,Subjects,a::rub.14,ow.link,a::rub.14,related artworks
3b48c57a-a39b-5f73-aab5-4eb6fa8008b7,tg:rubgr:21,Subjects,a::rub.5,ow.link,a::rub.5,related artworks
8591edd5-0238-5b2a-a198-a253619170d8,tg:rubgr:552,Subjects,a::rub.15,ow.link,a::rub.15,related artworks
503add66-2ac0-5885-b3ef-fbc7523052f5,tg:rubgr:1137,Subjects,a::rub.26,ow.link,a::rub.26,related artworks
4fa0a22d-48fe-57f0-ad7b-29fbfe971e7b,tg:rubgr:5123,Subjects,a::rub.25,ow.link,a::rub.25,related artworks
ca0ad15b-61a0-52ce-abc7-77a238497947,tg:rubgr:155,Subjects,a::rub.7,ow.link,a::rub.7,related artworks
e4b00dc0-fc68-59f7-a523-8343d20673d9,tg:rubgr:4732,Subjects,a::rub.49,ow.link,a::rub.49,related artworks
e4b00dc0-fc68-59f7-a523-8343d20673d9,tg:rubgr:4732,Subjects,a::rub.5,ow.link,a::rub.5,related artworks
e4b00dc0-fc68-59f7-a523-8343d20673d9,tg:rubgr:4732,Subjects,a::rub.50,ow.link,a::rub.50,related artworks
e4b00dc0-fc68-59f7-a523-8343d20673d9,tg:rubgr:4732,Subjects,a::rub.54,ow.link,a::rub.54,related artworks
113dff26-397c-5cbb-b134-8c88127047a0,tg:rubgr:1475,Subjects,a::rub.38,ow.link,a::rub.38,related artworks
2e1fa378-60b0-5b7e-a525-cf8149cde094,tg:rubgr:1526,Subjects,a::rub.40,ow.link,a::rub.40,related artworks
babc702c-bbf3-5af2-93cd-99b1230e99cd,tg:rubgr:143,Subjects,a::rub.7,ow.link,a::rub.7,related artworks
db38613f-619c-5e94-a492-1d2832fa10f2,tg:rubgr:5135,Subjects,a::rub.25,ow.link,a::rub.25,related artworks
