ResourceID,brocade.id,card,order,kenmerken.rubobjnrgr,isaad,Associated Archive Relation
ea56551b-1143-5c33-aa7d-fda9ed25be41,tg:rubgr:1874,AssociatedArchives,2,AFG_005,isad:rub:2935,https://data.rubenianum.be/ead/ark:/86530/d2d2d9a8-fa87-5149-ab64-a4631a2680a3
5f9b9a41-8fd9-544e-97b5-e9583d68618a,tg:rubgr:4230,AssociatedArchives,2,AFG_046,isad:rub:2976,https://data.rubenianum.be/ead/ark:/86530/39fe3e06-d693-52bb-9a06-bfb7d2903f6d
5793d084-6d19-50ab-ab38-f08121b1073b,tg:rubgr:5122,AssociatedArchives,2,AFG_021,isad:rub:2951,https://data.rubenianum.be/ead/ark:/86530/c35447a0-a6ac-5ce4-aa37-3d560680432e
50e75d0f-818c-5fd5-bf79-a0f9239d9c86,tg:rubgr:4226,AssociatedArchives,2,AFG_046,isad:rub:2976,https://data.rubenianum.be/ead/ark:/86530/39fe3e06-d693-52bb-9a06-bfb7d2903f6d
59674641-00a1-515f-9cec-26a121fc9497,tg:rubgr:4764,AssociatedArchives,2,AFG_026,isad:rub:2956,https://data.rubenianum.be/ead/ark:/86530/197080e5-38a8-5768-9faa-809b81b6f0c4
bf9df334-9f8a-52b4-8780-ccb6fc4796bb,tg:rubgr:1788,AssociatedArchives,2,AFG_113,isad:rub:3034,https://data.rubenianum.be/ead/ark:/86530/eaf755da-0d5c-582b-908a-8fa9a61522f6
5806476e-ab09-57ce-ace2-590446899917,tg:rubgr:1340,AssociatedArchives,2,AFG_035,isad:rub:2965,https://data.rubenianum.be/ead/ark:/86530/a0063b68-54b3-579c-9976-64e47aa4b08f
e29bbe75-99ad-5111-9bee-6d46cfea9d60,tg:rubgr:5084,AssociatedArchives,2,AFG_005,isad:rub:2935,https://data.rubenianum.be/ead/ark:/86530/d2d2d9a8-fa87-5149-ab64-a4631a2680a3
6eb3bcdf-9516-5dd4-bcae-ed063b724290,tg:rubgr:3469,AssociatedArchives,2,AFG_003,isad:rub:2933,https://data.rubenianum.be/ead/ark:/86530/198948e1-0623-5404-9a6f-d2e0aeec0bbe
5e4f8615-f29e-5012-bb9b-e28dfe78b357,tg:rubgr:5103,AssociatedArchives,2,AFG_005,isad:rub:2935,https://data.rubenianum.be/ead/ark:/86530/d2d2d9a8-fa87-5149-ab64-a4631a2680a3
