ResourceID,brocade.id,card,order,source_field,source_code,Document status
c34845f8-bf9a-5a8e-bc2f-a27081328a0f,tg:rubgr:1252,DocumentStatus,3,kenmerken.rubedformgr,dtrvfk,photocopies
fabccf21-9995-5ccd-9e75-8e7997354b98,tg:rubgr:4905,DocumentStatus,2,kenmerken.rubedformgr,dtrvfk,photocopies
45729b5b-ab94-55aa-a5a7-930448054f7b,tg:rubgr:4227,DocumentStatus,2,kenmerken.rubedformgr,dtrvfk,photocopies
b66dee50-91d9-590f-904d-92c28c3d4dee,tg:rubgr:1311,DocumentStatus,2,kenmerken.rubedformgr,dtrvfk,photocopies
b34b7b36-d744-593b-9990-40daedad41c8,tg:rubgr:2481,DocumentStatus,1,kenmerken.rubedformgr,dtrvfk,photocopies
597bb85e-ef86-5e0b-8c47-6a40613382a4,tg:rubgr:962,DocumentStatus,2,kenmerken.rubedformgr,dtrvfk,photocopies
404b7b03-5ba4-568a-bc4a-bc76cfa85e8a,tg:rubgr:961,DocumentStatus,2,kenmerken.rubedformgr,dtrvfk,photocopies
ca1b719c-6890-5eff-9096-197af0df9643,tg:rubgr:869,DocumentStatus,1,kenmerken.rubedformgr,dtrvfk,photocopies
facb3e0f-8caf-5bb3-9a85-1af2d60be34d,tg:rubgr:1962,DocumentStatus,1,kenmerken.rubedformgr,dtrvfk,photocopies
270908e5-af8c-525c-af85-35f5e7e199fe,tg:rubgr:1959,DocumentStatus,1,kenmerken.rubedformgr,dtrvfk,photocopies
173624fc-f78a-5e6e-97ad-f7d5d4c46de9,tg:rubgr:2482,DocumentStatus,1,kenmerken.rubedformgr,dtrvfk,photocopies
5c702e64-92af-5bc9-9008-0d9022116f24,tg:rubgr:960,DocumentStatus,2,kenmerken.rubedformgr,dtrvfk,photocopies
d5e1ce29-042b-501b-85d8-60702347432d,tg:rubgr:1773,DocumentStatus,1,kenmerken.rubedformgr,dtrvfk,photocopies
