ResourceID,brocade.id,card,order,Production Technique Type,source_code
969c225b-75a5-5e9e-84f8-67bc46338208,tg:rubgr:3824,ProductionTechniques,1,typewriting,dtrvty
2f0d3696-a6b2-53e1-8578-f1866a1a2908,tg:rubgr:4050,ProductionTechniques,2,typewriting,dtrvty
a809d763-8c1d-59c1-bf6e-4ce90f831072,tg:rubgr:5285,ProductionTechniques,2,typewriting,dtrvty
c13cef2a-b55a-58d1-8750-a0f7f41c2cae,tg:rubgr:2392,ProductionTechniques,1,handwriting,dtrvnt
9b672228-c4b1-5cb5-a112-2a25d721bbca,tg:rubgr:4196,ProductionTechniques,2,handwriting,dtrvnt
9facf125-106b-5c6e-ac23-1f055b0a32fe,tg:rubgr:2412,ProductionTechniques,1,handwriting,dtrvnt
fcabad0c-75be-52af-9eb8-f257ef9d5824,tg:rubgr:335,ProductionTechniques,1,handwriting,dtrvnt
fcabad0c-75be-52af-9eb8-f257ef9d5824,tg:rubgr:335,ProductionTechniques,2,printing (process),dtrvod
7b1bd15d-d0e8-5f0e-856e-8b2ace0d88e1,tg:rubgr:2428,ProductionTechniques,1,handwriting,dtrvnt
f4ec75da-33fb-5cf0-96ed-3553e0d4fb63,tg:rubgr:2078,ProductionTechniques,1,handwriting,dtrvnt
0364ee62-46d6-5fe7-9623-5380e1407909,tg:rubgr:529,ProductionTechniques,2,handwriting,dtrvnt
fbca7d4c-e599-5f46-90c4-07e105c050d3,tg:rubgr:5128,ProductionTechniques,1,handwriting,dtrvnt
a5de30d3-3829-5fcb-baba-466bbbc4d48a,tg:rubgr:2439,ProductionTechniques,1,handwriting,dtrvnt
4c77c342-da99-5d6c-a485-6dc139b5cbfc,tg:rubgr:4345,ProductionTechniques,2,handwriting,dtrvnt
19ac304f-3f65-594c-859e-c17b46db310a,tg:rubgr:4173,ProductionTechniques,2,handwriting,dtrvhs
1ef00659-461a-5a7f-990e-e2d49406668e,tg:rubgr:2766,ProductionTechniques,1,handwriting,dtrvnt
6af82a1e-0544-5694-9369-8873ec60b602,tg:rubgr:2422,ProductionTechniques,1,handwriting,dtrvnt
61b6fd53-dbc6-5123-aebe-8016eb83412e,tg:rubgr:4812,ProductionTechniques,2,typewriting,dtrvty
d77b195e-dead-5122-8d15-afd7cbe73ef9,tg:rubgr:664,ProductionTechniques,2,handwriting,dtrvnt
9100f0cc-8fbf-56d4-85a7-29e2ab8e92d4,tg:rubgr:2354,ProductionTechniques,1,handwriting,dtrvnt
2c0d1c5c-3b3c-5ed3-a03e-1ac2b6e5e96a,tg:rubgr:1325,ProductionTechniques,1,handwriting,dtrvnt
ad36ebe7-cbc7-5dec-9ddb-92c8d97c63f7,tg:rubgr:2925,ProductionTechniques,1,handwriting,dtrvnt
7358d50f-d801-558d-a103-5eaef7f0d636,tg:rubgr:1607,ProductionTechniques,1,handwriting,dtrvnt
5db2e015-9f69-5cd2-ad85-8efdef1832eb,tg:rubgr:825,ProductionTechniques,2,handwriting,dtrvnt
1670df3d-a100-5b16-9906-601035ac3384,tg:rubgr:1390,ProductionTechniques,1,handwriting,dtrvnt
2bd3fcae-29c1-5409-b706-0ad47ee1198c,tg:rubgr:4192,ProductionTechniques,2,handwriting,dtrvnt
71016dd7-4857-5af2-b51a-c21ddbab4f31,tg:rubgr:2173,ProductionTechniques,1,handwriting,dtrvnt
a86204bc-4cb7-5a79-a844-8b233a99dba3,tg:rubgr:4642,ProductionTechniques,1,handwriting,dtrvnt
4fc95f58-f4c7-5ea9-9996-76d43b7b69ed,tg:rubgr:571,ProductionTechniques,2,handwriting,dtrvnt
a3414e38-94c6-5cbb-af3f-510200cf48e3,tg:rubgr:2187,ProductionTechniques,1,handwriting,dtrvnt
07692dec-6a7c-55e7-a830-a97ecd6a17fd,tg:rubgr:1816,ProductionTechniques,1,handwriting,dtrvnt
3d903e2a-d5ed-5ed7-b325-31ea49cd2876,tg:rubgr:570,ProductionTechniques,2,handwriting,dtrvnt
ae2d249a-b75d-5614-97b6-d177d18cd038,tg:rubgr:2410,ProductionTechniques,1,handwriting,dtrvnt
43342bd4-55a3-543a-88d2-20138a0e5888,tg:rubgr:1322,ProductionTechniques,1,handwriting,dtrvnt
