ResourceID,brocade.id,card,order,source_field,source_code,Condition Status
ed4f7f64-bf03-5f6e-b0cc-67c5282cf688,tg:rubgr:4420,Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
dd40c403-0840-5a9f-b00a-05e170300684,tg:rubgr:524,Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
71de9e88-9e94-5f1a-b475-a091947d8a75,tg:rubgr:3852,Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
0cdc016a-6350-548f-8739-7d3804b83ee6,tg:rubgr:4742,Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
5696b8f6-1992-5d30-901f-f9d9346a1f16,tg:rubgr:554,Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
dce82a3e-f3b0-503d-9b67-ce8f89552c2d,tg:rubgr:1107,Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
5c8107ee-6fc1-55af-bd61-e122eb04fd54,tg:rubgr:1310,Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
3ed8188d-135e-52b7-8d2a-1b1795796bd1,tg:rubgr:1919,Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
f70d59a2-f542-5c91-b8aa-7148adb566c0,tg:rubgr:4449,Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
ea517eea-89a8-5263-9552-a734d60bc280,tg:rubgr:4409,Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
11e67426-e646-5dba-9ce4-804c78fa8eb3,tg:rubgr:4448,Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
16137fa2-e60e-557c-b1e1-991ef724db0c,tg:rubgr:1335,Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
f1762455-5024-573e-8b42-2be0f5982427,tg:rubgr:22,Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
49fa177a-727c-56fa-b70d-4f2113c9c98a,tg:rubgr:1909,Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
65bfd98f-5ff7-564d-8cfa-82739b184c40,tg:rubgr:4394,Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
5c4095ed-ddbf-5c7b-824d-2caabfac1506,tg:rubgr:4819,Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
