ResourceID,Textual Actor Note,Textual Actor Role,brocade.id,card,order
8b5f6e55-d7b4-509b-8a64-bb87dd2ca4ea,"Koetser, Leonard F.",writers (clerical workers),tg:rubgr:2425,Correspondence,1
531cf614-2c68-518e-b586-bd494618926d,"Stewart, Iain",recipients (people),tg:rubgr:4637,Correspondence,1
0bcab4b7-8d1d-5d86-a490-a1f7ec90800d,"Pieper, Paul",recipients (people),tg:rubgr:1966,Correspondence,1
675ad524-cfb6-5d06-9684-ac3f31dd37ec,"Spicer, Joaneath A.",recipients (people),tg:rubgr:3776,Correspondence,1
d6b93a71-5062-53d8-a45f-2068f718a811,"Hanfstaengl, Eberhard",writers (clerical workers),tg:rubgr:5134,Correspondence,1
ea56551b-1143-5c33-aa7d-fda9ed25be41,"Stridbeck, C.G.",writers (clerical workers),tg:rubgr:1874,Correspondence,1
291b64fa-e066-533a-80b3-f35509e95957,"Davies, Martin",writers (clerical workers),tg:rubgr:904,Correspondence,1
7c2a84a8-3f6b-5158-80fe-8a5979769ca8,"Stridbeck, C.G.",recipients (people),tg:rubgr:5088,Correspondence,1
442f8d59-3201-577b-ae69-8f1998987cb8,"Buuren, David van",recipients (people),tg:rubgr:154,Correspondence,1
335a3943-18f6-5c3c-9111-97cc5575385c,"Dynes, Wayne",recipients (people),tg:rubgr:4699,Correspondence,1
95177e93-fd68-5449-a662-c5cf3ebbef2c,"Pölnitz, Gerhard von",writers (clerical workers),tg:rubgr:4733,Correspondence,1
2734e8c4-5fe1-5bd2-8504-e2b54dd217e5,"Zeitler, Rudolf",writers (clerical workers),tg:rubgr:2608,Correspondence,1
facb367c-ddb7-5741-b6df-cfc80a08be6d,"Novotny, Fritz",writers (clerical workers),tg:rubgr:2258,Correspondence,1
dc371fd6-36b1-5690-be18-81dccbaa9287,"Blunt, Anthony",recipients (people),tg:rubgr:2599,Correspondence,1
f09d1fb6-af76-596a-b722-0c1f52f567b0,"Goppelsroeder-Sarasin, B.J.",recipients (people),tg:rubgr:553,Correspondence,1
59674641-00a1-515f-9cec-26a121fc9497,"Grasshoff, Kurt",writers (clerical workers),tg:rubgr:4764,Correspondence,1
0ba17f58-abe3-5f39-9ded-a3ada2b01f2f,"Leonard Woolley, Charles",writers (clerical workers),tg:rubgr:1136,Correspondence,1
b5ba90dd-edf5-5023-8135-90d87cd5b893,"Stampfle, Felice",recipients (people),tg:rubgr:3808,Correspondence,1
ada53b8a-b489-5062-b96e-835cfd2a30a1,"King, Susanne A.",writers (clerical workers),tg:rubgr:2274,Correspondence,1
0a29270b-6c2e-5b0b-a9c6-5f039e0f246a,White Christopher,recipients (people),tg:rubgr:2624,Correspondence,1
d1c55ff5-5d43-5120-a147-eaf4e225e483,"Pächt, Otto",recipients (people),tg:rubgr:1008,Correspondence,1
0faebee2-98b4-5dd3-97bf-77e6461137b6,"Gerson, Horst",recipients (people),tg:rubgr:20,Correspondence,1
b0ef7482-bf07-5329-ba5b-d5825210cdae,"Hahn, Emeric",recipients (people),tg:rubgr:2331,Correspondence,1
d89e63c3-5c0d-58f8-81b0-9f1ccb032ec9,"Fried, Theodore",writers (clerical workers),tg:rubgr:4898,Correspondence,1
e2194f36-da74-5034-9cea-80f1e2c5248a,"Ludwig, Mario",writers (clerical workers),tg:rubgr:4174,Correspondence,1
