ResourceID,brocade.id,card,order,Material
f336da7c-906c-5ab5-b0f3-aa9d00bd9cd8,tg:lhaq:9286,Materials,1,pencils (drawing and writing equipment)
f336da7c-906c-5ab5-b0f3-aa9d00bd9cd8,tg:lhaq:9286,Materials,1,ago NOT FOUND IN: materiaal_types.csv
62450c5b-0a35-5d36-b684-1e7c66e4a1c9,tg:lhaq:8881,Materials,1,pencils (drawing and writing equipment)
62450c5b-0a35-5d36-b684-1e7c66e4a1c9,tg:lhaq:8881,Materials,1,ago NOT FOUND IN: materiaal_types.csv
1eec0799-63fa-543c-a3d0-be891a0c181c,tg:lhaq:8751,Materials,1,zaq NOT FOUND IN: materiaal_types.csv
1eec0799-63fa-543c-a3d0-be891a0c181c,tg:lhaq:8751,Materials,2,ball-point pens
1eec0799-63fa-543c-a3d0-be891a0c181c,tg:lhaq:8751,Materials,1,ago NOT FOUND IN: materiaal_types.csv
432a31ab-1b7d-527c-870a-feeb86b1d9c3,tg:lhaq:9140,Materials,1,aaq NOT FOUND IN: materiaal_types.csv
56e6263a-af53-574e-ae41-5addeaf522f7,tg:lhaq:9005,Materials,1,pencils (drawing and writing equipment)
56e6263a-af53-574e-ae41-5addeaf522f7,tg:lhaq:9005,Materials,1,aaq NOT FOUND IN: materiaal_types.csv
823461b2-0712-56a4-8ed4-be9310e7baa7,tg:lhaq:8993,Materials,1,pencils (drawing and writing equipment)
823461b2-0712-56a4-8ed4-be9310e7baa7,tg:lhaq:8993,Materials,1,ago NOT FOUND IN: materiaal_types.csv
afc90268-a4a6-57a2-92ea-ac8b55d49c94,tg:lhaq:9394,Materials,1,aaq NOT FOUND IN: materiaal_types.csv
0946f068-5ab0-5558-bd03-4f927fba0f5e,tg:lhaq:8706,Materials,1,pencils (drawing and writing equipment)
0946f068-5ab0-5558-bd03-4f927fba0f5e,tg:lhaq:8706,Materials,1,ago NOT FOUND IN: materiaal_types.csv
bb524cb6-ed81-546e-a22e-26957d99f5ff,tg:lhaq:5564,Materials,1,ago NOT FOUND IN: materiaal_types.csv
5d08dca6-26ef-556a-a3d9-ec1296c7d5de,tg:lhaq:9052,Materials,1,pencils (drawing and writing equipment)
5d08dca6-26ef-556a-a3d9-ec1296c7d5de,tg:lhaq:9052,Materials,1,aaq NOT FOUND IN: materiaal_types.csv
b2bbf28f-a732-5f52-be4c-4e3a67ca9678,tg:lhaq:9402,Materials,1,pencils (drawing and writing equipment)
b2bbf28f-a732-5f52-be4c-4e3a67ca9678,tg:lhaq:9402,Materials,1,aaq NOT FOUND IN: materiaal_types.csv
f051649c-2a76-5b5a-8afd-6f3b95716bc4,tg:lhaq:8985,Materials,1,pencils (drawing and writing equipment)
f051649c-2a76-5b5a-8afd-6f3b95716bc4,tg:lhaq:8985,Materials,1,ago NOT FOUND IN: materiaal_types.csv
2a009e82-1442-52f3-bdde-255bd25a5b29,tg:lhaq:5122,Materials,1,zaq NOT FOUND IN: materiaal_types.csv
2a009e82-1442-52f3-bdde-255bd25a5b29,tg:lhaq:5122,Materials,1,aaq NOT FOUND IN: materiaal_types.csv
