ResourceID,brocade.id,card,order,Colour
62450c5b-0a35-5d36-b684-1e7c66e4a1c9,tg:lhaq:8881,Colours,1,kjg NOT FOUND IN: kleur_types.csv
1eec0799-63fa-543c-a3d0-be891a0c181c,tg:lhaq:8751,Colours,1,beige (color)
432a31ab-1b7d-527c-870a-feeb86b1d9c3,tg:lhaq:9140,Colours,1,white (color)
56e6263a-af53-574e-ae41-5addeaf522f7,tg:lhaq:9005,Colours,1,beige (color)
823461b2-0712-56a4-8ed4-be9310e7baa7,tg:lhaq:8993,Colours,1,beige (color)
afc90268-a4a6-57a2-92ea-ac8b55d49c94,tg:lhaq:9394,Colours,1,blue (color)
0946f068-5ab0-5558-bd03-4f927fba0f5e,tg:lhaq:8706,Colours,1,blue (color)
f051649c-2a76-5b5a-8afd-6f3b95716bc4,tg:lhaq:8985,Colours,1,beige (color)
b115a4c2-902f-58fd-bf56-710a9ed715cc,tg:lhaq:8878,Colours,1,kjg NOT FOUND IN: kleur_types.csv
1c2549b2-f726-5e8d-b9d9-6024da36156d,tg:lhaq:8897,Colours,1,kjg NOT FOUND IN: kleur_types.csv
135c55d1-f7f0-5ed0-ac20-77c41a3026c4,tg:lhaq:9013,Colours,1,kjg NOT FOUND IN: kleur_types.csv
397cdc4d-1877-5ff1-aea4-d5699678eec6,tg:lhaq:8383,Colours,1,beige (color)
9c28a607-05e3-5d17-bea8-9dba2f73b252,tg:lhaq:8696,Colours,1,kjg NOT FOUND IN: kleur_types.csv
4bddeb9c-33d5-5850-a47c-c9d9b051c50f,tg:lhaq:1399,Colours,1,black (color)
9b000f80-5b64-5386-992c-edf855837ac7,tg:lhaq:8911,Colours,1,kjg NOT FOUND IN: kleur_types.csv
5c3c5c94-0899-5cf3-9203-2f45ab429ca0,tg:lhaq:8784,Colours,1,beige (color)
8b0c07b1-b052-570b-bca7-98f8d7fba377,tg:lhaq:5509,Colours,2,brown (color)
d26759cd-338b-529c-b7b2-93481776dced,tg:lhaq:8907,Colours,1,kjg NOT FOUND IN: kleur_types.csv
145c5f0a-bb6c-52ca-b04e-873c5c0615b5,tg:lhaq:8842,Colours,1,kjg NOT FOUND IN: kleur_types.csv
5c1e09e9-31d5-570e-9050-94a70b3f39d9,tg:lhaq:8792,Colours,1,beige (color)
5e937a35-f83b-5d43-9f13-29afb0ff6951,tg:lhaq:4565,Colours,1,brown (color)
5e937a35-f83b-5d43-9f13-29afb0ff6951,tg:lhaq:4565,Colours,2,black (color)
54b8899f-fe69-58b3-bf28-58ce7abca638,tg:lhaq:8395,Colours,1,ocher (color)
e833935d-27a6-5ffc-a736-109781e1f502,tg:lhaq:9009,Colours,1,beige (color)
b1ce90f6-e392-5335-b3bd-669a5c58aee7,tg:lhaq:8862,Colours,1,beige (color)
407075f2-7ac8-5743-bab0-7bab26c3df34,tg:lhaq:9377,Colours,1,cream (color)
8a64f85a-b500-58e5-a6dc-81d241f27c55,tg:lhaq:8835,Colours,1,kjg NOT FOUND IN: kleur_types.csv
