Production Place Identifier,id,Production Place Name,DB,Record ID,Record Place Name,Brocade Production Place ID,ResourceID
https://data.antwerpen.be/Ark:/83110/54a61729-5fc7-520a-9134-3ace4b0ec0b9,au::104541,Groningen (DUBBEL),lhpr,tg:lhpr:10703,,au::104541,
https://data.antwerpen.be/Ark:/83110/54a61729-5fc7-520a-9134-3ace4b0ec0b9,au::104541,Groningen (DUBBEL),lhpr,tg:lhpr:10704,,au::104541,
https://data.antwerpen.be/Ark:/83110/54a61729-5fc7-520a-9134-3ace4b0ec0b9,au::104541,Groningen (DUBBEL),lhpr,tg:lhpr:10705,,au::104541,
https://data.antwerpen.be/Ark:/83110/54a61729-5fc7-520a-9134-3ace4b0ec0b9,au::104541,Groningen (DUBBEL),lhpr,tg:lhpr:10706,,au::104541,
https://data.antwerpen.be/Ark:/83110/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,au::100141,Antwerpen (Arrondissement Antwerpen),lhpr,tg:lhpr:10530,Antwerpen,au::100141,b6cc0046-10b0-5bd7-b8dc-2b20c0aead1d
https://data.antwerpen.be/Ark:/83110/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,au::100141,Antwerpen (Arrondissement Antwerpen),lhpr,tg:lhpr:9643,Antwerpen,au::100141,
https://data.antwerpen.be/Ark:/83110/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,au::100141,Antwerpen (Arrondissement Antwerpen),lhtk,tg:lhtk:10313,,au::100141,
https://data.antwerpen.be/Ark:/83110/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,au::100141,Antwerpen (Arrondissement Antwerpen),lhtk,tg:lhtk:10314,,au::100141,
https://data.antwerpen.be/Ark:/83110/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,au::100141,Antwerpen (Arrondissement Antwerpen),lhtk,tg:lhtk:14113,,au::100141,652a2cfe-c9cb-5645-841a-e0cc62762fdb
https://data.antwerpen.be/Ark:/83110/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,au::100141,Antwerpen (Arrondissement Antwerpen),lhtk,tg:lhtk:9547,Antwerpen,au::100141,a5062715-bc07-52d1-9ba3-e9870c935182
https://data.antwerpen.be/Ark:/83110/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,au::100141,Antwerpen (Arrondissement Antwerpen),lhtk,tg:lhtk:9563,Antwerpen,au::100141,
https://data.antwerpen.be/Ark:/83110/e18b592f-e93b-50a2-9a42-2ffe386e2e9e,au::101004,Hakendover (Tienen),lhpr,tg:lhpr:9656,Hakendover,au::101004,
