Object Number,Record Type,URL,ResourceID,Reference Number,Carrier Type,Carrier Colour,Temporary Location Note,Keeper,Object Identifier,Record ID Type,Object Number Type,URL Type,Object Identifier Type,Reference Number Type,order,card
tg:lhaq:9286,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:9286/N,f336da7c-906c-5ab5-b0f3-aa9d00bd9cd8,BE-ANN07/aq/000000616,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/f336da7c-906c-5ab5-b0f3-aa9d00bd9cd8,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8881,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8881/N,62450c5b-0a35-5d36-b684-1e7c66e4a1c9,BE-ANN07/aq/000000459,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/62450c5b-0a35-5d36-b684-1e7c66e4a1c9,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8751,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8751/N,1eec0799-63fa-543c-a3d0-be891a0c181c,BE-ANN07/aq/000000379,paper (fiber product),beige (color),,Letterenhuis,https://data.letterenhuis.be/ark:/24970/1eec0799-63fa-543c-a3d0-be891a0c181c,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:9140,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:9140/N,432a31ab-1b7d-527c-870a-feeb86b1d9c3,BE-ANN07/aq/000000604,paper (fiber product),white (color),,Letterenhuis,https://data.letterenhuis.be/ark:/24970/432a31ab-1b7d-527c-870a-feeb86b1d9c3,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:9005,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:9005/N,56e6263a-af53-574e-ae41-5addeaf522f7,BE-ANN07/aq/000000551,paper (fiber product),beige (color),,Letterenhuis,https://data.letterenhuis.be/ark:/24970/56e6263a-af53-574e-ae41-5addeaf522f7,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8993,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8993/N,823461b2-0712-56a4-8ed4-be9310e7baa7,BE-ANN07/aq/000000539,cardboard,beige (color),,Letterenhuis,https://data.letterenhuis.be/ark:/24970/823461b2-0712-56a4-8ed4-be9310e7baa7,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:9394,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:9394/N,afc90268-a4a6-57a2-92ea-ac8b55d49c94,BE-ANN07/aq/000000643,paper (fiber product),blue (color),,Letterenhuis,https://data.letterenhuis.be/ark:/24970/afc90268-a4a6-57a2-92ea-ac8b55d49c94,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:8706,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:8706/N,0946f068-5ab0-5558-bd03-4f927fba0f5e,BE-ANN07/aq/000000367,paper (fiber product),blue (color),,Letterenhuis,https://data.letterenhuis.be/ark:/24970/0946f068-5ab0-5558-bd03-4f927fba0f5e,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:5564,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:5564/N,bb524cb6-ed81-546e-a22e-26957d99f5ff,BE-ANN07/aq/000000102,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/bb524cb6-ed81-546e-a22e-26957d99f5ff,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhaq:9052,Aquarellen,https://anet.be/record/opaclhobj/tg:lhaq:9052/N,5d08dca6-26ef-556a-a3d9-ec1296c7d5de,BE-ANN07/aq/000000583,paper (fiber product),,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/5d08dca6-26ef-556a-a3d9-ec1296c7d5de,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
