brocade.id,ResourceID,card,order,Comment,if.user,Legacy Comment Type
tg:lhhs:17334,3698a1a3-0d00-5a10-bd3a-812ed629f918,Users,1,Geschonken na de presentatie,jvhecke,commentaar gebruiker
tg:lhhs:14518,b97aca93-8153-527b-a9fb-dc9de55a875f,Users,1,Aankoop The Romantic Agony.,usystem,commentaar gebruiker
tg:lhhs:1065,ea19602d-05b7-53a9-bc55-50efe2d76cd7,Users,1,"\nachtelik\nacht01-02.tif
",jvhecke,commentaar gebruiker
tg:lhhs:14774,a419dee8-f661-5109-95c0-6d6cdd8fc50d,Users,1,"Aankoop bij The Romantic Agony, Brussel.",jvhecke,commentaar gebruiker
tg:lhhs:10737,8a18b25d-0f42-57be-9992-8adf19b6d0b5,Users,1,Familiegeschiedenis van de Lampo's,lwilmots,commentaar gebruiker
tg:lhhs:3849,8be18338-aaec-5ee0-9abc-602082cd2b12,Users,1,HIRES021\mk\mk07.tif,usystem,commentaar gebruiker
tg:lhhs:11872,7488fdc0-3145-5793-a212-a76f700aab79,Users,1,inzage alleen met toestemming auteur.,jcornilly,commentaar gebruiker
tg:lhhs:14670,aa6bbac7-c2f0-51db-9320-b96740836cbf,Users,1,Geschenk René Pandelaers.,usystem,commentaar gebruiker
tg:lhhs:11999,ca2a309d-a45e-5f44-9365-e3e520fb5a84,Users,1,"Geschenk van mevrouw Mia Jespers, Rotselaar.",usystem,commentaar gebruiker
tg:lhhs:1589,8e9c0733-7a45-568f-893b-73fc0ebe59ba,Users,1,"bijlage bij brief van F. Van der Auwera aan Dietsche Warande en Belfort, 26 februari 1965",usystem,commentaar gebruiker
tg:lhhs:11327,f4436af3-3625-5399-875d-934222949527,Users,1,"Bij publicatie toelating te vragen aan:
Dr. Rouse
Oude Oostendsesteenweg
Brugge",usystem,commentaar gebruiker
tg:lhhs:10189,f20a2240-2a8a-5eb8-95f1-2b154abd4441,Users,1,Over Victor Hugo.,usystem,commentaar gebruiker
tg:lhhs:14430,5f7e6c0d-be49-548b-a7e3-0b65040ca9a8,Users,1,Het handschrift zit als bijlage bij een brief van A. Nahon aan zuster Appoline (inv. nr.: 218544/2a-c).,jvhecke,commentaar gebruiker
tg:lhhs:14719,64c4b43a-cef4-515d-b147-0ef87ed6f841,Users,1,Aankoop bij Pierre Taeijmans.,jcort,commentaar gebruiker
tg:lhhs:5270,d8c3f3f6-ab14-5cac-90f1-66d345509cda,Users,1,Gekocht van boekhandelaar Horemans voor 75 fr. (3-9-1934),usystem,commentaar gebruiker
tg:lhhs:1663,089d60d9-d4f9-52e5-8c7e-912394db8896,Users,1,bijlage bij brief van J. Deleu aan Dietsche Warande en Belfort (150869/1a) terug te vinden in brievendossier W 256/B2 (periode A. Westerlinck 1945-1968)2,usystem,commentaar gebruiker
tg:lhhs:11409,aa65b0da-9138-5f43-abcc-4fce1393b57f,Users,1,Niet te raadplegen!,usystem,commentaar gebruiker
tg:lhhs:14534,aacf66f2-4a4f-55fa-88bf-853d5bf490ee,Users,1,Aankoop De Slegte,usystem,commentaar gebruiker
tg:lhhs:14867,4fd4a289-b194-5d1b-841c-1146ea389b3a,Users,1,Aankoop De Slegte.,jvhecke,commentaar gebruiker
