ResourceID,brocade.id,card,order,Archive Brocade ID,Archive Widget,Archive Identifier
c5db2aef-7be7-5a21-9146-0c4b9cde508c,tg:lhdc:3721,Archives,1,isad:lh:179321,"dlod={""id"":""ark:/24970/x0/bd73d775-dd23-58a3-9407-ad6f9bce2757"",""text"":""1970"",""name"":""1970"",""nameWithContext"":"""",""orgID"":""lh"",""suggestType"":""archiveobject"",""json"":""""}",ark:/24970/x0/bd73d775-dd23-58a3-9407-ad6f9bce2757
294454d0-be4b-54ae-92e9-6da58a5fdd5f,tg:lhdc:2833,Archives,1,isad:lh:179103,"dlod={""id"":""ark:/24970/x0/fa48481d-514c-50ee-a439-fb3d8070fa76"",""text"":""1949"",""name"":""1949"",""nameWithContext"":"""",""orgID"":""lh"",""suggestType"":""archiveobject"",""json"":""""}",ark:/24970/x0/fa48481d-514c-50ee-a439-fb3d8070fa76
a043845f-7554-5ff0-9205-b645bb32caed,tg:lhdc:729,Archives,1,isad:lh:174445,"dlod={""id"":""ark:/24970/x0/e27bd67d-daa0-55ef-b1a4-c2c7bdbd3fec"",""text"":""1955"",""name"":""1955"",""nameWithContext"":"""",""orgID"":""lh"",""suggestType"":""archiveobject"",""json"":""""}",ark:/24970/x0/e27bd67d-daa0-55ef-b1a4-c2c7bdbd3fec
17f2318d-1e2a-5593-8b6f-17e0cdf17fd3,tg:lhdc:3371,Archives,1,isad:lh:179114,"dlod={""id"":""ark:/24970/x0/5981d4f4-94d6-56c8-99bc-f454cd7938d0"",""text"":""1960"",""name"":""1960"",""nameWithContext"":"""",""orgID"":""lh"",""suggestType"":""archiveobject"",""json"":""""}",ark:/24970/x0/5981d4f4-94d6-56c8-99bc-f454cd7938d0
f90aee64-fa2e-5c5e-beca-16af546e9bdf,tg:lhdc:683,Archives,1,isad:lh:174445,"dlod={""id"":""ark:/24970/x0/e27bd67d-daa0-55ef-b1a4-c2c7bdbd3fec"",""text"":""1955"",""name"":""1955"",""nameWithContext"":"""",""orgID"":""lh"",""suggestType"":""archiveobject"",""json"":""""}",ark:/24970/x0/e27bd67d-daa0-55ef-b1a4-c2c7bdbd3fec
fc51f64c-6faa-5946-b18e-64976edf9643,tg:lhdc:2999,Archives,1,isad:lh:179106,"dlod={""id"":""ark:/24970/x0/e7e2ebf2-88d2-590d-9a8b-e93820bd33f5"",""text"":""1952"",""name"":""1952"",""nameWithContext"":"""",""orgID"":""lh"",""suggestType"":""archiveobject"",""json"":""""}",ark:/24970/x0/e7e2ebf2-88d2-590d-9a8b-e93820bd33f5
adac8886-4115-53ba-a5e9-e97f1cbeecb6,tg:lhdc:2130,Archives,1,isad:lh:174020,"dlod={""id"":""ark:/24970/x0/12305cd1-f54a-5c7a-8e61-0aa4d3ff2183"",""text"":""1966"",""name"":""1966"",""nameWithContext"":"""",""orgID"":""lh"",""suggestType"":""archiveobject"",""json"":""""}",ark:/24970/x0/12305cd1-f54a-5c7a-8e61-0aa4d3ff2183
8e73840d-ac58-587b-b2db-ae1081b28992,tg:lhdc:2560,Archives,1,isad:lh:178530,"dlod={""id"":""ark:/24970/x0/ae20c934-50b5-5d02-8d44-e48d852f8f3a"",""text"":""1980"",""name"":""1980"",""nameWithContext"":"""",""orgID"":""lh"",""suggestType"":""archiveobject"",""json"":""""}",ark:/24970/x0/ae20c934-50b5-5d02-8d44-e48d852f8f3a
b6e13194-eff2-58b9-a59e-60cfe66a3091,tg:lhdc:2075,Archives,1,isad:lh:178687,"dlod={""id"":""ark:/24970/x0/a60dbff4-f5b4-57f5-9d2d-fd7fafd8ec3b"",""text"":""1987"",""name"":""1987"",""nameWithContext"":"""",""orgID"":""lh"",""suggestType"":""archiveobject"",""json"":""""}",ark:/24970/x0/a60dbff4-f5b4-57f5-9d2d-fd7fafd8ec3b
181ceed4-eaff-5bd2-b8e4-36ec55a0c248,tg:lhdc:2425,Archives,1,isad:lh:178530,"dlod={""id"":""ark:/24970/x0/ae20c934-50b5-5d02-8d44-e48d852f8f3a"",""text"":""1980"",""name"":""1980"",""nameWithContext"":"""",""orgID"":""lh"",""suggestType"":""archiveobject"",""json"":""""}",ark:/24970/x0/ae20c934-50b5-5d02-8d44-e48d852f8f3a
1c32b364-f7f8-5d9c-924e-ed3e8a2ec4c9,tg:lhdc:3664,Archives,1,isad:lh:179320,"dlod={""id"":""ark:/24970/x0/c26c7c0f-8293-5c7a-adfb-a5c01cabe158"",""text"":""1969"",""name"":""1969"",""nameWithContext"":"""",""orgID"":""lh"",""suggestType"":""archiveobject"",""json"":""""}",ark:/24970/x0/c26c7c0f-8293-5c7a-adfb-a5c01cabe158
b0927ea5-92c6-5720-af4d-1332e48ba275,tg:lhdc:1659,Archives,1,isad:lh:174447,"dlod={""id"":""ark:/24970/x0/e2d83f4a-de02-5ece-84c1-f24a8a793519"",""text"":""1958"",""name"":""1958"",""nameWithContext"":"""",""orgID"":""lh"",""suggestType"":""archiveobject"",""json"":""""}",ark:/24970/x0/e2d83f4a-de02-5ece-84c1-f24a8a793519
06bdc7b2-8cfb-5a0e-8e63-bc517d7574b9,tg:lhdc:2976,Archives,1,isad:lh:179106,"dlod={""id"":""ark:/24970/x0/e7e2ebf2-88d2-590d-9a8b-e93820bd33f5"",""text"":""1952"",""name"":""1952"",""nameWithContext"":"""",""orgID"":""lh"",""suggestType"":""archiveobject"",""json"":""""}",ark:/24970/x0/e7e2ebf2-88d2-590d-9a8b-e93820bd33f5
b7413771-a7fa-596e-a06c-03d3ae9a0146,tg:lhdc:396,Archives,1,isad:lh:130216,"dlod={""id"":""ark:/24970/x0/86eb606b-35bd-5339-8ef8-c5f32c7cb42a"",""text"":""Deelname aan feesten, banketten, congressen e.d."",""name"":""Deelname aan feesten, banketten, congressen e.d."",""nameWithContext"":"""",""orgID"":""lh"",""suggestType"":""archiveobject"",""json"":""""}",ark:/24970/x0/86eb606b-35bd-5339-8ef8-c5f32c7cb42a
93ffcee9-3198-5991-8a1f-f4bd6de1aca1,tg:lhdc:3234,Archives,1,isad:lh:179111,"dlod={""id"":""ark:/24970/x0/630b5334-03d3-5b37-a100-2be463a9e10d"",""text"":""1957"",""name"":""1957"",""nameWithContext"":"""",""orgID"":""lh"",""suggestType"":""archiveobject"",""json"":""""}",ark:/24970/x0/630b5334-03d3-5b37-a100-2be463a9e10d
fe4bd5d8-bcac-5756-b7f4-5c0b5cc0308a,tg:lhdc:1209,Archives,1,isad:lh:174437,"dlod={""id"":""ark:/24970/x0/62cef849-1df0-5042-a93a-c935c5e96f1a"",""text"":""1946"",""name"":""1946"",""nameWithContext"":"""",""orgID"":""lh"",""suggestType"":""archiveobject"",""json"":""""}",ark:/24970/x0/62cef849-1df0-5042-a93a-c935c5e96f1a
