Object Number,Record Type,URL,ResourceID,Reference Number,Status,Keeper,Object Identifier,Record ID Type,Object Number Type,URL Type,Object Identifier Type,Reference Number Type,order,card
tg:lhdc:3721,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:3721/N,c5db2aef-7be7-5a21-9146-0c4b9cde508c,BE-ANN07/dc/000003599,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/c5db2aef-7be7-5a21-9146-0c4b9cde508c,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:2833,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:2833/N,294454d0-be4b-54ae-92e9-6da58a5fdd5f,BE-ANN07/dc/000002718,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/294454d0-be4b-54ae-92e9-6da58a5fdd5f,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:729,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:729/N,a043845f-7554-5ff0-9205-b645bb32caed,BE-ANN07/dc/000000658,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/a043845f-7554-5ff0-9205-b645bb32caed,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:3371,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:3371/N,17f2318d-1e2a-5593-8b6f-17e0cdf17fd3,BE-ANN07/dc/000003253,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/17f2318d-1e2a-5593-8b6f-17e0cdf17fd3,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:683,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:683/N,f90aee64-fa2e-5c5e-beca-16af546e9bdf,BE-ANN07/dc/000000612,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/f90aee64-fa2e-5c5e-beca-16af546e9bdf,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:379,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:379/N,456fc8e4-524f-59bb-a7be-d14de36f2633,BE-ANN07/dc/000000322,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/456fc8e4-524f-59bb-a7be-d14de36f2633,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:2999,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:2999/N,fc51f64c-6faa-5946-b18e-64976edf9643,BE-ANN07/dc/000002883,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/fc51f64c-6faa-5946-b18e-64976edf9643,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:2130,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:2130/N,adac8886-4115-53ba-a5e9-e97f1cbeecb6,BE-ANN07/dc/000002023,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/adac8886-4115-53ba-a5e9-e97f1cbeecb6,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:2560,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:2560/N,8e73840d-ac58-587b-b2db-ae1081b28992,BE-ANN07/dc/000002452,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/8e73840d-ac58-587b-b2db-ae1081b28992,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:2075,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:2075/N,b6e13194-eff2-58b9-a59e-60cfe66a3091,BE-ANN07/dc/000001968,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/b6e13194-eff2-58b9-a59e-60cfe66a3091,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:2425,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:2425/N,181ceed4-eaff-5bd2-b8e4-36ec55a0c248,BE-ANN07/dc/000002317,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/181ceed4-eaff-5bd2-b8e4-36ec55a0c248,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:3664,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:3664/N,1c32b364-f7f8-5d9c-924e-ed3e8a2ec4c9,BE-ANN07/dc/000003542,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/1c32b364-f7f8-5d9c-924e-ed3e8a2ec4c9,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:1659,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:1659/N,b0927ea5-92c6-5720-af4d-1332e48ba275,BE-ANN07/dc/000001556,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/b0927ea5-92c6-5720-af4d-1332e48ba275,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:2976,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:2976/N,06bdc7b2-8cfb-5a0e-8e63-bc517d7574b9,BE-ANN07/dc/000002860,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/06bdc7b2-8cfb-5a0e-8e63-bc517d7574b9,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:396,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:396/N,b7413771-a7fa-596e-a06c-03d3ae9a0146,BE-ANN07/dc/000000336,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/b7413771-a7fa-596e-a06c-03d3ae9a0146,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhdc:3234,Documenten,https://anet.be/record/opaclhobj/tg:lhdc:3234/N,93ffcee9-3198-5991-8a1f-f4bd6de1aca1,BE-ANN07/dc/000003115,,Letterenhuis,https://data.letterenhuis.be/ark:/24970/93ffcee9-3198-5991-8a1f-f4bd6de1aca1,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
