ResourceID,card,order,source_field,Description,Description Type,Description Language
a043845f-7554-5ff0-9205-b645bb32caed,Descriptions,1,id.desc,Door Marie van Dessel-Poot,descriptive note,Nederlands
f90aee64-fa2e-5c5e-beca-16af546e9bdf,Descriptions,1,id.desc,L.P. Boon,descriptive note,Nederlands
adac8886-4115-53ba-a5e9-e97f1cbeecb6,Descriptions,1,id.desc,"Luisterspel door Hans Peter Breuer. Uit het Duits vertaald door W.  
Wielek-Berg",descriptive note,Nederlands
181ceed4-eaff-5bd2-b8e4-36ec55a0c248,Descriptions,1,id.desc,Mini-luisterspel van Rainer Puchert,descriptive note,Nederlands
b0927ea5-92c6-5720-af4d-1332e48ba275,Descriptions,1,id.desc,"Luisterspel door R.C. SZherriff, uit het Engels vertaald door  
Valeer Van Kerkhove",descriptive note,Nederlands
06bdc7b2-8cfb-5a0e-8e63-bc517d7574b9,Descriptions,1,id.desc,Door Renate Olberg,descriptive note,Nederlands
fe4bd5d8-bcac-5756-b7f4-5c0b5cc0308a,Descriptions,1,id.desc,Door Friedrich Feld,descriptive note,Nederlands
54b55676-f60f-5f9d-abfd-fc6ab28fa0dd,Descriptions,1,id.desc,Luisterspel van Jacques perret. uit het Frans vertaald door Piet Van Aken,descriptive note,Nederlands
a0bfd496-bdb9-5974-ba6e-4efdac4a96c7,Descriptions,1,id.desc,Luisterspel van F.W. Willetts. Nederlandse vertaling: Jan Christaens,descriptive note,Nederlands
1f6e8fbd-93f1-5fd9-9d8e-029293aa8c69,Descriptions,1,id.desc,Door Federico Garcia Lorca,descriptive note,Nederlands
194273e5-dce2-55d6-9225-a1a39c7683c4,Descriptions,1,id.desc,Door Erik Uyldert,descriptive note,Nederlands
4968b442-83f7-5ac9-8739-78a9594fbb21,Descriptions,1,id.desc,"door Mikro Bozic  
Uit het Duits vertaald door Lode Vandeput",descriptive note,Nederlands
e82a4066-c13b-5c1e-a89a-f242d880158f,Descriptions,1,id.desc,"Een luisterspel door Vincent Brome uit het Engels vertaald door  
Georgette De Rijcke",descriptive note,Nederlands
69b18b18-bbe4-5c3f-8fce-82f5a18111df,Descriptions,1,id.desc,"Een éénakter van Glenn Hughes, uit het Amerikaans vertaald door  
Wim Gansemans.",descriptive note,Nederlands
9260ac3a-493b-5c96-8e8b-2c088046afcd,Descriptions,1,id.desc,Door Antonia Ridge,descriptive note,Nederlands
918e407c-5088-545f-9600-7455a2ad5ade,Descriptions,1,id.desc,"Toneelspel in één bedrijf door Tennessee Williams. Vertaling: Ank  
Van Der Moer.",descriptive note,Nederlands
a4f839b8-c912-557b-91e8-49e0629b7ca8,Descriptions,1,id.desc,Luisterspel van Giles Cooper. Nederlandse vertaling: Marc Galle,descriptive note,Nederlands
1c069000-f37d-58f1-9832-62d2d4955dc6,Descriptions,1,id.desc,Een luisterspel van Slawomir Mrozek. Vertaling: Marc Colpaert,descriptive note,Nederlands
863f5eca-b4fe-5ff0-9545-a487d5b19de6,Descriptions,1,id.desc,"Een luisterspel door Friedrich Feld   
vertaald door Georgette De Rycke",descriptive note,Nederlands
697fed17-e5ee-59ed-b9eb-5126ec80b459,Descriptions,1,id.desc,( Schiet niet op de pianist ) Auteur: Barry Campbell,descriptive note,Nederlands
d1575020-0721-5685-a972-e30c2476f8a8,Descriptions,1,id.desc,Luisterspel van Kay Hoff. Nederlandse vertaling: Cornelis Baan,descriptive note,Nederlands
41d14d41-dfc1-54f9-8a08-852c1805028e,Descriptions,1,id.desc,TV-Spel door Eddy Asselbergs,descriptive note,Nederlands
e9a999da-a1c8-5133-a100-77b0a816dae8,Descriptions,1,id.desc,Door Elisabeth T'Seyen,descriptive note,Nederlands
c57e010f-886e-58a7-b3b0-b053513b9962,Descriptions,1,id.desc,6e aflevering van een feuilleton door Marc De Bie,descriptive note,Nederlands
62c249f2-b9a7-597a-ac55-22637354dd16,Descriptions,1,id.desc,Door Jozefa Willems,descriptive note,Nederlands
f15274bf-0e02-5c8a-a85d-74b5b9e4e418,Descriptions,1,id.desc,Door Renate Olberg,descriptive note,Nederlands
f5ee3ee2-4185-5e70-9efb-437c54abf769,Descriptions,1,id.desc,Tot luisterspel bewerkt door Herman van Overbeke,descriptive note,Nederlands
5af84b01-84cf-512e-8360-b9f5c161be29,Descriptions,1,id.desc,Deel Ii door Catherina van Eysden,descriptive note,Nederlands
d3d42335-5419-56f6-82d0-fead9c7db9a2,Descriptions,1,id.desc,Door René Van Leuven,descriptive note,Nederlands
7e3aa133-adc9-5928-96d0-ef4322952dcd,Descriptions,1,id.desc,"Komedie door Guillaume Oyono-Mbia. Omgewerkt tot luisterspel door  
Janheinz Jahn",descriptive note,Nederlands
53608659-e49e-5b3e-8a69-c959b86de8bf,Descriptions,1,id.desc,"Luisterspel van Aleksandar Obrenovic. vertaling uit  
het Servokroatisch: Josina van der Grijp",descriptive note,Nederlands
