ResourceID,brocade.id,card,order,ire.isaar.uuid,ISAAR Brocade ID,Entity Relation,Entity Note,Entity Widget,Entity Identifier
a043845f-7554-5ff0-9205-b645bb32caed,tg:lhdc:729,OriginalBrocade,2,917eff88-272b-5f61-8688-e719c02effab,au::13683,directors (performing arts),,"dlod={""id"":""ark:/83110/x0/917eff88-272b-5f61-8688-e719c02effab"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/917eff88-272b-5f61-8688-e719c02effab
adac8886-4115-53ba-a5e9-e97f1cbeecb6,tg:lhdc:2130,OriginalBrocade,1,f9bdb61b-0f7b-58c6-8206-b03685654c95,au::21342,directors (performing arts),,"dlod={""id"":""ark:/83110/x0/f9bdb61b-0f7b-58c6-8206-b03685654c95"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/f9bdb61b-0f7b-58c6-8206-b03685654c95
8e73840d-ac58-587b-b2db-ae1081b28992,tg:lhdc:2560,OriginalBrocade,1,3f51d0ad-44e6-5ea6-888b-4a81600efe2c,au::113733:1,directors (performing arts),,,
181ceed4-eaff-5bd2-b8e4-36ec55a0c248,tg:lhdc:2425,OriginalBrocade,1,3ece257e-715d-540b-bdef-f3909580bce0,au::113733,directors (performing arts),,"dlod={""id"":""ark:/83110/x0/3ece257e-715d-540b-bdef-f3909580bce0"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/3ece257e-715d-540b-bdef-f3909580bce0
06bdc7b2-8cfb-5a0e-8e63-bc517d7574b9,tg:lhdc:2976,OriginalBrocade,1,38b66160-d303-5cba-9c0d-7c1d92f999c5,au::12040,directors (performing arts),,"dlod={""id"":""ark:/83110/x0/38b66160-d303-5cba-9c0d-7c1d92f999c5"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/38b66160-d303-5cba-9c0d-7c1d92f999c5
b7413771-a7fa-596e-a06c-03d3ae9a0146,tg:lhdc:396,OriginalBrocade,1,74430b3a-282d-5013-b777-363c2b882eaa,au::6111,keywords,,"dlod={""id"":""ark:/83110/x0/74430b3a-282d-5013-b777-363c2b882eaa"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/74430b3a-282d-5013-b777-363c2b882eaa
a0bfd496-bdb9-5974-ba6e-4efdac4a96c7,tg:lhdc:1989,OriginalBrocade,1,3ece257e-715d-540b-bdef-f3909580bce0,au::113733,directors (performing arts),,"dlod={""id"":""ark:/83110/x0/3ece257e-715d-540b-bdef-f3909580bce0"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/3ece257e-715d-540b-bdef-f3909580bce0
9260ac3a-493b-5c96-8e8b-2c088046afcd,tg:lhdc:3058,OriginalBrocade,1,37f07edc-067d-5149-95ea-8cb0fad7be19,au::2788,directors (performing arts),,"dlod={""id"":""ark:/83110/x0/37f07edc-067d-5149-95ea-8cb0fad7be19"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/37f07edc-067d-5149-95ea-8cb0fad7be19
059e46d3-66dc-5b3b-895f-1f4f6b77c3e0,tg:lhdc:400,OriginalBrocade,1,74430b3a-282d-5013-b777-363c2b882eaa,au::6111,subjects (content of works),,"dlod={""id"":""ark:/83110/x0/74430b3a-282d-5013-b777-363c2b882eaa"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/74430b3a-282d-5013-b777-363c2b882eaa
059e46d3-66dc-5b3b-895f-1f4f6b77c3e0,tg:lhdc:400,OriginalBrocade,2,84481c9f-826b-535b-80a3-32e1a377e321,au::17012,subjects (content of works),,"dlod={""id"":""ark:/83110/x0/84481c9f-826b-535b-80a3-32e1a377e321"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/84481c9f-826b-535b-80a3-32e1a377e321
