ResourceID,brocade.id,card,order,Format Unit Type,Format Number Type,Page Numbers,Sheet Numbers,Format Unit Qualifier
5afeb490-cc8e-57e9-a983-92e3cbe01821,tg:lhhs:3721,Formats,1,pages,written,4,,
d60b5c1f-8e9c-529a-96e5-e517a2d14757,tg:lhhs:2833,Formats,1,pages,written,12,,
d1346b06-06c9-5cd9-be9c-2e0853cfb994,tg:lhhs:13232,Formats,1,sheets,total,,3,
d1346b06-06c9-5cd9-be9c-2e0853cfb994,tg:lhhs:13232,Formats,1,pages,written,3,,
3f9411db-812d-5e1b-bf65-dc2a94d7c248,tg:lhhs:729,Formats,1,sheets,total,,3,
3f9411db-812d-5e1b-bf65-dc2a94d7c248,tg:lhhs:729,Formats,1,pages,written,3,,
09ef6e56-46fd-54dd-aa9b-2ac90a298d32,tg:lhhs:16030,Formats,1,sheets,total,,18,
09ef6e56-46fd-54dd-aa9b-2ac90a298d32,tg:lhhs:16030,Formats,1,pages,written,18,,
6590b326-525f-569f-a17a-d21202abc47a,tg:lhhs:6523,Formats,1,sheets,total,,24,
6590b326-525f-569f-a17a-d21202abc47a,tg:lhhs:6523,Formats,1,pages,written,20,,
782d17f9-dfac-5e90-9378-e15be88c2b68,tg:lhhs:6489,Formats,1,sheets,total,,30,
782d17f9-dfac-5e90-9378-e15be88c2b68,tg:lhhs:6489,Formats,1,pages,written,40,,
d54f61aa-638a-5cd6-a511-682a8c70a2c0,tg:lhhs:3371,Formats,1,pages,written,1,,
bde477b9-7c4d-5ebe-81ec-09b31012da0a,tg:lhhs:683,Formats,1,sheets,total,,1,
44cc7649-6db9-50d1-a4eb-f5673cab8ed1,tg:lhhs:12970,Formats,1,sheets,total,,11,
44cc7649-6db9-50d1-a4eb-f5673cab8ed1,tg:lhhs:12970,Formats,1,pages,written,11,,
e17ad8dc-b129-585d-9150-3ee98656fc63,tg:lhhs:20801,Formats,1,sheets,total,,5,
e17ad8dc-b129-585d-9150-3ee98656fc63,tg:lhhs:20801,Formats,1,pages,written,5,,
7c693e1c-a038-5f44-974e-7660045f0589,tg:lhhs:379,Formats,1,sheets,total,,2,
d25f5f96-a383-5b98-ac99-4c37f63a4adf,tg:lhhs:16460,Formats,1,sheets,total,,12,
d25f5f96-a383-5b98-ac99-4c37f63a4adf,tg:lhhs:16460,Formats,1,pages,written,6,,
158540f7-ee20-557b-9154-eb94a02cb69b,tg:lhhs:13398,Formats,1,sheets,total,,4,
