ResourceID,brocade.id,card,order,External Relation,External Relation URL,External Relation URL Type,External Relation Note
7fe3d7c5-906a-5b5e-ae1d-af35e81d5eca,tg:lhdc:451,ExternalRelations,1,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:1163916,Publicaties in de Anet catalogus,
d25f5f96-a383-5b98-ac99-4c37f63a4adf,tg:lhhs:16460,ExternalRelations,1,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:6886860,Publicaties in de Anet catalogus,
9dbe167c-8f5c-5812-9770-ff7762926de0,tg:lhhs:15759,ExternalRelations,1,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:126783,Publicaties in de Anet catalogus,
1a4d30fa-ff1c-5f69-8143-72b8f846acfa,tg:lhhs:16319,ExternalRelations,1,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:162900,Publicaties in de Anet catalogus,
a7f5e1ed-2ea0-501b-8ad0-1cb070be2642,tg:lhhs:15962,ExternalRelations,1,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:655100,Publicaties in de Anet catalogus,
45d2f8d5-5cfd-50d2-867a-d9ff9ec26040,tg:lhhs:19629,ExternalRelations,1,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:191954,Publicaties in de Anet catalogus,"Dl II, p. 211"
992ce359-e851-5560-87d2-c093df2d10d1,tg:lhhs:17288,ExternalRelations,1,gepubliceerd in /als, c:lvd:448106,,
be4d8a9d-4195-5540-8eba-17de2ccfb7ce,tg:lhhs:19445,ExternalRelations,1,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:472461,Publicaties in de Anet catalogus,
5e0fabe8-9f4f-5fe8-8664-a27b9edd52b8,tg:lhhs:19652,ExternalRelations,1,gerelateerde publicatie,https://anet.be/record/opacanet/c:lvd:191954,Publicaties in de Anet catalogus,"Dl. III, p. 316"
1c4f9193-33b6-5643-b9da-922894f8588a,tg:lhhs:16323,ExternalRelations,1,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:6157007,Publicaties in de Anet catalogus,
69a65417-e3b6-5e22-8f19-9b4e23a485b8,tg:lhhs:19613,ExternalRelations,1,gerelateerde publicatie,https://anet.be/record/opacanet/c:lvd:191954,Publicaties in de Anet catalogus,"Dl. I, p. 96-98"
4d07cb6b-e267-50ba-9d09-b9455a3f7743,tg:lhhs:16362,ExternalRelations,1,gerelateerde publicatie,https://anet.be/record/opacanet/c:lvd:209275,Publicaties in de Anet catalogus,(1960) p. 1195-1200
0d405d6e-b7be-5400-9441-73e7fee93a39,tg:lhhs:928,ExternalRelations,1,gerelateerde publicatie,https://anet.be/record/opacanet/c:lvd:13095850,Publicaties in de Anet catalogus,
018faf53-d146-501c-858b-9608f7fe888b,tg:lhhs:13025,ExternalRelations,1,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:114841,Publicaties in de Anet catalogus,"Vlaanderen, mei 1903, p. 193-214"
bb9774b3-0a61-5ae8-86a8-62ae75e465de,tg:lhhs:3111,ExternalRelations,1,gepubliceerd in /als,cons001voll28_01/cons001voll28_01_0011.php,,
bb9774b3-0a61-5ae8-86a8-62ae75e465de,tg:lhhs:3111,ExternalRelations,2,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:571596,Publicaties in de Anet catalogus,
99ff3d4b-0f20-52c1-8c17-c633e185477e,tg:lhhs:16315,ExternalRelations,1,gepubliceerd in /als,https://anet.be/record/opacanet/ c:lvd:179817,Publicaties in de Anet catalogus,
98fc8af4-c193-5fbe-93d8-a7f51bee7890,tg:lhhs:16895,ExternalRelations,1,gepubliceerd in /als,c:lvd:2401035,,
f5f6d8a5-2f22-57ad-b4da-0ea4aeaaa7f1,tg:lhhs:19633,ExternalRelations,1,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:191954,Publicaties in de Anet catalogus,"Dl II, p. 226"
b4925ced-1caf-5103-843f-b59d00338bf0,tg:lhhs:16568,ExternalRelations,1,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:846835,Publicaties in de Anet catalogus,
81fd6037-c718-5d84-a492-b28897dc98e2,tg:lhhs:17841,ExternalRelations,1,gepubliceerd in /als, c:lvd:186194,,
e9fd02c8-8adf-5fa3-83e8-6144d53376b9,tg:lhhs:17791,ExternalRelations,1,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:455670,Publicaties in de Anet catalogus,
