ResourceID,Record ID,Administrative Area ID,URL,Maintainer,Name Language,Public,Name,Name Type,Administrative Area Name,Administrative Area Type,Administrative Area,Object Identifier,Geospatial Coordinates
69be48ab-2556-59de-a95e-f01ad643ef1c,au::103237,au::103226,https://anet.be/record/isaarlh/au::103237/N,LH,Nederlands,True,Roquebrune-Cap-Martin,Gemeente,Alpes-Maritimes,Departement,"[{""resourceId"": ""a0c11e1b-cc99-59fd-abcb-84dff02665df"", ""ontologyProperty"": """", ""resourceXresourceId"": ""01c9d9ea-29c1-4cdd-96e0-13143439e6b9"", ""inverseOntologyProperty"": """"}]",data.digipolis.be/ark:/NAAN/69be48ab-2556-59de-a95e-f01ad643ef1c,GEOMETRYCOLLECTION (POINT (43.757808 7.473754))
56603fb3-79d2-5897-9ec8-2fe5d13c871f,au::106035,au::106034,https://anet.be/record/isaarlh/au::106035/N,LH,Nederlands,True,Chesterfield,Gemeente,Derbyshire,County,"[{""resourceId"": ""b0be9aa5-d6fb-570f-a81d-44827488d93c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2e7d8844-744c-4f0b-b705-8ae1e95e09b8"", ""inverseOntologyProperty"": """"}]",data.digipolis.be/ark:/NAAN/56603fb3-79d2-5897-9ec8-2fe5d13c871f,GEOMETRYCOLLECTION (POINT (53.235048 -1.421629))
56d92e96-15f6-57f6-992e-6fe0bfc6601f,au::104008,au::104007,https://anet.be/record/isaarlh/au::104008/N,LH,Nederlands,True,Brazzaville,Gemeente,Kongo-Brazzaville,Land,"[{""resourceId"": ""cb6c79b0-0dea-5aa1-8f99-8803180152db"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e45445f3-ba8e-42dd-a347-201eea37c6b1"", ""inverseOntologyProperty"": """"}]",data.digipolis.be/ark:/NAAN/56d92e96-15f6-57f6-992e-6fe0bfc6601f,GEOMETRYCOLLECTION (POINT (-4.2633597 15.2428853))
37450bf7-21d6-555d-88fc-eb944ec52aa4,au::103667,au::103664,https://anet.be/record/isaarlh/au::103667/N,LH,Nederlands,True,Codisotto,Gemeente,Emilia-Romagna,Regio,"[{""resourceId"": ""86771568-0c28-597b-8b28-517aa5fa8025"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4cbc75e4-c7d5-4fc8-a566-82360d7de8ce"", ""inverseOntologyProperty"": """"}]",data.digipolis.be/ark:/NAAN/37450bf7-21d6-555d-88fc-eb944ec52aa4,GEOMETRYCOLLECTION (POINT (44.983634 10.7300508))
356852d3-bfbe-5483-ac98-608a8be8c7ab,au::100948,au::100895,https://anet.be/record/isaarlh/au::100948/N,LH,Nederlands,True,Keerbergen,Gemeente,Leuven,Arrondissement,"[{""resourceId"": ""aa4c5bc2-daba-5649-a7eb-9f44fc6106f3"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b474b21c-6c7c-4d14-bfe2-f2f61b38b31a"", ""inverseOntologyProperty"": """"}]",data.digipolis.be/ark:/NAAN/356852d3-bfbe-5483-ac98-608a8be8c7ab,GEOMETRYCOLLECTION (POINT (51.0057936 4.6320416))
5659701d-2876-5c18-ab80-5c1ac7ef3d5c,au::102975,au::102974,https://anet.be/record/isaarlh/au::102975/N,LH,Nederlands,True,Harbouey,Gemeente,Meurthe-et-Moselle,Departement,"[{""resourceId"": ""5b8c2c37-3ef3-5fe6-9b8f-919a2dc96939"", ""ontologyProperty"": """", ""resourceXresourceId"": ""706f1850-7123-4d8d-a4de-53f29354acf8"", ""inverseOntologyProperty"": """"}]",data.digipolis.be/ark:/NAAN/5659701d-2876-5c18-ab80-5c1ac7ef3d5c,GEOMETRYCOLLECTION (POINT (48.569272 6.885465))
852cd0ca-cf01-550f-a047-ee83f98d4941,au::106465,au::106276,https://anet.be/record/isaarlh/au::106465/N,LH,Nederlands,True,Tennessee,Staat,Verenigde Staten van Amerika,Land,"[{""resourceId"": ""874576e5-f17d-544c-b05c-bd7b0ca96b67"", ""ontologyProperty"": """", ""resourceXresourceId"": ""cfdf43e2-393c-4f43-a725-54e2b5c2e723"", ""inverseOntologyProperty"": """"}]",data.digipolis.be/ark:/NAAN/852cd0ca-cf01-550f-a047-ee83f98d4941,GEOMETRYCOLLECTION (POINT (35.5174913 -86.5804473))
a347a3ca-b8b2-5b4b-a34b-8c1721cac0d6,au::104458,au::104395,https://anet.be/record/isaarlh/au::104458/N,LH,Nederlands,True,Heteren,Gemeente,Gelderland,Provincie,"[{""resourceId"": ""f77a050e-bed8-5ab3-bf8c-2436e872023e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e71d62ba-a363-44f6-9d53-6364c9426b3b"", ""inverseOntologyProperty"": """"}]",data.digipolis.be/ark:/NAAN/a347a3ca-b8b2-5b4b-a34b-8c1721cac0d6,GEOMETRYCOLLECTION (POINT (51.9599741 5.7509006))
604d8436-aa73-5aed-a2ac-a21b42dc763a,au::108882,au::106523,https://anet.be/record/isaarlh/au::108882/N,LH,Nederlands,False,Noordwest,Provincie,Zuid-Afrika,Land,"[{""resourceId"": ""44fb8f72-8bae-5912-8dbb-e6fd09bbfe3a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""3f18cc6c-cb16-43f2-9059-8c2a2aa01988"", ""inverseOntologyProperty"": """"}]",data.digipolis.be/ark:/NAAN/604d8436-aa73-5aed-a2ac-a21b42dc763a,GEOMETRYCOLLECTION (POINT (-26.6638599 25.2837585))
138fd674-66c9-5910-9115-a20c8cd38d54,au::102426,au::102417,https://anet.be/record/isaarlh/au::102426/N,LH,Nederlands,True,Jettenburg,Gemeente,Thüringen,Deelstaat,"[{""resourceId"": ""1a3b8cb2-146c-57a3-ac7e-5f7c16bce503"", ""ontologyProperty"": """", ""resourceXresourceId"": ""93ac80d5-5228-41c5-b938-23a24f91925e"", ""inverseOntologyProperty"": """"}]",data.digipolis.be/ark:/NAAN/138fd674-66c9-5910-9115-a20c8cd38d54,GEOMETRYCOLLECTION (POINT (48.56554999999999 9.303939999999999))
