Object Number,Record Type,URL,ResourceID,Reference Number,Material Type,Keeper,Keeper Identifier,Object Identifier,Record ID Type,Object Number Type,Keeper Identifier Type,URL Type,Object Identifier Type,Reference Number Type,order,card,brocade.id,Acquisition Brocade ID,Acquisition Name,Acquisition Identifier,note,Annotation,Annotation Type,Annotation Language,Archive Brocade ID,Archive Name,Archive Identifier,Description,Description Type,Description Language,Dimension Value,Dimension Type,Dimension Measurement Unit,Illustration Type,Illustration URL,Brocade ID,ISAAR Brocade ID,Entity Identifier,ire.type.value,Entity Type,Entity Name,Relation Type,Acquisition Note,Location Number,Registration Number value,Archive Note,Source Note,Serial Number,Source Note Language,Source Note Type,id/place.place,Production Place Name,Production Place ID,Production Place Identifier,Production Actor Identifier,Production Actor ID,Production Actor Name,Production Actor Role,Production Actor Capacity,Comment,UserID,Legacy Comment Type
tg:lhps:1435,Affiche,https://anet.be/record/opaclhobj/tg:lhps:1435/N,0003d4d6-d63a-5e10-8a03-181a8456af86,BE-ANN07/ps/000001428,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/0003d4d6-d63a-5e10-8a03-181a8456af86'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0003d4d6-d63a-5e10-8a03-181a8456af86,,,,,,,,,,,,1,Descriptions,,,,,,,,,,,,"Toon- en Tooneelmaatschappij Oud-Leerlingenbond.  
Buitengewone Vertooning.  
Opvoering van:.  
Wat eene Moeder lijden kan.  
Door G. Roose en J. de Schuyter.",Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0003d4d6-d63a-5e10-8a03-181a8456af86,,,,,,,,,,,,1,Dimensions,,,,,,,,,,,,,,,"55,0",Height of work,Centimetres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0003d4d6-d63a-5e10-8a03-181a8456af86,,,,,,,,,,,,1,Dimensions,,,,,,,,,,,,,,,"72,0",Width of work,Centimetres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0003d4d6-d63a-5e10-8a03-181a8456af86,,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,tg:lhps:1435,au::16009,{'url': 'https://anet.be/record/isaarlh/au::16009'},kw,Persoon,George P.M. Roose,Trefwoord,,,,,,,,,,,,,,,,,,,,
,,,0003d4d6-d63a-5e10-8a03-181a8456af86,,,,,,,,,,,,2,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,tg:lhps:1435,au::16748,{'url': 'https://anet.be/record/isaarlh/au::16748'},kw,Persoon,Jan de Schuyter,Trefwoord,,,,,,,,,,,,,,,,,,,,
,,,0003d4d6-d63a-5e10-8a03-181a8456af86,,,,,,,,,,,,3,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,tg:lhps:1435,au::4333,{'url': 'https://anet.be/record/isaarlh/au::4333'},kw,Persoon,Hendrik Conscience,Trefwoord,,,,,,,,,,,,,,,,,,,,
,,,0003d4d6-d63a-5e10-8a03-181a8456af86,,,,,,,,,,,,1,Images,tg:lhps:1435,,,,,,,,,,,,,,,,,Lage resolutie,{'url': 'https://anet.be/docstore/d:lh:595997'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0003d4d6-d63a-5e10-8a03-181a8456af86,,,,,,,,,,,,2,Images,tg:lhps:1435,,,,,,,,,,,,,,,,,Thumbnail,{'url': 'https://anet.be/docstore/d:lh:596897'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0003d4d6-d63a-5e10-8a03-181a8456af86,,,,,,,,,,,,1,Items,tg:lhps:1435,,,,,,,,,,,,,,,,,,,,,,,,,,,C 34 / A,238085,,,,Nederlands,Noot,,,,,,,,,,,,
,,,0003d4d6-d63a-5e10-8a03-181a8456af86,,,,,,,,,,,,1,Places,tg:lhps:1435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[{'value': 'Berchem'}],Berchem,,,,,,,,,,
tg:lhps:58775,Affiche,https://anet.be/record/opaclhobj/tg:lhps:58775/N,008c24a0-9c54-5aff-8d7d-5d8a8ca12598,BE-ANN07/ps/000054570,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/008c24a0-9c54-5aff-8d7d-5d8a8ca12598'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
