Object Number,Record Type,URL,ResourceID,Reference Number,Keeper,Keeper Identifier,Object Identifier,Record ID Type,Object Number Type,Keeper Identifier Type,URL Type,Object Identifier Type,Reference Number Type,order,card,brocade.id,Acquisition Brocade ID,Acquisition Name,Acquisition Identifier,note,Annotation,Annotation Type,Annotation Language,Archive Brocade ID,Archive Name,Archive Identifier,Description,Description Type,Description Language,Dimension Value,Dimension Type,Dimension Measurement Unit,Illustration Type,Illustration URL,Brocade ID,ISAAR Brocade ID,Entity Identifier,ire.type.value,Entity Type,Entity Name,Relation Type,Acquisition Note,Registration Number value,Archive Note,Location Number,Source Note,Serial Number,Warehouse Location (begin),Warehouse Location (ende),Source Note Language,Source Note Type,id/place.place,Production Place Name,Production Place ID,Production Place Identifier,Object Type,Production Actor Identifier,Production Actor ID,Production Actor Name,Production Actor Role,Production Actor Capacity
tg:lhph:15077,Foto,https://anet.be/record/opaclhobj/tg:lhph:15077/N,003889a2-1f58-502e-8ee9-df274f09a963,BE-ANN07/ph/000014326,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/003889a2-1f58-502e-8ee9-df274f09a963'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,003889a2-1f58-502e-8ee9-df274f09a963,,,,,,,,,,,1,Acquisitions,tg:lhph:15077,tr:lh:5154,Archiefstukken van Maurice van den Dries,{'url':'https://id.letterenhuis.be/ark:/24970/003889a2-1f58-502e-8ee9-df274f09a963'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,003889a2-1f58-502e-8ee9-df274f09a963,,,,,,,,,,,1,Descriptions,,,,,,,,,,,,"Maurice van den Dries, borststuk.",Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,003889a2-1f58-502e-8ee9-df274f09a963,,,,,,,,,,,1,Dimensions,,,,,,,,,,,,,,,"115,0",Height of work,Centimetres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,003889a2-1f58-502e-8ee9-df274f09a963,,,,,,,,,,,1,Dimensions,,,,,,,,,,,,,,,"77,0",Width of work,Centimetres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,003889a2-1f58-502e-8ee9-df274f09a963,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,tg:lhph:15077,au::5910,{'url': 'https://anet.be/record/isaarlh/au::5910'},kw,Persoon,Maurice van den Dries,Trefwoord,,,,,,,,,,,,,,,,,,,,
,,,003889a2-1f58-502e-8ee9-df274f09a963,,,,,,,,,,,1,Images,tg:lhph:15077,,,,,,,,,,,,,,,,,Lage resolutie,{'url': 'https://anet.be/docstore/d:lh:15279'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,003889a2-1f58-502e-8ee9-df274f09a963,,,,,,,,,,,2,Images,tg:lhph:15077,,,,,,,,,,,,,,,,,Thumbnail,{'url': 'https://anet.be/docstore/d:lh:140275'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,003889a2-1f58-502e-8ee9-df274f09a963,,,,,,,,,,,1,Items,tg:lhph:15077,,,,,,,,,,,,,,,,,,,,,,,,,,tr:lh:5154,101682/1,,D 791 / P,,,,,Nederlands,Noot,,,,,,,,,,
,,,003889a2-1f58-502e-8ee9-df274f09a963,,,,,,,,,,,1,ObjectTypes,tg:lhph:15077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zwart/Wit Foto,,,,,
tg:lhph:47068,Foto,https://anet.be/record/opaclhobj/tg:lhph:47068/N,00670a75-175f-51fb-99c6-cc56a3cd24fe,BE-ANN07/ph/000045496,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/00670a75-175f-51fb-99c6-cc56a3cd24fe'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00670a75-175f-51fb-99c6-cc56a3cd24fe,,,,,,,,,,,1,Acquisitions,tg:lhph:47068,tr:lh:5832,Archief van Pliet van Lishout,{'url':'https://id.letterenhuis.be/ark:/24970/00670a75-175f-51fb-99c6-cc56a3cd24fe'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00670a75-175f-51fb-99c6-cc56a3cd24fe,,,,,,,,,,,1,Annotations,tg:lhph:47068,,,,note.lhalg,"Schenking weduwe Pliet van Lishout.

Uit Fotoalbum. Tekst tussen de aanhalingstekens staat in het fotoalbum.",Algemeen,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00670a75-175f-51fb-99c6-cc56a3cd24fe,,,,,,,,,,,1,Archives,tg:lhph:47068,,,,,,,,isad:lh:93067,Foto's (verzameling),{'url':'https://id.letterenhuis.be/ark:/24970/00670a75-175f-51fb-99c6-cc56a3cd24fe'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00670a75-175f-51fb-99c6-cc56a3cd24fe,,,,,,,,,,,1,Descriptions,,,,,,,,,,,,"De Faun. Hout kleinmaken voor het vuur. Opschrift: """"Dit zijn enkel zweeters.""""
(Het opschrift verwijst naar de vorige foto 'Eters en  zweeters'.)",Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00670a75-175f-51fb-99c6-cc56a3cd24fe,,,,,,,,,,,1,Dimensions,,,,,,,,,,,,,,,"55,0",Height of work,Centimetres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00670a75-175f-51fb-99c6-cc56a3cd24fe,,,,,,,,,,,1,Dimensions,,,,,,,,,,,,,,,"81,0",Width of work,Centimetres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00670a75-175f-51fb-99c6-cc56a3cd24fe,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,tg:lhph:47068,au::6637,{'url': 'https://anet.be/record/isaarlh/au::6637'},vb,Tijdschrift,De Faun,In Verband Met,,,,,,,,,,,,,,,,,,,,
,,,00670a75-175f-51fb-99c6-cc56a3cd24fe,,,,,,,,,,,1,Images,tg:lhph:47068,,,,,,,,,,,,,,,,,Lage resolutie,{'url': 'https://anet.be/docstore/d:lh:46025'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00670a75-175f-51fb-99c6-cc56a3cd24fe,,,,,,,,,,,2,Images,tg:lhph:47068,,,,,,,,,,,,,,,,,Thumbnail,{'url': 'https://anet.be/docstore/d:lh:171108'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00670a75-175f-51fb-99c6-cc56a3cd24fe,,,,,,,,,,,1,Items,tg:lhph:47068,,,,,,,,,,,,,,,,,,,,,,,,,,tr:lh:5832,123650/11,isad:lh:93067,F 162 / P,,,,,Nederlands,Noot,,,,,,,,,,
,,,00670a75-175f-51fb-99c6-cc56a3cd24fe,,,,,,,,,,,1,ObjectTypes,tg:lhph:47068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zwart/Wit Foto,,,,,
,,,00670a75-175f-51fb-99c6-cc56a3cd24fe,,,,,,,,,,,1,Places,tg:lhph:47068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[{'value': 'Bellem'}],Bellem,,,,,,,,
tg:lhph:51850,Foto,https://anet.be/record/opaclhobj/tg:lhph:51850/N,008c71e5-7646-57d4-9481-43d3b17b1b0e,BE-ANN07/ph/000049986,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/008c71e5-7646-57d4-9481-43d3b17b1b0e'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,008c71e5-7646-57d4-9481-43d3b17b1b0e,,,,,,,,,,,1,Annotations,tg:lhph:51850,,,,note.lhalg,Reeks van vier foto's,Algemeen,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,008c71e5-7646-57d4-9481-43d3b17b1b0e,,,,,,,,,,,1,Archives,tg:lhph:51850,,,,,,,,isad:lh:93287,Foto's i.v.m. Marnix Gijsen,{'url':'https://id.letterenhuis.be/ark:/24970/008c71e5-7646-57d4-9481-43d3b17b1b0e'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,008c71e5-7646-57d4-9481-43d3b17b1b0e,,,,,,,,,,,1,Descriptions,,,,,,,,,,,,Marnix Gijsen in 1974,Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,008c71e5-7646-57d4-9481-43d3b17b1b0e,,,,,,,,,,,1,Dimensions,,,,,,,,,,,,,,,"88,0",Height of work,Centimetres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,008c71e5-7646-57d4-9481-43d3b17b1b0e,,,,,,,,,,,1,Dimensions,,,,,,,,,,,,,,,"88,0",Width of work,Centimetres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,008c71e5-7646-57d4-9481-43d3b17b1b0e,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,tg:lhph:51850,au::7526,{'url': 'https://anet.be/record/isaarlh/au::7526'},kw,Persoon,Marnix Gijsen,Trefwoord,,,,,,,,,,,,,,,,,,,,
,,,008c71e5-7646-57d4-9481-43d3b17b1b0e,,,,,,,,,,,1,Items,tg:lhph:51850,,,,,,,,,,,,,,,,,,,,,,,,,,,235698/1-4,isad:lh:93287,G 994 / P,,,,,Nederlands,Noot,,,,,,,,,,
,,,008c71e5-7646-57d4-9481-43d3b17b1b0e,,,,,,,,,,,1,ObjectTypes,tg:lhph:51850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kleurenfoto,,,,,
tg:lhph:39374,Foto,https://anet.be/record/opaclhobj/tg:lhph:39374/N,00cae4e2-d791-532c-b5c0-a1a141118129,BE-ANN07/ph/000038133,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/00cae4e2-d791-532c-b5c0-a1a141118129'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00cae4e2-d791-532c-b5c0-a1a141118129,,,,,,,,,,,1,Acquisitions,tg:lhph:39374,tr:lh:4315,Archief van Piet Schepens,{'url':'https://id.letterenhuis.be/ark:/24970/00cae4e2-d791-532c-b5c0-a1a141118129'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00cae4e2-d791-532c-b5c0-a1a141118129,,,,,,,,,,,1,Annotations,tg:lhph:39374,,,,note.lhalg,"Twee exemplaren, met gekartelde randen. Foto Piet Schepens. Deel van een reeks van 12 foto's.",Algemeen,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
