Object Number,Record Type,URL,ResourceID,Reference Number,Temporary Location Note,Production Technique Keywords,Carrier Colour,Keeper,Keeper Identifier,Object Identifier,Record ID Type,Object Number Type,Keeper Identifier Type,URL Type,Object Identifier Type,Reference Number Type,order,card,brocade.id,Acquisition Brocade ID,Acquisition Name,Acquisition Identifier,note,Annotation,Annotation Type,Annotation Language,Archive Brocade ID,Archive Name,Archive Identifier,Condition State Note,Condition State Notes Type,Condition State Notes Language,Description,Description Type,Description Language,Genre Type,Illustration Type,Illustration URL,Signature Note,Signature Note Type,Signature Note  Language,Brocade ID,ISAAR Brocade ID,Entity Identifier,ire.type.value,Entity Type,Entity Name,Relation Type,Acquisition Note,Registration Number value,Location Number,Archive Note,Warehouse Location (begin),Source Note,Serial Number,Warehouse Location (ende),Source Note Language,Source Note Type,Object Type,Production Actor Identifier,Production Actor ID,Production Actor Name,Production Actor Role,Production Actor Capacity,Title,Title Type,Title Language,Comment,UserID,Legacy Comment Type
tg:lhsc:1035,Schilderij,https://anet.be/record/opaclhobj/tg:lhsc:1035/N,0037c8b2-625d-5e8e-a6f5-fef61711e8d9,BE-ANN07/sc/000000418,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/0037c8b2-625d-5e8e-a6f5-fef61711e8d9'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0037c8b2-625d-5e8e-a6f5-fef61711e8d9,,,,,,,,,,,,,,2,Conditions,tg:lhsc:1035,,,,note.lhconditie,,,,,,,"* opp.vuil

* vlekken: schimmel

* schimmel

(07/09/2001)",Materiële toestand,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0037c8b2-625d-5e8e-a6f5-fef61711e8d9,,,,,,,,,,,,,,1,Descriptions,,,,,,,,,,,,,,,Aangezichtsmasker met oren. Geen steunrand.,Detailbeschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0037c8b2-625d-5e8e-a6f5-fef61711e8d9,,,,,,,,,,,,,,1,GenreTypes,tg:lhsc:1035,,,,,,,,,,,,,,,,,Dodenmasker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0037c8b2-625d-5e8e-a6f5-fef61711e8d9,,,,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,,,,,tg:lhsc:1035,au::19557,{'url': 'https://anet.be/record/isaarlh/au::19557'},kw,Persoon,Lode Verhees,Trefwoord,,,,,,,,,,,,,,,,,,,,,,
,,,0037c8b2-625d-5e8e-a6f5-fef61711e8d9,,,,,,,,,,,,,,1,Images,tg:lhsc:1035,,,,,,,,,,,,,,,,,,Lage resolutie,{'url': 'https://anet.be/docstore/d:lh:83635'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0037c8b2-625d-5e8e-a6f5-fef61711e8d9,,,,,,,,,,,,,,2,Images,tg:lhsc:1035,,,,,,,,,,,,,,,,,,Thumbnail,{'url': 'https://anet.be/docstore/d:lh:89326'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0037c8b2-625d-5e8e-a6f5-fef61711e8d9,,,,,,,,,,,,,,1,Items,tg:lhsc:1035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8168,K2 B 48 D,,,,,,Nederlands,Noot,,,,,,,,,,,,
,,,0037c8b2-625d-5e8e-a6f5-fef61711e8d9,,,,,,,,,,,,,,1,Titles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dodenmasker van Lode Verhees,Titel,Nederlands,,,
tg:lhsc:1090,Schilderij,https://anet.be/record/opaclhobj/tg:lhsc:1090/N,00e7c800-363d-5867-af7e-9bdc361c7afc,BE-ANN07/sc/000000472,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/00e7c800-363d-5867-af7e-9bdc361c7afc'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00e7c800-363d-5867-af7e-9bdc361c7afc,,,,,,,,,,,,,,3,Conditions,tg:lhsc:1090,,,,note.lhconditie,,,,,,,"* opp.vuil

* vlekken: verfvlek op achterzijde, zwarte vlek langs voorzijde

* lacunes in de afwerkingslaag: kleine, op linkerschouder, rechts achter,
achterzijde

(29/08/2001)",Materiële toestand,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00e7c800-363d-5867-af7e-9bdc361c7afc,,,,,,,,,,,,,,1,Descriptions,,,,,,,,,,,,,,,Afwerkingslaag: marmerimitatie (grijs-wit),Detailbeschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00e7c800-363d-5867-af7e-9bdc361c7afc,,,,,,,,,,,,,,1,GenreTypes,tg:lhsc:1090,,,,,,,,,,,,,,,,,Buste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00e7c800-363d-5867-af7e-9bdc361c7afc,,,,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,,,,,tg:lhsc:1090,au::54779,{'url': 'https://anet.be/record/isaarlh/au::54779'},ar,Persoon,L. Meeus,Kunstenaar,,,,,,,,,,,,,,,,,,,,,,
,,,00e7c800-363d-5867-af7e-9bdc361c7afc,,,,,,,,,,,,,,2,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,,,,,tg:lhsc:1090,au::21136,{'url': 'https://anet.be/record/isaarlh/au::21136'},kw,Persoon,Andreas de Weerdt,Trefwoord,,,,,,,,,,,,,,,,,,,,,,
,,,00e7c800-363d-5867-af7e-9bdc361c7afc,,,,,,,,,,,,,,1,Images,tg:lhsc:1090,,,,,,,,,,,,,,,,,,Lage resolutie,{'url': 'https://anet.be/docstore/d:lh:83689'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00e7c800-363d-5867-af7e-9bdc361c7afc,,,,,,,,,,,,,,2,Images,tg:lhsc:1090,,,,,,,,,,,,,,,,,,Thumbnail,{'url': 'https://anet.be/docstore/d:lh:89380'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00e7c800-363d-5867-af7e-9bdc361c7afc,,,,,,,,,,,,,,2,Inscriptions,,,,,,,,,,,,,,,,,,,,,"Rechterzijde: _L Meeus_

Vooraan: _ANDRIES DE WEERT_",Signatuur,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00e7c800-363d-5867-af7e-9bdc361c7afc,,,,,,,,,,,,,,1,Items,tg:lhsc:1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56520,K2 B 54 D,,,,,,Nederlands,Noot,,,,,,,,,,,,
,,,00e7c800-363d-5867-af7e-9bdc361c7afc,,,,,,,,,,,,,,1,ProductionActors,tg:lhsc:1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{'url':'data.antwerpen.be/ark:/83110/1b8ac7fb-66e2-53ce-82e2-2c72188ccfa0'},au::54779,L. Meeus,Kunstenaar,,,,,,,
,,,00e7c800-363d-5867-af7e-9bdc361c7afc,,,,,,,,,,,,,,1,Titles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andréas de Weerdt,Titel,Nederlands,,,
tg:lhsc:1196,Schilderij,https://anet.be/record/opaclhobj/tg:lhsc:1196/N,01173118-1065-5ac0-95a5-84cd3d650f70,BE-ANN07/sc/000000574,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/01173118-1065-5ac0-95a5-84cd3d650f70'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,01173118-1065-5ac0-95a5-84cd3d650f70,,,,,,,,,,,,,,1,Acquisitions,tg:lhsc:1196,tr:lh:2212,Oningeschreven gevonden in 1951,{'url':'https://id.letterenhuis.be/ark:/24970/01173118-1065-5ac0-95a5-84cd3d650f70'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,01173118-1065-5ac0-95a5-84cd3d650f70,,,,,,,,,,,,,,2,Conditions,tg:lhsc:1196,,,,note.lhconditie,,,,,,,"* opp.vuil

(10/09/2001)",Materiële toestand,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,01173118-1065-5ac0-95a5-84cd3d650f70,,,,,,,,,,,,,,1,GenreTypes,tg:lhsc:1196,,,,,,,,,,,,,,,,,Buste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,01173118-1065-5ac0-95a5-84cd3d650f70,,,,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,,,,,tg:lhsc:1196,au::9691,{'url': 'https://anet.be/record/isaarlh/au::9691'},ar,Persoon,Oscar Jespers,Kunstenaar,,,,,,,,,,,,,,,,,,,,,,
,,,01173118-1065-5ac0-95a5-84cd3d650f70,,,,,,,,,,,,,,2,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,,,,,tg:lhsc:1196,au::54809,{'url': 'https://anet.be/record/isaarlh/au::54809'},gt,Organisatie,Batardy - cire perdue,Gieter,,,,,,,,,,,,,,,,,,,,,,
,,,01173118-1065-5ac0-95a5-84cd3d650f70,,,,,,,,,,,,,,3,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,,,,,tg:lhsc:1196,au::15416,{'url': 'https://anet.be/record/isaarlh/au::15416'},kw,Persoon,Lodewijk de Raet,Trefwoord,,,,,,,,,,,,,,,,,,,,,,
,,,01173118-1065-5ac0-95a5-84cd3d650f70,,,,,,,,,,,,,,1,Images,tg:lhsc:1196,,,,,,,,,,,,,,,,,,Lage resolutie,{'url': 'https://anet.be/docstore/d:lh:83790'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,01173118-1065-5ac0-95a5-84cd3d650f70,,,,,,,,,,,,,,2,Images,tg:lhsc:1196,,,,,,,,,,,,,,,,,,Thumbnail,{'url': 'https://anet.be/docstore/d:lh:89481'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,01173118-1065-5ac0-95a5-84cd3d650f70,,,,,,,,,,,,,,1,Inscriptions,,,,,,,,,,,,,,,,,,,,,"Achterkant: _Lodewijk de Raet / door Oscar Jespers _ Onderaan op de rug
gietersmerk: _Batardy, cire perdue, Bruxelles_",Signatuur,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,01173118-1065-5ac0-95a5-84cd3d650f70,,,,,,,,,,,,,,1,Items,tg:lhsc:1196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tr:lh:2212,42290,K2 C 9 A,,,,,,Nederlands,Noot,,,,,,,,,,,,
,,,01173118-1065-5ac0-95a5-84cd3d650f70,,,,,,,,,,,,,,1,ProductionActors,tg:lhsc:1196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{'url':'data.antwerpen.be/ark:/83110/baecc7d9-6355-530f-8abd-ce1539329632'},au::9691,Oscar Jespers,Kunstenaar,,,,,,,
,,,01173118-1065-5ac0-95a5-84cd3d650f70,,,,,,,,,,,,,,1,Titles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lodewijk de Raet,Titel,Nederlands,,,
tg:lhsc:945,Schilderij,https://anet.be/record/opaclhobj/tg:lhsc:945/N,0132a4ce-d78f-5f35-b607-75a7bd6d5179,BE-ANN07/sc/000000331,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/0132a4ce-d78f-5f35-b607-75a7bd6d5179'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0132a4ce-d78f-5f35-b607-75a7bd6d5179,,,,,,,,,,,,,,2,Annotations,tg:lhsc:945,,,,note.lhherkomst,"Schenking Ol. Guillierme, 9.4.1943",Herkomst,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0132a4ce-d78f-5f35-b607-75a7bd6d5179,,,,,,,,,,,,,,1,Conditions,tg:lhsc:945,,,,note.lhconditie,,,,,,,"* opp.vuil

* vlekken: gele / zwarte vlekken

* schimmel

(11/09/2001)",Materiële toestand,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0132a4ce-d78f-5f35-b607-75a7bd6d5179,,,,,,,,,,,,,,1,GenreTypes,tg:lhsc:945,,,,,,,,,,,,,,,,,Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0132a4ce-d78f-5f35-b607-75a7bd6d5179,,,,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,,,,,,,,,,,,tg:lhsc:945,au::17799,{'url': 'https://anet.be/record/isaarlh/au::17799'},kw,Persoon,Stijn Streuvels,Trefwoord,,,,,,,,,,,,,,,,,,,,,,
,,,0132a4ce-d78f-5f35-b607-75a7bd6d5179,,,,,,,,,,,,,,1,Images,tg:lhsc:945,,,,,,,,,,,,,,,,,,Lage resolutie,{'url': 'https://anet.be/docstore/d:lh:83549'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0132a4ce-d78f-5f35-b607-75a7bd6d5179,,,,,,,,,,,,,,2,Images,tg:lhsc:945,,,,,,,,,,,,,,,,,,Thumbnail,{'url': 'https://anet.be/docstore/d:lh:89240'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0132a4ce-d78f-5f35-b607-75a7bd6d5179,,,,,,,,,,,,,,3,Images,tg:lhsc:945,,,,,,,,,,,,,,,,,,Hoge resolutie,{'url': 'https://anet.be/docstore/d:lh:232454'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
