ResourceID,brocade.id,card,order,source_field,Production Time Span Source Note
1c79fab5-84da-5f36-b982-24f79a4e6dd9,tg:rubgr:2366,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19530903
ecd10fbe-04eb-5005-805b-d8ef18e05da3,tg:rubgr:2235,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19600604
b9f43f2b-27dd-50d8-b2e9-7b8d565bed3b,tg:rubgr:375,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19530903
2d12f68e-49c7-5d45-b8c0-8204faace167,tg:rubgr:4115,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19710909
a88518c4-e145-5ce7-892c-68b6bca6cbed,tg:rubgr:1182,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19530903
f76b6914-8bd7-5405-bf57-af80c1dabb98,tg:rubgr:226,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19651126
22671933-0ed5-578a-87c8-7988aeed42f8,tg:rubgr:174,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19531218
2194ea8b-0a85-503f-9eee-e9972556acda,tg:rubgr:1546,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19530903
a7642c59-ff93-588a-9729-84a045f10181,tg:rubgr:2686,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19760513
2d87282f-cc45-5ed7-8873-2a64b5bf17b3,tg:rubgr:708,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19530703
7b747166-e6dc-54ae-8bb5-3d846ae8688e,tg:rubgr:2668,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19680815
3730dbde-aca7-51a7-9219-9e74cba34c7c,tg:rubgr:2384,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19530903
ff824a8e-6eb1-53ee-bf5c-9ca5114c653f,tg:rubgr:180,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19530702
7ad9e225-a8f2-5c48-a589-d217c7fe1728,tg:rubgr:179,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19530617
99bfa22e-3078-53b7-81cf-9a1742817766,tg:rubgr:2317,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19780000
a4dc60eb-db7a-5a7f-b527-e969ebae5dcc,tg:rubgr:51,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19550601
38937fca-468d-5ca4-aa57-569520ea0c06,tg:rubgr:2415,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19610906
cafb098b-c775-5106-a890-a60c5396815a,tg:rubgr:1239,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19530903
9930ba41-eedf-586f-b895-260dcd4b0f41,tg:rubgr:349,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19580828
90d27da2-694b-5040-9044-15da4ab3cf81,tg:rubgr:1848,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19540729
9950af38-4752-5899-a524-e94e8ad9da60,tg:rubgr:1150,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19530903
a6129116-cc96-5326-abdb-57eff3ec2259,tg:rubgr:3340,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19561110
8434075d-07c1-5f2c-9477-94eca1f4ea0c,tg:rubgr:1890,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19561205
6eb526a7-3a4e-5460-8230-d9b96ed1ec39,tg:rubgr:2682,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19751222
b40a3314-d12e-5182-b572-f9b4c6a3b02e,tg:rubgr:53,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19551005
95ab0658-9ace-56ec-9feb-cdf971f8c4f5,tg:rubgr:2359,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19740000
8d3cf0d6-0b93-5d81-b4be-458585bdd21a,tg:rubgr:52,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19551005
83eba31a-fb9a-50b3-a740-38e1a8c698a6,tg:rubgr:2153,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19530903
eeca19a5-c28c-50f1-84dd-48e03620d129,tg:rubgr:55,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19660517
d965a64b-85ab-5e78-b762-4c221c978b56,tg:rubgr:54,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19660517
5a81fd79-7a83-58da-a355-45475dfda061,tg:rubgr:2447,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19530903
55bd0770-8d2f-5309-a553-ad2ddeda8161,tg:rubgr:1637,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19531103
1fa17693-cbd8-5182-93f6-14a1b39ad5f6,tg:rubgr:2298,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19560000
70b737b4-71f7-5d9b-9480-3f4d993993c2,tg:rubgr:182,ProductionTimeSpanSourceNotes,0,id/date.creationdate/so,19530617
