ResourceID,brocade.id,card,source_date,Copyright Revision Date,Copyright Type,0,source_field
b40a3314-d12e-5182-b572-f9b4c6a3b02e,tg:rubgr:53,e73_Copyrights,1955.0,2070,In Copyright,nan,nan
1fa17693-cbd8-5182-93f6-14a1b39ad5f6,tg:rubgr:2298,e73_Copyrights,1956.0,2071,In Copyright,nan,nan
95ab0658-9ace-56ec-9feb-cdf971f8c4f5,tg:rubgr:2359,e73_Copyrights,1974.0,2089,In Copyright,nan,nan
1c79fab5-84da-5f36-b982-24f79a4e6dd9,tg:rubgr:2366,e73_Copyrights,1953.0,2068,In Copyright,nan,nan
2d87282f-cc45-5ed7-8873-2a64b5bf17b3,tg:rubgr:708,e73_Copyrights,1953.0,2068,In Copyright,nan,nan
b9f43f2b-27dd-50d8-b2e9-7b8d565bed3b,tg:rubgr:375,e73_Copyrights,1953.0,2068,In Copyright,nan,nan
8d3cf0d6-0b93-5d81-b4be-458585bdd21a,tg:rubgr:52,e73_Copyrights,1955.0,2070,In Copyright,nan,nan
a7642c59-ff93-588a-9729-84a045f10181,tg:rubgr:2686,e73_Copyrights,1976.0,2091,In Copyright,nan,nan
38937fca-468d-5ca4-aa57-569520ea0c06,tg:rubgr:2415,e73_Copyrights,1961.0,2076,In Copyright,nan,nan
99bfa22e-3078-53b7-81cf-9a1742817766,tg:rubgr:2317,e73_Copyrights,1978.0,2093,In Copyright,nan,nan
7ad9e225-a8f2-5c48-a589-d217c7fe1728,tg:rubgr:179,e73_Copyrights,1953.0,2068,In Copyright,nan,nan
9950af38-4752-5899-a524-e94e8ad9da60,tg:rubgr:1150,e73_Copyrights,1953.0,2068,In Copyright,nan,nan
a4dc60eb-db7a-5a7f-b527-e969ebae5dcc,tg:rubgr:51,e73_Copyrights,1955.0,2070,In Copyright,nan,nan
9930ba41-eedf-586f-b895-260dcd4b0f41,tg:rubgr:349,e73_Copyrights,1958.0,2073,In Copyright,nan,nan
2194ea8b-0a85-503f-9eee-e9972556acda,tg:rubgr:1546,e73_Copyrights,1953.0,2068,In Copyright,nan,nan
a88518c4-e145-5ce7-892c-68b6bca6cbed,tg:rubgr:1182,e73_Copyrights,1953.0,2068,In Copyright,nan,nan
7b747166-e6dc-54ae-8bb5-3d846ae8688e,tg:rubgr:2668,e73_Copyrights,1968.0,2083,In Copyright,nan,nan
2d12f68e-49c7-5d45-b8c0-8204faace167,tg:rubgr:4115,e73_Copyrights,1971.0,2086,In Copyright,nan,nan
ff824a8e-6eb1-53ee-bf5c-9ca5114c653f,tg:rubgr:180,e73_Copyrights,1953.0,2068,In Copyright,nan,nan
22671933-0ed5-578a-87c8-7988aeed42f8,tg:rubgr:174,e73_Copyrights,1953.0,2068,In Copyright,nan,nan
d965a64b-85ab-5e78-b762-4c221c978b56,tg:rubgr:54,e73_Copyrights,1966.0,2081,In Copyright,nan,nan
a6129116-cc96-5326-abdb-57eff3ec2259,tg:rubgr:3340,e73_Copyrights,1956.0,2071,In Copyright,nan,nan
8434075d-07c1-5f2c-9477-94eca1f4ea0c,tg:rubgr:1890,e73_Copyrights,1956.0,2071,In Copyright,nan,nan
eeca19a5-c28c-50f1-84dd-48e03620d129,tg:rubgr:55,e73_Copyrights,1966.0,2081,In Copyright,nan,nan
3730dbde-aca7-51a7-9219-9e74cba34c7c,tg:rubgr:2384,e73_Copyrights,1953.0,2068,In Copyright,nan,nan
ecd10fbe-04eb-5005-805b-d8ef18e05da3,tg:rubgr:2235,e73_Copyrights,1960.0,2075,In Copyright,nan,nan
83eba31a-fb9a-50b3-a740-38e1a8c698a6,tg:rubgr:2153,e73_Copyrights,1953.0,2068,In Copyright,nan,nan
cafb098b-c775-5106-a890-a60c5396815a,tg:rubgr:1239,e73_Copyrights,1953.0,2068,In Copyright,nan,nan
70b737b4-71f7-5d9b-9480-3f4d993993c2,tg:rubgr:182,e73_Copyrights,1953.0,2068,In Copyright,nan,nan
6eb526a7-3a4e-5460-8230-d9b96ed1ec39,tg:rubgr:2682,e73_Copyrights,1975.0,2090,In Copyright,nan,nan
f76b6914-8bd7-5405-bf57-af80c1dabb98,tg:rubgr:226,e73_Copyrights,1965.0,2080,In Copyright,nan,nan
55bd0770-8d2f-5309-a553-ad2ddeda8161,tg:rubgr:1637,e73_Copyrights,1953.0,2068,In Copyright,nan,nan
5a81fd79-7a83-58da-a355-45475dfda061,tg:rubgr:2447,e73_Copyrights,1953.0,2068,In Copyright,nan,nan
90d27da2-694b-5040-9044-15da4ab3cf81,tg:rubgr:1848,e73_Copyrights,1954.0,2069,In Copyright,nan,nan
8312a301-68fb-58c1-ad18-57e8eb3e3408,nan,e73_CreationTimeSpans,nan,nan,permission required,tg:rubgr:3315,default_restriction
657f2127-fea9-580a-ab96-f6470961edd2,nan,e73_CreationTimeSpans,nan,nan,permission required,tg:rubgr:1901,default_restriction
16efc67f-124a-530c-b828-2d56a75d7263,nan,e73_CreationTimeSpans,nan,nan,permission required,tg:rubgr:2577,default_restriction
f034f50d-aa99-5e39-9434-b34e19c15998,nan,e73_CreationTimeSpans,nan,nan,permission required,tg:rubgr:4011,default_restriction
09dc991c-d65d-550f-9478-0161270a8013,nan,e73_CreationTimeSpans,nan,nan,permission required,tg:rubgr:2498,default_restriction
ea4bb9a8-21ec-5430-8c46-be7bdb1a4630,nan,e73_CreationTimeSpans,nan,nan,permission required,tg:rubgr:1753,default_restriction
6785c56a-cdc0-5343-beb9-09959d5651a8,nan,e73_CreationTimeSpans,nan,nan,permission required,tg:rubgr:2311,default_restriction
cf5ac61e-9264-5a7c-b283-28ec2a8c84e7,nan,e73_CreationTimeSpans,nan,nan,permission required,tg:rubgr:2191,default_restriction
acd147e9-2051-5b99-a0b3-099b9b5c84ac,nan,e73_CreationTimeSpans,nan,nan,permission required,tg:rubgr:2193,default_restriction
3f4882e7-2156-50ad-a957-b12c1adb704d,nan,e73_CreationTimeSpans,nan,nan,permission required,tg:rubgr:2673,default_restriction
cb4ed68f-9a06-56a3-9ae4-a0a500ee34d0,nan,e73_CreationTimeSpans,nan,nan,permission required,tg:rubgr:2155,default_restriction
99e04a98-4ac2-52c7-b64f-da4222e200ca,nan,e73_CreationTimeSpans,nan,nan,permission required,tg:rubgr:1480,default_restriction
cdeb7067-b99f-5a09-92d6-17d2fdf373a9,nan,e73_CreationTimeSpans,nan,nan,permission required,tg:rubgr:235,default_restriction
5c211aea-0282-5bfd-b7ca-2eb8189a8b05,nan,e73_CreationTimeSpans,nan,nan,permission required,tg:rubgr:2576,default_restriction
de658354-c7df-57b9-8da5-5f9dcf62bc4f,nan,e73_CreationTimeSpans,nan,nan,permission required,tg:rubgr:3329,default_restriction
24e99f58-7a24-5009-addf-a2286849e5b2,nan,e73_CreationTimeSpans,nan,nan,permission required,tg:rubgr:1648,default_restriction
f7e0d038-cf36-5891-84a8-0baab4d226ce,nan,e73_CreationTimeSpans,nan,nan,permission required,tg:rubgr:3290,default_restriction
b6387191-2593-55bb-bf10-ea1950f589ee,nan,e73_CreationTimeSpans,nan,nan,permission required,tg:rubgr:350,default_restriction
64a6edb3-3a42-562c-98b2-4fbaf3dcddb7,nan,e73_CreationTimeSpans,nan,nan,permission required,tg:rubgr:2522,default_restriction
be34e0a0-c71d-540f-93a2-08cf7251017d,nan,e73_CreationTimeSpans,nan,nan,permission required,tg:rubgr:2574,default_restriction
33e6cb98-f088-5610-aa3a-346865cb1d69,nan,e73_CreationTimeSpans,nan,nan,permission required,tg:rubgr:2393,default_restriction
