Record ID,Record Type,Keeper Name,URL,ResourceID,Object Number value,Stage Type,Format Dimension,Format Type,Sheet Numbers,Sheeet Type,Page Numbers,Page Type,Object Identifier,Record Identifier Type,URL Type,Object Identifier Type,Object Number Type,order,card,brocade.id,note,Annotation,Annotation Type,Annotation Language,Archive Brocade ID,Archive Name,Archive Identifier,Description,Description Type,Description Language,External Relation Type,External Relation URL,External Relation URL Type,Brocade ID,ISAAR Brocade ID,Entity Identifier,ire.type.value,Entity Type,Entity Name,Relation Type,Archive Note,Warehouse Location (begin),Warehouse Location (ende),Source Note,Serial Number,Source Note Language,Source Note Type,id/place.place,Production Place ID,Production Place Identifier,Production Place Name,Title,Title Type,Title Language
tg:rubhs:218,Handschrift,Rubenianum,https://anet.be/record/opacrubobj/tg:rubhs:218/N,00aae731-40a4-579d-872d-30c121a1187f,BE-ANN14/hs/000000004,Handgeschreven,,,,,400.0,Circa,{'url':'https://id.museumplantinmoretus.be/ark:/11975/00aae731-40a4-579d-872d-30c121a1187f'},Record Identifier,URL,Object Identifier,Object Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00aae731-40a4-579d-872d-30c121a1187f,,,,,,,,,,,,,,1,Annotations,tg:rubhs:218,note.rubdetail,"Bevat transcripties van allerhande publicaties - waaronder ook veilingcatalogi en krantenartikelen - evenals archivalia in verband met Rubens, steeds vergezeld van een bronvermelding. De getranscribeerde stukken dateren hoofdzakelijk uit de tweede helft van de 19de eeuw, hoewel er af en toe ook een ouder stuk tussen lijkt te zitten.

Bij heel wat transcripties werden aan het begin in de kantlijn opmerkingen toegevoegd als """"af""""[?], """"utilisé"""", """"utilisé transcrit"""", """"à consulter"""". Het lijkt er dus op dat Rooses dit boekje gebruikte om interessante informatie te registeren die hij diende te bekijken voor zijn onderzoek en/of diende te integreren in zijn publicaties. In die zin geeft het stuk een idee van de werkwijze van Rooses als kunsthistoricus.
Een van de transcripties lijkt in feite een kladversie van een brief te zijn, gedateerd 15/01/1881. Hieruit kunnen we min of meer de ontstaansperiode van het boekje afleiden.

Het boekje is opgedeeld in twee met de hand genummerde delen (pagina 1 (6 pagina's ervoor niet genummerd) t.e.m. [184] en 1 t.e.m. [192]). Helemaal achteraan bevinden zich tafels van de twee delen en een tafel specifiek op de handschriften van François Mols.  
Op p. 106 t.e.m. 172 van het eerste deel worden in de bovenhoeken data uit het leven van Rubens genoteerd. Daarop volgt een reeks pagina's met chronologisch één datum per pagina waarop telkens biografische info staat.   
In het tweede deel worden verschillende specifieke thema's besproken: vanaf p. 69 een gelijkaardige opdeling per datum, maar ditmaal met een chronologische opsomming van de werken van Rubens, gevolgd door info over samenwerkingen. Vanaf p. 119 gaat het over de brieven van Rubens, op p. 151 over zijn schilderstijl, vanaf p. 154 over graveurs die naar Rubens werkten, op p. 165 over de kenmerken aan de hand waarvan zijn werken gedateerd kunnen worden, op p. 166 kort over tekeningen, op p. 167-168 over algemene kenmerken van zijn werk, op p. 171-173 over werken in musea in de Provence, op p. 173-175 over wat Moretus over Rubens schreef en op p. 176-186 over kerken waarin zich werken van Rubens bevinden.

Er zijn ook enkele losse stukken aanwezig:  
  
- Vooraan zit een losse nota van Rooses met enkele nummers en daarachter namen van kunstenaars.  
- Achteraan zit nog een verzameling niet ingebonden notities, genummerd van 1 t.e.m. 79 en vervolgens nog drie ongenummerde pagina's. Een ander ongenummerd blad is rond de bundel gebouwen. Deze notities lijken voornamelijk te gaan over de handschriften van Mols. Bovenaan op de pagina's werd in potlood genoteerd """"vu"""".  
- Vooraan zat ook een nota van [Nora De Poorter](https://anet.be/record/isaarlh/au::61532/N), """"Mols nrs door Rooses overgeschreven"""", met verwijzingen naar nummeringen uit de publicatie Rubeniana van François Mols waar Rooses heel wat aandacht aan besteedt in zijn transcripties. Deze nota werd bij het stuk gehouden vanwege de mogelijk nuttige informatie die het verschaft.",Detailbeschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00aae731-40a4-579d-872d-30c121a1187f,,,,,,,,,,,,,,1,Archives,tg:rubhs:218,,,,,isad:rub:3288,Algemeen,{'url':'https://id.museumplantinmoretus.be/ark:/11975/00aae731-40a4-579d-872d-30c121a1187f'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00aae731-40a4-579d-872d-30c121a1187f,,,,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,,,tg:rubhs:218,au::16015,{'url': 'https://anet.be/record/isaarlh/au::16015'},au,Persoon,Max Rooses,Auteur,,,,,,,,,,,,,,
,,,,00aae731-40a4-579d-872d-30c121a1187f,,,,,,,,,,,,,,2,ISAAR_Relations,,,,,,,,,,,,,,,tg:rubhs:218,au::16151,{'url': 'https://anet.be/record/isaarlh/au::16151'},ow,Persoon,Peter Paul Rubens,Onderwerp,,,,,,,,,,,,,,
,,,,00aae731-40a4-579d-872d-30c121a1187f,,,,,,,,,,,,,,1,Items,tg:rubhs:218,,,,,,,,,,,,,,,,,,,,,isad:rub:3288,,,,RA 006 / 001,Nederlands,Noot,,,,,,,
,,,,00aae731-40a4-579d-872d-30c121a1187f,,,,,,,,,,,,,,1,Titles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Notitieboek met op de rug opschrift """"Notas over Rubens""""",Ondertitel,Nederlands
tg:rubhs:36,Handschrift,Rubenianum,https://anet.be/record/opacrubobj/tg:rubhs:36/N,013db479-4b8e-51d9-8e5d-793832023bda,BE-ANN14/hs/RA001/001/32,Handgeschreven,"11,7 x 7,7 x 0,5",Maximum,,,,,{'url':'https://id.museumplantinmoretus.be/ark:/11975/013db479-4b8e-51d9-8e5d-793832023bda'},Record Identifier,URL,Object Identifier,Object Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,013db479-4b8e-51d9-8e5d-793832023bda,,,,,,,,,,,,,,1,Archives,tg:rubhs:36,,,,,isad:rub:314,Agenda's,{'url':'https://id.museumplantinmoretus.be/ark:/11975/013db479-4b8e-51d9-8e5d-793832023bda'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,013db479-4b8e-51d9-8e5d-793832023bda,,,,,,,,,,,,,,1,Descriptions,,,,,,,,,Agenda voor het jaar 1946.,Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,
,,,,013db479-4b8e-51d9-8e5d-793832023bda,,,,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,,,tg:rubhs:36,au::3232,{'url': 'https://anet.be/record/isaarlh/au::3232'},au,Persoon,Ludwig Burchard,Auteur,,,,,,,,,,,,,,
,,,,013db479-4b8e-51d9-8e5d-793832023bda,,,,,,,,,,,,,,1,Items,tg:rubhs:36,,,,,,,,,,,,,,,,,,,,,isad:rub:314,,,RA 001 / 001,32,Nederlands,Noot,,,,,,,
,,,,013db479-4b8e-51d9-8e5d-793832023bda,,,,,,,,,,,,,,1,Places,tg:rubhs:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'value': 'au::106118', 'uuid': 'bfce85cc-f5fb-53db-9176-4665e3323a3b'}]",au::106118,id.rubenianum.be//ark:/86530/bfce85cc-f5fb-53db-9176-4665e3323a3b,Londen,,,
,,,,013db479-4b8e-51d9-8e5d-793832023bda,,,,,,,,,,,,,,1,Titles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agenda 1946,Titel,Nederlands
tg:rubhs:10,Handschrift,Rubenianum,https://anet.be/record/opacrubobj/tg:rubhs:10/N,02feda08-6016-59e2-8d63-e116729cdb80,BE-ANN14/hs/RA001/001/6,Handgeschreven,"13,3 x 8 x 0,7",Maximum,60,Circa,,,{'url':'https://id.museumplantinmoretus.be/ark:/11975/02feda08-6016-59e2-8d63-e116729cdb80'},Record Identifier,URL,Object Identifier,Object Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,02feda08-6016-59e2-8d63-e116729cdb80,,,,,,,,,,,,,,1,Archives,tg:rubhs:10,,,,,isad:rub:314,Agenda's,{'url':'https://id.museumplantinmoretus.be/ark:/11975/02feda08-6016-59e2-8d63-e116729cdb80'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,02feda08-6016-59e2-8d63-e116729cdb80,,,,,,,,,,,,,,1,Descriptions,,,,,,,,,Agenda voor het jaar 1920.,Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,
,,,,02feda08-6016-59e2-8d63-e116729cdb80,,,,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,,,tg:rubhs:10,au::3232,{'url': 'https://anet.be/record/isaarlh/au::3232'},au,Persoon,Ludwig Burchard,Auteur,,,,,,,,,,,,,,
,,,,02feda08-6016-59e2-8d63-e116729cdb80,,,,,,,,,,,,,,1,Items,tg:rubhs:10,,,,,,,,,,,,,,,,,,,,,isad:rub:314,,,RA 001 / 001,6,Nederlands,Noot,,,,,,,
,,,,02feda08-6016-59e2-8d63-e116729cdb80,,,,,,,,,,,,,,1,Places,tg:rubhs:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'value': 'au::102047', 'uuid': '6b4f962f-8433-54d2-9eee-e21aa226a4a3'}]",au::102047,id.rubenianum.be//ark:/86530/6b4f962f-8433-54d2-9eee-e21aa226a4a3,Berlijn,,,
,,,,02feda08-6016-59e2-8d63-e116729cdb80,,,,,,,,,,,,,,1,Titles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agenda 1920,Titel,Nederlands
tg:rubhs:173,Handschrift,Rubenianum,https://anet.be/record/opacrubobj/tg:rubhs:173/N,032c6f7e-e61d-5e2e-95b3-e7c0e872a9c4,BE-ANN14/hs/RA001/122/110,Handgeschreven,"17 x 11 x 1,5",Maximum,,,,,{'url':'https://id.museumplantinmoretus.be/ark:/11975/032c6f7e-e61d-5e2e-95b3-e7c0e872a9c4'},Record Identifier,URL,Object Identifier,Object Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,032c6f7e-e61d-5e2e-95b3-e7c0e872a9c4,,,,,,,,,,,,,,1,Archives,tg:rubhs:173,,,,,isad:rub:911,Notitieboekjes,{'url':'https://id.museumplantinmoretus.be/ark:/11975/032c6f7e-e61d-5e2e-95b3-e7c0e872a9c4'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,032c6f7e-e61d-5e2e-95b3-e7c0e872a9c4,,,,,,,,,,,,,,1,Descriptions,,,,,,,,,Notitieboekje met aantekeningen betreffende bezoeken aan verscheidene collecties.,Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,
,,,,032c6f7e-e61d-5e2e-95b3-e7c0e872a9c4,,,,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,,,tg:rubhs:173,au::3232,{'url': 'https://anet.be/record/isaarlh/au::3232'},au,Persoon,Ludwig Burchard,Auteur,,,,,,,,,,,,,,
,,,,032c6f7e-e61d-5e2e-95b3-e7c0e872a9c4,,,,,,,,,,,,,,1,Items,tg:rubhs:173,,,,,,,,,,,,,,,,,,,,,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,110,Nederlands,Noot,,,,,,,
,,,,032c6f7e-e61d-5e2e-95b3-e7c0e872a9c4,,,,,,,,,,,,,,1,Titles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Notitieboekje """"Koetser""""",Titel,Nederlands
tg:rubhs:12,Handschrift,Rubenianum,https://anet.be/record/opacrubobj/tg:rubhs:12/N,03322c74-e03a-5d1f-beac-0b05e87d0a1f,BE-ANN14/hs/RA001/001/8,Handgeschreven,"13,3 x 8 x 0,7",Maximum,60,Circa,,,{'url':'https://id.museumplantinmoretus.be/ark:/11975/03322c74-e03a-5d1f-beac-0b05e87d0a1f'},Record Identifier,URL,Object Identifier,Object Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,03322c74-e03a-5d1f-beac-0b05e87d0a1f,,,,,,,,,,,,,,1,Archives,tg:rubhs:12,,,,,isad:rub:314,Agenda's,{'url':'https://id.museumplantinmoretus.be/ark:/11975/03322c74-e03a-5d1f-beac-0b05e87d0a1f'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,03322c74-e03a-5d1f-beac-0b05e87d0a1f,,,,,,,,,,,,,,1,Descriptions,,,,,,,,,Agenda voor het jaar 1922.,Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,
,,,,03322c74-e03a-5d1f-beac-0b05e87d0a1f,,,,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,,,tg:rubhs:12,au::3232,{'url': 'https://anet.be/record/isaarlh/au::3232'},au,Persoon,Ludwig Burchard,Auteur,,,,,,,,,,,,,,
,,,,03322c74-e03a-5d1f-beac-0b05e87d0a1f,,,,,,,,,,,,,,1,Items,tg:rubhs:12,,,,,,,,,,,,,,,,,,,,,isad:rub:314,,,RA 001 / 001,8,Nederlands,Noot,,,,,,,
,,,,03322c74-e03a-5d1f-beac-0b05e87d0a1f,,,,,,,,,,,,,,1,Places,tg:rubhs:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'value': 'au::102047', 'uuid': '6b4f962f-8433-54d2-9eee-e21aa226a4a3'}]",au::102047,id.rubenianum.be//ark:/86530/6b4f962f-8433-54d2-9eee-e21aa226a4a3,Berlijn,,,
,,,,03322c74-e03a-5d1f-beac-0b05e87d0a1f,,,,,,,,,,,,,,1,Titles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agenda 1922,Titel,Nederlands
tg:rubhs:64,Handschrift,Rubenianum,https://anet.be/record/opacrubobj/tg:rubhs:64/N,06091ed7-7f00-5c87-b75d-bc3c42d422c1,BE-ANN14/hs/RA001/122/014,Handgeschreven,"16,8 x 10,3 x 0,2",Maximum,,,,,{'url':'https://id.museumplantinmoretus.be/ark:/11975/06091ed7-7f00-5c87-b75d-bc3c42d422c1'},Record Identifier,URL,Object Identifier,Object Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,06091ed7-7f00-5c87-b75d-bc3c42d422c1,,,,,,,,,,,,,,1,Archives,tg:rubhs:64,,,,,isad:rub:911,Notitieboekjes,{'url':'https://id.museumplantinmoretus.be/ark:/11975/06091ed7-7f00-5c87-b75d-bc3c42d422c1'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,06091ed7-7f00-5c87-b75d-bc3c42d422c1,,,,,,,,,,,,,,1,Descriptions,,,,,,,,,Notitieboekje betreffende Stift und Feder.,Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,
,,,,06091ed7-7f00-5c87-b75d-bc3c42d422c1,,,,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,,,tg:rubhs:64,au::3232,{'url': 'https://anet.be/record/isaarlh/au::3232'},au,Persoon,Ludwig Burchard,Auteur,,,,,,,,,,,,,,
,,,,06091ed7-7f00-5c87-b75d-bc3c42d422c1,,,,,,,,,,,,,,1,Items,tg:rubhs:64,,,,,,,,,,,,,,,,,,,,,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,14,Nederlands,Noot,,,,,,,
,,,,06091ed7-7f00-5c87-b75d-bc3c42d422c1,,,,,,,,,,,,,,1,Places,tg:rubhs:64,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'value': 'au::102087', 'uuid': 'f1cd9779-a9f2-53ed-81a7-dd990009167e'}]",au::102087,id.rubenianum.be//ark:/86530/f1cd9779-a9f2-53ed-81a7-dd990009167e,Frankfurt am Main,,,
,,,,06091ed7-7f00-5c87-b75d-bc3c42d422c1,,,,,,,,,,,,,,2,Places,tg:rubhs:64,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'value': 'au::102084', 'uuid': 'a34dffd0-4adb-5843-b293-c8148d563e1c'}]",au::102084,id.rubenianum.be//ark:/86530/a34dffd0-4adb-5843-b293-c8148d563e1c,Darmstadt,,,
,,,,06091ed7-7f00-5c87-b75d-bc3c42d422c1,,,,,,,,,,,,,,3,Places,tg:rubhs:64,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'value': 'au::102044', 'uuid': '9b3aad31-cec1-5a1c-bf80-929c7d84165e'}]",au::102044,id.rubenianum.be//ark:/86530/9b3aad31-cec1-5a1c-bf80-929c7d84165e,Würzburg,,,
,,,,06091ed7-7f00-5c87-b75d-bc3c42d422c1,,,,,,,,,,,,,,1,Titles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Notitieboekje """"Stift und Feder""""",Titel,Nederlands
tg:rubhs:72,Handschrift,Rubenianum,https://anet.be/record/opacrubobj/tg:rubhs:72/N,07aa31db-cafd-5a95-8d34-e1a31ef66bad,BE-ANN14/hs/RA001/122/022,Handgeschreven,"16,5 x 10,5 x 0,3",Maximum,,,,,{'url':'https://id.museumplantinmoretus.be/ark:/11975/07aa31db-cafd-5a95-8d34-e1a31ef66bad'},Record Identifier,URL,Object Identifier,Object Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,07aa31db-cafd-5a95-8d34-e1a31ef66bad,,,,,,,,,,,,,,1,Archives,tg:rubhs:72,,,,,isad:rub:911,Notitieboekjes,{'url':'https://id.museumplantinmoretus.be/ark:/11975/07aa31db-cafd-5a95-8d34-e1a31ef66bad'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,07aa31db-cafd-5a95-8d34-e1a31ef66bad,,,,,,,,,,,,,,1,Descriptions,,,,,,,,,Notitieboekje met aantekeningen betreffende afbeeldingen van Frits Lugt.,Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,
,,,,07aa31db-cafd-5a95-8d34-e1a31ef66bad,,,,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,,,tg:rubhs:72,au::3232,{'url': 'https://anet.be/record/isaarlh/au::3232'},au,Persoon,Ludwig Burchard,Auteur,,,,,,,,,,,,,,
,,,,07aa31db-cafd-5a95-8d34-e1a31ef66bad,,,,,,,,,,,,,,1,Items,tg:rubhs:72,,,,,,,,,,,,,,,,,,,,,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,22,Nederlands,Noot,,,,,,,
,,,,07aa31db-cafd-5a95-8d34-e1a31ef66bad,,,,,,,,,,,,,,1,Places,tg:rubhs:72,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'value': 'au::104985', 'uuid': '97df6c75-1c39-597f-bf97-bfbd314f91ac'}]",au::104985,id.rubenianum.be//ark:/86530/97df6c75-1c39-597f-bf97-bfbd314f91ac,Maartensdijk,,,
,,,,07aa31db-cafd-5a95-8d34-e1a31ef66bad,,,,,,,,,,,,,,1,Titles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Notitieboekje """"Frits Lugt - Rustenhoven""""",Titel,Nederlands
tg:rubhs:213,Handschrift,Rubenianum,https://anet.be/record/opacrubobj/tg:rubhs:213/N,127afc38-d546-52da-9db8-2043726f5b2c,BE-ANN14/hs/RA001/50/001,Handgeschreven,"19 x 13 x 0,7",Maximum,,,,,{'url':'https://id.museumplantinmoretus.be/ark:/11975/127afc38-d546-52da-9db8-2043726f5b2c'},Record Identifier,URL,Object Identifier,Object Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,127afc38-d546-52da-9db8-2043726f5b2c,,,,,,,,,,,,,,1,Archives,tg:rubhs:213,,,,,isad:rub:324,"Assistent-Archiefdirecteur""ergungstelle für Kunstwerke beim Government Met""",{'url':'https://id.museumplantinmoretus.be/ark:/11975/127afc38-d546-52da-9db8-2043726f5b2c'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,127afc38-d546-52da-9db8-2043726f5b2c,,,,,,,,,,,,,,1,Descriptions,,,,,,,,,"Dagboek voor het jaar 1917, tijdens Burchards tewerkstelling bij de *Bergungstelle für Kunstwerke beim Government Metz*",Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,
,,,,127afc38-d546-52da-9db8-2043726f5b2c,,,,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,,,tg:rubhs:213,au::3232,{'url': 'https://anet.be/record/isaarlh/au::3232'},au,Persoon,Ludwig Burchard,Auteur,,,,,,,,,,,,,,
,,,,127afc38-d546-52da-9db8-2043726f5b2c,,,,,,,,,,,,,,1,Items,tg:rubhs:213,,,,,,,,,,,,,,,,,,,,,isad:rub:324,,,RA 001 / 050,,Nederlands,Noot,,,,,,,
,,,,127afc38-d546-52da-9db8-2043726f5b2c,,,,,,,,,,,,,,1,Places,tg:rubhs:213,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'value': 'au::102989', 'uuid': 'd5eafadb-58ae-5686-a8b1-ea8b7dee3fb9'}]",au::102989,id.rubenianum.be//ark:/86530/d5eafadb-58ae-5686-a8b1-ea8b7dee3fb9,Metz,,,
,,,,127afc38-d546-52da-9db8-2043726f5b2c,,,,,,,,,,,,,,1,Titles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dagboek 1917,Titel,Nederlands
tg:rubhs:66,Handschrift,Rubenianum,https://anet.be/record/opacrubobj/tg:rubhs:66/N,14d1116b-2ddd-539c-b4d5-26e75caa949a,BE-ANN14/hs/RA001/122/016,Handgeschreven,"17 x 10,5 x 0,7",Maximum,,,,,{'url':'https://id.museumplantinmoretus.be/ark:/11975/14d1116b-2ddd-539c-b4d5-26e75caa949a'},Record Identifier,URL,Object Identifier,Object Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14d1116b-2ddd-539c-b4d5-26e75caa949a,,,,,,,,,,,,,,1,Annotations,tg:rubhs:66,note.rubalg,Een aanzienlijk deel van de pagina's is niet beschreven.,Algemeen,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14d1116b-2ddd-539c-b4d5-26e75caa949a,,,,,,,,,,,,,,1,Archives,tg:rubhs:66,,,,,isad:rub:911,Notitieboekjes,{'url':'https://id.museumplantinmoretus.be/ark:/11975/14d1116b-2ddd-539c-b4d5-26e75caa949a'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14d1116b-2ddd-539c-b4d5-26e75caa949a,,,,,,,,,,,,,,1,Descriptions,,,,,,,,,Notitieboekje met aantekeningen betreffende bezoeken aan collecties en literatuuronderzoek.,Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14d1116b-2ddd-539c-b4d5-26e75caa949a,,,,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,,,tg:rubhs:66,au::3232,{'url': 'https://anet.be/record/isaarlh/au::3232'},au,Persoon,Ludwig Burchard,Auteur,,,,,,,,,,,,,,
