ResourceID,brocade.id,card,order,source_field,Object Type
8b5f6e55-d7b4-509b-8a64-bb87dd2ca4ea,tg:rubgr:2425,ObjectTypes,1,kenmerken.rubedformgr,telegrams
531cf614-2c68-518e-b586-bd494618926d,tg:rubgr:4637,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
0bcab4b7-8d1d-5d86-a490-a1f7ec90800d,tg:rubgr:1966,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
3c2bcf4c-2a4e-528a-8dcb-b2d9aaaf1fed,tg:rubgr:5026,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
675ad524-cfb6-5d06-9684-ac3f31dd37ec,tg:rubgr:3776,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
720fd76d-d5a6-5e2b-b964-dbd86d71de31,tg:rubgr:284,ObjectTypes,1,kenmerken.rubedformgr,picture postcards
e5ecf9b6-1d4c-50c9-95e6-1013d54013e5,tg:rubgr:142,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
d6b93a71-5062-53d8-a45f-2068f718a811,tg:rubgr:5134,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
ea56551b-1143-5c33-aa7d-fda9ed25be41,tg:rubgr:1874,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
291b64fa-e066-533a-80b3-f35509e95957,tg:rubgr:904,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
291b64fa-e066-533a-80b3-f35509e95957,tg:rubgr:904,ObjectTypes,2,kenmerken.rubedformgr,references
5f9b9a41-8fd9-544e-97b5-e9583d68618a,tg:rubgr:4230,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
ea369e97-f1a3-5ec6-b8c7-fb9b99a9cba1,tg:rubgr:3275,ObjectTypes,1,kenmerken.rubedformgr,picture postcards
7c2a84a8-3f6b-5158-80fe-8a5979769ca8,tg:rubgr:5088,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
5793d084-6d19-50ab-ab38-f08121b1073b,tg:rubgr:5122,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
442f8d59-3201-577b-ae69-8f1998987cb8,tg:rubgr:154,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
335a3943-18f6-5c3c-9111-97cc5575385c,tg:rubgr:4699,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
95177e93-fd68-5449-a662-c5cf3ebbef2c,tg:rubgr:4733,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
50e75d0f-818c-5fd5-bf79-a0f9239d9c86,tg:rubgr:4226,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
2734e8c4-5fe1-5bd2-8504-e2b54dd217e5,tg:rubgr:2608,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
facb367c-ddb7-5741-b6df-cfc80a08be6d,tg:rubgr:2258,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
facb367c-ddb7-5741-b6df-cfc80a08be6d,tg:rubgr:2258,ObjectTypes,2,kenmerken.rubedformgr,photographs
dc371fd6-36b1-5690-be18-81dccbaa9287,tg:rubgr:2599,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
f09d1fb6-af76-596a-b722-0c1f52f567b0,tg:rubgr:553,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
59674641-00a1-515f-9cec-26a121fc9497,tg:rubgr:4764,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
0ba17f58-abe3-5f39-9ded-a3ada2b01f2f,tg:rubgr:1136,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
cad2fbb7-1db2-510b-8c2d-3d6acee73863,tg:rubgr:4334,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
b5ba90dd-edf5-5023-8135-90d87cd5b893,tg:rubgr:3808,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
87f951f5-1aae-580d-ac42-3c651954e77d,tg:rubgr:5030,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
ada53b8a-b489-5062-b96e-835cfd2a30a1,tg:rubgr:2274,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
0a29270b-6c2e-5b0b-a9c6-5f039e0f246a,tg:rubgr:2624,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
0a29270b-6c2e-5b0b-a9c6-5f039e0f246a,tg:rubgr:2624,ObjectTypes,2,kenmerken.rubedformgr,references
d1c55ff5-5d43-5120-a147-eaf4e225e483,tg:rubgr:1008,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
0faebee2-98b4-5dd3-97bf-77e6461137b6,tg:rubgr:20,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
b0ef7482-bf07-5329-ba5b-d5825210cdae,tg:rubgr:2331,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
d89e63c3-5c0d-58f8-81b0-9f1ccb032ec9,tg:rubgr:4898,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
e51571ea-7877-5f44-a5db-13a3ea7aedce,tg:rubgr:343,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
e2194f36-da74-5034-9cea-80f1e2c5248a,tg:rubgr:4174,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
202c96b1-0b32-5760-92ca-9725be3ae2ec,tg:rubgr:4877,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
969c225b-75a5-5e9e-84f8-67bc46338208,tg:rubgr:3824,ObjectTypes,1,kenmerken.rubedformgr,typewriting
969c225b-75a5-5e9e-84f8-67bc46338208,tg:rubgr:3824,ObjectTypes,2,kenmerken.rubedformgr,letters (correspondence)
51b66bb9-3e0d-5a13-807c-3edad416c7be,tg:rubgr:4748,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
536e9755-fd98-5f58-b08a-9400cbcf76f7,tg:rubgr:1225,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
b891401c-bbb6-5839-852a-cb23e31d10d6,tg:rubgr:2409,ObjectTypes,1,kenmerken.rubedformgr,picture postcards
335e7316-acca-5221-b387-bcca53ee11c2,tg:rubgr:4924,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
1dbf59fc-c77f-5274-adc1-85c27bf7c5ae,tg:rubgr:4861,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
fc30f79c-666a-56c1-883d-9a9a76219a04,tg:rubgr:5289,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
5fe50f28-4ffb-51a4-b8ad-2f43f9b4a612,tg:rubgr:5323,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
daf22265-a605-50e2-ba77-6a99b9ca801e,tg:rubgr:705,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
daf22265-a605-50e2-ba77-6a99b9ca801e,tg:rubgr:705,ObjectTypes,2,kenmerken.rubedformgr,references
f4aae6f1-772b-57c5-a63b-8f4606f530d2,tg:rubgr:569,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
fcd73a9b-f988-50d4-a977-935cc945712c,tg:rubgr:139,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
f150942b-724b-5277-a1dd-4aeda630ff69,tg:rubgr:2370,ObjectTypes,1,kenmerken.rubedformgr,picture postcards
ed4f7f64-bf03-5f6e-b0cc-67c5282cf688,tg:rubgr:4420,ObjectTypes,1,kenmerken.rubedformgr,letters (correspondence)
