Object Number,Record Type,URL,ResourceID,Reference Number,Keeper,Object Identifier,Record ID Type,Object Number Type,URL Type,Object Identifier Type,Reference Number Type,order,card
tg:rubgr:2425,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2425/N,8b5f6e55-d7b4-509b-8a64-bb87dd2ca4ea,BE-ANN14/gr/000002425,Rubenianum,https://data.rubenianum.be//ark:/86530/8b5f6e55-d7b4-509b-8a64-bb87dd2ca4ea,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:4637,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:4637/N,531cf614-2c68-518e-b586-bd494618926d,BE-ANN14/gr/000004637,Rubenianum,https://data.rubenianum.be//ark:/86530/531cf614-2c68-518e-b586-bd494618926d,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:1966,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:1966/N,0bcab4b7-8d1d-5d86-a490-a1f7ec90800d,BE-ANN14/gr/000001966,Rubenianum,https://data.rubenianum.be//ark:/86530/0bcab4b7-8d1d-5d86-a490-a1f7ec90800d,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:5026,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:5026/N,3c2bcf4c-2a4e-528a-8dcb-b2d9aaaf1fed,BE-ANN14/gr/000005026,Rubenianum,https://data.rubenianum.be//ark:/86530/3c2bcf4c-2a4e-528a-8dcb-b2d9aaaf1fed,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:3776,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:3776/N,675ad524-cfb6-5d06-9684-ac3f31dd37ec,BE-ANN14/gr/000003776,Rubenianum,https://data.rubenianum.be//ark:/86530/675ad524-cfb6-5d06-9684-ac3f31dd37ec,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:284,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:284/N,720fd76d-d5a6-5e2b-b964-dbd86d71de31,BE-ANN14/gr/000000284,Rubenianum,https://data.rubenianum.be//ark:/86530/720fd76d-d5a6-5e2b-b964-dbd86d71de31,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:142,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:142/N,e5ecf9b6-1d4c-50c9-95e6-1013d54013e5,BE-ANN14/gr/000000142,Rubenianum,https://data.rubenianum.be//ark:/86530/e5ecf9b6-1d4c-50c9-95e6-1013d54013e5,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:5134,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:5134/N,d6b93a71-5062-53d8-a45f-2068f718a811,BE-ANN14/gr/000005134,Rubenianum,https://data.rubenianum.be//ark:/86530/d6b93a71-5062-53d8-a45f-2068f718a811,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:1874,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:1874/N,ea56551b-1143-5c33-aa7d-fda9ed25be41,BE-ANN14/gr/000001874,Rubenianum,https://data.rubenianum.be//ark:/86530/ea56551b-1143-5c33-aa7d-fda9ed25be41,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:904,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:904/N,291b64fa-e066-533a-80b3-f35509e95957,BE-ANN14/gr/000000904,Rubenianum,https://data.rubenianum.be//ark:/86530/291b64fa-e066-533a-80b3-f35509e95957,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
