brocade.id,ResourceID,card,order,Archive Note,Archive Note
tg:rubgr:2425,8b5f6e55-d7b4-509b-8a64-bb87dd2ca4ea,Items,1,AFG_081_010,isad:rub:3011
tg:rubgr:4637,531cf614-2c68-518e-b586-bd494618926d,Items,1,AFG_121_005,isad:rub:3042
tg:rubgr:1966,0bcab4b7-8d1d-5d86-a490-a1f7ec90800d,Items,1,AFG_054_057,isad:rub:2984
tg:rubgr:5026,3c2bcf4c-2a4e-528a-8dcb-b2d9aaaf1fed,Items,1,AFG_139_006,isad:rub:3061
tg:rubgr:3776,675ad524-cfb6-5d06-9684-ac3f31dd37ec,Items,1,AFG_099_014,isad:rub:3021
tg:rubgr:284,720fd76d-d5a6-5e2b-b964-dbd86d71de31,Items,1,AFG_005_048,isad:rub:2935
tg:rubgr:142,e5ecf9b6-1d4c-50c9-95e6-1013d54013e5,Items,1,AFG_003_070,isad:rub:2933
tg:rubgr:5134,d6b93a71-5062-53d8-a45f-2068f718a811,Items,1,AFG_143_013,isad:rub:3065
tg:rubgr:1874,ea56551b-1143-5c33-aa7d-fda9ed25be41,Items,1,AFG_050_027,isad:rub:2980
tg:rubgr:904,291b64fa-e066-533a-80b3-f35509e95957,Items,1,AFG_020_017,isad:rub:2950
tg:rubgr:4230,5f9b9a41-8fd9-544e-97b5-e9583d68618a,Items,1,AFG_111_025,isad:rub:3032
tg:rubgr:3275,ea369e97-f1a3-5ec6-b8c7-fb9b99a9cba1,Items,1,AFG_092_005,isad:rub:3018
tg:rubgr:5088,7c2a84a8-3f6b-5158-80fe-8a5979769ca8,Items,1,AFG_142_005,isad:rub:3064
tg:rubgr:5122,5793d084-6d19-50ab-ab38-f08121b1073b,Items,1,AFG_143_001,isad:rub:3065
tg:rubgr:154,442f8d59-3201-577b-ae69-8f1998987cb8,Items,1,AFG_003_082,isad:rub:2933
tg:rubgr:4699,335a3943-18f6-5c3c-9111-97cc5575385c,Items,1,AFG_127_003,isad:rub:3049
tg:rubgr:4733,95177e93-fd68-5449-a662-c5cf3ebbef2c,Items,1,AFG_128_033,isad:rub:3050
tg:rubgr:4226,50e75d0f-818c-5fd5-bf79-a0f9239d9c86,Items,1,AFG_111_021,isad:rub:3032
tg:rubgr:2608,2734e8c4-5fe1-5bd2-8504-e2b54dd217e5,Items,1,AFG_084_022,isad:rub:3014
tg:rubgr:2258,facb367c-ddb7-5741-b6df-cfc80a08be6d,Items,1,AFG_069_027,isad:rub:2999
tg:rubgr:2599,dc371fd6-36b1-5690-be18-81dccbaa9287,Items,1,AFG_084_013,isad:rub:3014
tg:rubgr:553,f09d1fb6-af76-596a-b722-0c1f52f567b0,Items,1,AFG_011_012,isad:rub:2941
tg:rubgr:4764,59674641-00a1-515f-9cec-26a121fc9497,Items,1,AFG_128_064,isad:rub:3050
tg:rubgr:1136,0ba17f58-abe3-5f39-9ded-a3ada2b01f2f,Items,1,AFG_024_018,isad:rub:2954
tg:rubgr:4334,cad2fbb7-1db2-510b-8c2d-3d6acee73863,Items,1,AFG_111_129,isad:rub:3032
tg:rubgr:3808,b5ba90dd-edf5-5023-8135-90d87cd5b893,Items,1,AFG_099_046,isad:rub:3021
tg:rubgr:5030,87f951f5-1aae-580d-ac42-3c651954e77d,Items,1,AFG_139_010,isad:rub:3061
tg:rubgr:2274,ada53b8a-b489-5062-b96e-835cfd2a30a1,Items,1,AFG_071_003,isad:rub:3001
tg:rubgr:2624,0a29270b-6c2e-5b0b-a9c6-5f039e0f246a,Items,1,AFG_084_038,isad:rub:3014
tg:rubgr:1008,d1c55ff5-5d43-5120-a147-eaf4e225e483,Items,1,AFG_022_041,isad:rub:2952
tg:rubgr:20,0faebee2-98b4-5dd3-97bf-77e6461137b6,Items,1,AFG_001_020,isad:rub:2930
tg:rubgr:2331,b0ef7482-bf07-5329-ba5b-d5825210cdae,Items,1,AFG_077_015,isad:rub:3007
tg:rubgr:4898,d89e63c3-5c0d-58f8-81b0-9f1ccb032ec9,Items,1,AFG_136_026,isad:rub:3058
tg:rubgr:343,e51571ea-7877-5f44-a5db-13a3ea7aedce,Items,1,AFG_006_057,isad:rub:2936
tg:rubgr:4174,e2194f36-da74-5034-9cea-80f1e2c5248a,Items,1,AFG_109_054,isad:rub:3030
tg:rubgr:4877,202c96b1-0b32-5760-92ca-9725be3ae2ec,Items,1,AFG_136_005,isad:rub:3058
tg:rubgr:3824,969c225b-75a5-5e9e-84f8-67bc46338208,Items,1,AFG_099_062,isad:rub:3021
tg:rubgr:4748,51b66bb9-3e0d-5a13-807c-3edad416c7be,Items,1,AFG_128_048,isad:rub:3050
tg:rubgr:1225,536e9755-fd98-5f58-b08a-9400cbcf76f7,Items,1,AFG_029_034,isad:rub:2959
