Object Number,Record Type,URL,ResourceID,Reference Number,Stage Type,Keeper,Object Identifier,Record ID Type,Object Number Type,URL Type,Object Identifier Type,Reference Number Type,order,card
tg:rubgr:3721,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:3721/N,d4d5d99b-cc91-583f-aba6-14b58f3e39d0,BE-ANN14/gr/000003721,,Rubenianum,https://data.rubenianum.be//ark:/86530/d4d5d99b-cc91-583f-aba6-14b58f3e39d0,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2833,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2833/N,175b6b9b-0937-5949-a3bf-bab05fa2d8e9,BE-ANN14/gr/000002833,,Rubenianum,https://data.rubenianum.be//ark:/86530/175b6b9b-0937-5949-a3bf-bab05fa2d8e9,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:729,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:729/N,787977c6-737c-565d-adab-a0c5d7cd499f,BE-ANN14/gr/000000729,,Rubenianum,https://data.rubenianum.be//ark:/86530/787977c6-737c-565d-adab-a0c5d7cd499f,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:3371,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:3371/N,b05f8d36-4693-51a8-9f9d-3a9e6c86cae0,BE-ANN14/gr/000003371,,Rubenianum,https://data.rubenianum.be//ark:/86530/b05f8d36-4693-51a8-9f9d-3a9e6c86cae0,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:683,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:683/N,4b49359d-c991-5d73-9a5b-e7525f5101fc,BE-ANN14/gr/000000683,,Rubenianum,https://data.rubenianum.be//ark:/86530/4b49359d-c991-5d73-9a5b-e7525f5101fc,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:379,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:379/N,d74c451c-9476-56a2-a712-1b3ce481c9b3,BE-ANN14/gr/000000379,,Rubenianum,https://data.rubenianum.be//ark:/86530/d74c451c-9476-56a2-a712-1b3ce481c9b3,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2999,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2999/N,4a97664d-dba3-5308-984c-31204cee7bf2,BE-ANN14/gr/000002999,,Rubenianum,https://data.rubenianum.be//ark:/86530/4a97664d-dba3-5308-984c-31204cee7bf2,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2130,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2130/N,b425a01e-0135-5b76-a417-863e10986d85,BE-ANN14/gr/000002130,,Rubenianum,https://data.rubenianum.be//ark:/86530/b425a01e-0135-5b76-a417-863e10986d85,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2560,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2560/N,68172bd9-22e0-59d5-8f6f-3a1c1569ac6b,BE-ANN14/gr/000002560,,Rubenianum,https://data.rubenianum.be//ark:/86530/68172bd9-22e0-59d5-8f6f-3a1c1569ac6b,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:4908,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:4908/N,0d61ec22-87f6-5cb3-8d35-d1f7c6becbac,BE-ANN14/gr/000004908,,Rubenianum,https://data.rubenianum.be//ark:/86530/0d61ec22-87f6-5cb3-8d35-d1f7c6becbac,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:3664,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:3664/N,b054fb3a-43e0-5770-af6e-03df58406ab5,BE-ANN14/gr/000003664,,Rubenianum,https://data.rubenianum.be//ark:/86530/b054fb3a-43e0-5770-af6e-03df58406ab5,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:1659,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:1659/N,799335a5-10ae-5d78-ad7b-3d9e7e510a2e,BE-ANN14/gr/000001659,,Rubenianum,https://data.rubenianum.be//ark:/86530/799335a5-10ae-5d78-ad7b-3d9e7e510a2e,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2976,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2976/N,bf61acd1-1a65-57f6-baec-029912374c27,BE-ANN14/gr/000002976,,Rubenianum,https://data.rubenianum.be//ark:/86530/bf61acd1-1a65-57f6-baec-029912374c27,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:396,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:396/N,353d1bea-869d-55ba-8541-cb90e5330b2c,BE-ANN14/gr/000000396,,Rubenianum,https://data.rubenianum.be//ark:/86530/353d1bea-869d-55ba-8541-cb90e5330b2c,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
