ResourceID,Record ID,id,Production Place Identifier,Production Place Widget
599fb696-e6eb-5a9c-bad6-4dcaaa6bc579,tg:rubhs:69,au::105203,ark:/83110/x0/f7a1eaca-157e-5e81-a2b3-2edf08020b5d,"dlod={""suggest"":[""'s-Gravenhage (Zuid-Holland)""],""name"":""'s-Gravenhage (Zuid-Holland)"",""ark"":""ark:/83110/x0/f7a1eaca-157e-5e81-a2b3-2edf08020b5d"",""uri"":""/subjects/11880"",""id"":""au::105203"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
2ec5806d-fe4a-5658-b15a-06d1729d4739,tg:rubhs:70,au::105203,ark:/83110/x0/f7a1eaca-157e-5e81-a2b3-2edf08020b5d,"dlod={""suggest"":[""'s-Gravenhage (Zuid-Holland)""],""name"":""'s-Gravenhage (Zuid-Holland)"",""ark"":""ark:/83110/x0/f7a1eaca-157e-5e81-a2b3-2edf08020b5d"",""uri"":""/subjects/11880"",""id"":""au::105203"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
eb18bae2-09d9-5d6d-b2a6-ea518b7eee12,tg:rubhs:73,au::105203,ark:/83110/x0/f7a1eaca-157e-5e81-a2b3-2edf08020b5d,"dlod={""suggest"":[""'s-Gravenhage (Zuid-Holland)""],""name"":""'s-Gravenhage (Zuid-Holland)"",""ark"":""ark:/83110/x0/f7a1eaca-157e-5e81-a2b3-2edf08020b5d"",""uri"":""/subjects/11880"",""id"":""au::105203"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
b48683ed-abdc-5508-8aca-77356550fa87,tg:rubhs:89,au::105203,ark:/83110/x0/f7a1eaca-157e-5e81-a2b3-2edf08020b5d,"dlod={""suggest"":[""'s-Gravenhage (Zuid-Holland)""],""name"":""'s-Gravenhage (Zuid-Holland)"",""ark"":""ark:/83110/x0/f7a1eaca-157e-5e81-a2b3-2edf08020b5d"",""uri"":""/subjects/11880"",""id"":""au::105203"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
4e37693b-e937-5536-ad55-9c21d86cee53,tg:rubhs:63,au::104810,ark:/83110/x0/636962b7-6ad0-5b44-83b4-9eb0958ecb76,"dlod={""suggest"":[""Amsterdam (Noord-Holland)""],""name"":""Amsterdam (Noord-Holland)"",""ark"":""ark:/83110/x0/636962b7-6ad0-5b44-83b4-9eb0958ecb76"",""uri"":""/subjects/13849"",""id"":""au::104810"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
7c564919-563f-5ffe-8f08-ff864b9ef5bc,tg:rubhs:67,au::104810,ark:/83110/x0/636962b7-6ad0-5b44-83b4-9eb0958ecb76,"dlod={""suggest"":[""Amsterdam (Noord-Holland)""],""name"":""Amsterdam (Noord-Holland)"",""ark"":""ark:/83110/x0/636962b7-6ad0-5b44-83b4-9eb0958ecb76"",""uri"":""/subjects/13849"",""id"":""au::104810"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
bf1ea677-dc81-5e11-997c-658e291849eb,tg:rubhs:75,au::104810,ark:/83110/x0/636962b7-6ad0-5b44-83b4-9eb0958ecb76,"dlod={""suggest"":[""Amsterdam (Noord-Holland)""],""name"":""Amsterdam (Noord-Holland)"",""ark"":""ark:/83110/x0/636962b7-6ad0-5b44-83b4-9eb0958ecb76"",""uri"":""/subjects/13849"",""id"":""au::104810"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
6bdab216-eab6-5653-b896-57492506250a,tg:rubhs:115,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""suggest"":[""Antwerpen (Arrondissement Antwerpen)""],""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
58f9caae-36f5-5268-95c3-6b6008397d6b,tg:rubhs:176,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""suggest"":[""Antwerpen (Arrondissement Antwerpen)""],""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
f3c7e972-bd15-5ea5-a80f-88f304395901,tg:rubhs:79,au::106890,ark:/83110/x0/3f906e94-96af-53c4-a3b5-8baaf011e684,"dlod={""suggest"":[""Bayonne (Arrondissement de Bayonne)""],""name"":""Bayonne (Arrondissement de Bayonne)"",""ark"":""ark:/83110/x0/3f906e94-96af-53c4-a3b5-8baaf011e684"",""uri"":""/subjects/12842"",""id"":""au::106890"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
ebc83518-f60b-5f0c-b64c-80c6387a73d0,tg:rubhs:80,au::106603,ark:/83110/x0/7d690bf1-e8e0-5de9-9603-56fad282a65d,"dlod={""suggest"":[""Bazel (Basel-Stadt)""],""name"":""Bazel (Basel-Stadt)"",""ark"":""ark:/83110/x0/7d690bf1-e8e0-5de9-9603-56fad282a65d"",""uri"":""/subjects/8764"",""id"":""au::106603"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
e3892281-ff12-5fbb-af35-1c31ea5db980,tg:rubhs:86,au::106603,ark:/83110/x0/7d690bf1-e8e0-5de9-9603-56fad282a65d,"dlod={""suggest"":[""Bazel (Basel-Stadt)""],""name"":""Bazel (Basel-Stadt)"",""ark"":""ark:/83110/x0/7d690bf1-e8e0-5de9-9603-56fad282a65d"",""uri"":""/subjects/8764"",""id"":""au::106603"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
02feda08-6016-59e2-8d63-e116729cdb80,tg:rubhs:10,au::102047,ark:/83110/x0/6b4f962f-8433-54d2-9eee-e21aa226a4a3,"dlod={""suggest"":[""Berlijn (DUBBEL)""],""name"":""Berlijn (DUBBEL)"",""ark"":""ark:/83110/x0/6b4f962f-8433-54d2-9eee-e21aa226a4a3"",""uri"":""/subjects/9919"",""id"":""au::102047"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
f4cde989-f1ee-5c80-8adf-8eb25786a428,tg:rubhs:11,au::102047,ark:/83110/x0/6b4f962f-8433-54d2-9eee-e21aa226a4a3,"dlod={""suggest"":[""Berlijn (DUBBEL)""],""name"":""Berlijn (DUBBEL)"",""ark"":""ark:/83110/x0/6b4f962f-8433-54d2-9eee-e21aa226a4a3"",""uri"":""/subjects/9919"",""id"":""au::102047"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
03322c74-e03a-5d1f-beac-0b05e87d0a1f,tg:rubhs:12,au::102047,ark:/83110/x0/6b4f962f-8433-54d2-9eee-e21aa226a4a3,"dlod={""suggest"":[""Berlijn (DUBBEL)""],""name"":""Berlijn (DUBBEL)"",""ark"":""ark:/83110/x0/6b4f962f-8433-54d2-9eee-e21aa226a4a3"",""uri"":""/subjects/9919"",""id"":""au::102047"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
54d52cfc-258c-568a-9bd5-3eba376d5ded,tg:rubhs:13,au::102047,ark:/83110/x0/6b4f962f-8433-54d2-9eee-e21aa226a4a3,"dlod={""suggest"":[""Berlijn (DUBBEL)""],""name"":""Berlijn (DUBBEL)"",""ark"":""ark:/83110/x0/6b4f962f-8433-54d2-9eee-e21aa226a4a3"",""uri"":""/subjects/9919"",""id"":""au::102047"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
6cb7ea80-d572-507a-96ae-037c5456fab9,tg:rubhs:14,au::102047,ark:/83110/x0/6b4f962f-8433-54d2-9eee-e21aa226a4a3,"dlod={""suggest"":[""Berlijn (DUBBEL)""],""name"":""Berlijn (DUBBEL)"",""ark"":""ark:/83110/x0/6b4f962f-8433-54d2-9eee-e21aa226a4a3"",""uri"":""/subjects/9919"",""id"":""au::102047"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
62d47886-01c6-526e-8bb0-9edb3250b286,tg:rubhs:15,au::102047,ark:/83110/x0/6b4f962f-8433-54d2-9eee-e21aa226a4a3,"dlod={""suggest"":[""Berlijn (DUBBEL)""],""name"":""Berlijn (DUBBEL)"",""ark"":""ark:/83110/x0/6b4f962f-8433-54d2-9eee-e21aa226a4a3"",""uri"":""/subjects/9919"",""id"":""au::102047"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
199f5750-a618-50c1-ba0d-721fb9481c1c,tg:rubhs:153,au::102047,ark:/83110/x0/6b4f962f-8433-54d2-9eee-e21aa226a4a3,"dlod={""suggest"":[""Berlijn (DUBBEL)""],""name"":""Berlijn (DUBBEL)"",""ark"":""ark:/83110/x0/6b4f962f-8433-54d2-9eee-e21aa226a4a3"",""uri"":""/subjects/9919"",""id"":""au::102047"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
