ResourceID,brocade.id,card,order,kenmerken.rubobjnrgr,isaad,Associated Archive Relation
0d61ec22-87f6-5cb3-8d35-d1f7c6becbac,tg:rubgr:4908,AssociatedArchives,2,AFG_019,isad:rub:2949,https://data.rubenianum.be/ead/ark:/86530/a2831777-5bc3-554f-9665-14ef4be7053d
8042eaa7-0073-558c-945d-d5bad0bf545f,tg:rubgr:1209,AssociatedArchives,2,AFG_041,isad:rub:2971,https://data.rubenianum.be/ead/ark:/86530/82a5d593-b715-5f6c-bc85-7abbdc74cabd
609021a6-c817-5bed-98cc-6916534b4d63,tg:rubgr:4772,AssociatedArchives,2,AFG_125,isad:rub:3047,https://data.rubenianum.be/ead/ark:/86530/6835f5d5-a1be-5bc9-ab80-0bb8f1c33086
a7642b03-dd0f-571a-8b9d-8b1810effb35,tg:rubgr:4267,AssociatedArchives,2,AFG_021,isad:rub:2951,https://data.rubenianum.be/ead/ark:/86530/c35447a0-a6ac-5ce4-aa37-3d560680432e
ec73addb-a202-5871-b1cf-8f8edfad9b2e,tg:rubgr:4725,AssociatedArchives,2,AFG_033,isad:rub:2963,https://data.rubenianum.be/ead/ark:/86530/0cae47e6-0c2a-512b-99c4-6749e74c14af
52185ea3-17c4-504e-b163-2e48d6bdb444,tg:rubgr:2937,AssociatedArchives,2,AFG_011,isad:rub:2941,https://data.rubenianum.be/ead/ark:/86530/b397447c-8770-536c-aeec-58bab2d5c771
2a60ce34-0374-54ae-b2f2-9f2941ff1567,tg:rubgr:4123,AssociatedArchives,2,AFG_003,isad:rub:2933,https://data.rubenianum.be/ead/ark:/86530/198948e1-0623-5404-9a6f-d2e0aeec0bbe
6dd8733c-f7b5-5445-84b1-21ea6f86f559,tg:rubgr:1771,AssociatedArchives,2,AFG_042,isad:rub:2972,https://data.rubenianum.be/ead/ark:/86530/a6399082-cb2f-5773-b94e-8bba88ba3987
8c5e08be-551d-54be-9986-a819982465de,tg:rubgr:3936,AssociatedArchives,2,AFG_047,isad:rub:2977,https://data.rubenianum.be/ead/ark:/86530/c8507344-f127-51a3-821f-bf327e3103ea
686ecfca-4516-557b-887b-1b525e5d1abb,tg:rubgr:197,AssociatedArchives,2,AFG_009,isad:rub:2939,https://data.rubenianum.be/ead/ark:/86530/27a57e60-280a-5f8f-9a79-de721fa9a643
16ea83b2-23eb-5631-89c4-34fa83c6be51,tg:rubgr:4932,AssociatedArchives,2,AFG_050,isad:rub:2980,https://data.rubenianum.be/ead/ark:/86530/ad45d758-1188-59d2-96d1-05c4bf9790c9
eba2b52f-969d-5de1-9f06-9e888ab12706,tg:rubgr:206,AssociatedArchives,2,AFG_020,isad:rub:2950,https://data.rubenianum.be/ead/ark:/86530/d6f8d586-3f97-55ce-b837-83138c7a61e3
91767c84-7722-523a-a127-543c280e65bd,tg:rubgr:5159,AssociatedArchives,2,AFG_021,isad:rub:2951,https://data.rubenianum.be/ead/ark:/86530/c35447a0-a6ac-5ce4-aa37-3d560680432e
064825cd-087e-58c4-ab83-533a2212c709,tg:rubgr:4477,AssociatedArchives,2,AFG_024,isad:rub:2954,https://data.rubenianum.be/ead/ark:/86530/1f85698f-fffc-5dd3-8512-f96ac74b47d3
8c6206dc-35f0-589d-b11e-79d12a9632f6,tg:rubgr:4532,AssociatedArchives,2,AFG_022,isad:rub:2952,https://data.rubenianum.be/ead/ark:/86530/5af1b7bf-aa40-5aa6-84e9-00c0efbacdb0
6c89cfdf-cf90-53c2-a0ae-4f033c41ad89,tg:rubgr:1337,AssociatedArchives,2,AFG_035,isad:rub:2965,https://data.rubenianum.be/ead/ark:/86530/a0063b68-54b3-579c-9976-64e47aa4b08f
f67bb246-8e47-5f66-9d8e-1b4501555b44,tg:rubgr:4135,AssociatedArchives,2,AFG_019,isad:rub:2949,https://data.rubenianum.be/ead/ark:/86530/a2831777-5bc3-554f-9665-14ef4be7053d
e1a0403f-a180-5434-834f-4448c6f81f31,tg:rubgr:3920,AssociatedArchives,2,AFG_043,isad:rub:2973,https://data.rubenianum.be/ead/ark:/86530/aad4c18d-b421-5402-8f5b-8553b7d751bd
31725d28-cb66-5ca3-bbca-59ba8b2378d7,tg:rubgr:4359,AssociatedArchives,2,AFG_010,isad:rub:2940,https://data.rubenianum.be/ead/ark:/86530/0b0926d5-bcda-5383-be61-b96eb86fe671
410d8334-2035-5964-b81d-e2f8fc544fd3,tg:rubgr:4284,AssociatedArchives,2,AFG_017,isad:rub:2947,https://data.rubenianum.be/ead/ark:/86530/5f34d27e-7bd6-5644-a631-8da8388d2142
c60c5ffd-068a-5b91-ade5-0dbcf58e1b40,tg:rubgr:2350,AssociatedArchives,2,AFG_010,isad:rub:2940,https://data.rubenianum.be/ead/ark:/86530/0b0926d5-bcda-5383-be61-b96eb86fe671
5bfed20e-efa2-51e6-9c6b-039c612ae0bd,tg:rubgr:4841,AssociatedArchives,2,AFG_038,isad:rub:2968,https://data.rubenianum.be/ead/ark:/86530/9c66368b-a660-5150-9048-5921fe7fd360
c877a5a3-2d45-57b9-9acd-4a821b9dbfe4,tg:rubgr:4007,AssociatedArchives,2,AFG_022,isad:rub:2952,https://data.rubenianum.be/ead/ark:/86530/5af1b7bf-aa40-5aa6-84e9-00c0efbacdb0
951f4019-206f-5da0-8bed-221ab847a2e1,tg:rubgr:4379,AssociatedArchives,2,AFG_009,isad:rub:2939,https://data.rubenianum.be/ead/ark:/86530/27a57e60-280a-5f8f-9a79-de721fa9a643
ef6fccfd-5692-57b4-a1a8-1757c6bee054,tg:rubgr:2491,AssociatedArchives,2,AFG_042,isad:rub:2972,https://data.rubenianum.be/ead/ark:/86530/a6399082-cb2f-5773-b94e-8bba88ba3987
759ee8a2-47af-5e52-8255-17ee968167f3,tg:rubgr:5211,AssociatedArchives,2,AFG_021,isad:rub:2951,https://data.rubenianum.be/ead/ark:/86530/c35447a0-a6ac-5ce4-aa37-3d560680432e
154977f6-51ed-5893-a487-5d252d8bf110,tg:rubgr:3916,AssociatedArchives,2,AFG_012,isad:rub:2942,https://data.rubenianum.be/ead/ark:/86530/f037427a-fd46-58e9-a66c-64e49cb68be3
bbe356a4-7417-539d-a744-73932178e104,tg:rubgr:4380,AssociatedArchives,2,AFG_037,isad:rub:2967,https://data.rubenianum.be/ead/ark:/86530/00d4c7a9-3933-5940-b6c2-a10f2558e0c9
e34f51bb-8806-57b1-82df-22269e184915,tg:rubgr:334,AssociatedArchives,2,AFG_033,isad:rub:2963,https://data.rubenianum.be/ead/ark:/86530/0cae47e6-0c2a-512b-99c4-6749e74c14af
b209bc8e-ba76-57b9-b661-a4fe404e7233,tg:rubgr:2468,AssociatedArchives,2,AFG_044,isad:rub:2974,https://data.rubenianum.be/ead/ark:/86530/b9be9768-7480-5e92-a83e-1208dfd73c6c
4b6c7efe-ed94-5c15-b064-670a3316ba1d,tg:rubgr:4338,AssociatedArchives,2,AFG_022,isad:rub:2952,https://data.rubenianum.be/ead/ark:/86530/5af1b7bf-aa40-5aa6-84e9-00c0efbacdb0
51af5edd-44e7-58cb-b0f8-f39ee9684608,tg:rubgr:4768,AssociatedArchives,2,AFG_046,isad:rub:2976,https://data.rubenianum.be/ead/ark:/86530/39fe3e06-d693-52bb-9a06-bfb7d2903f6d
c1136386-7e5c-51c8-a9d3-41c2eb6f6b69,tg:rubgr:4292,AssociatedArchives,2,AFG_019,isad:rub:2949,https://data.rubenianum.be/ead/ark:/86530/a2831777-5bc3-554f-9665-14ef4be7053d
0f529377-1e21-5d92-9b29-3a078fa93b2c,tg:rubgr:5196,AssociatedArchives,2,AFG_011,isad:rub:2941,https://data.rubenianum.be/ead/ark:/86530/b397447c-8770-536c-aeec-58bab2d5c771
2ddf9cda-ac9d-508a-9be0-d68df3d78c07,tg:rubgr:2203,AssociatedArchives,2,AFG_001,isad:rub:2930,https://data.rubenianum.be/ead/ark:/86530/232883ae-1d65-5082-8020-8f39afe8e5a5
334c4103-1bd5-51b3-a1f7-cc469e5b95e9,tg:rubgr:676,AssociatedArchives,2,AFG_005,isad:rub:2935,https://data.rubenianum.be/ead/ark:/86530/d2d2d9a8-fa87-5149-ab64-a4631a2680a3
a114e9c4-2d8d-5d59-9040-84e89a5744de,tg:rubgr:3486,AssociatedArchives,2,AFG_046,isad:rub:2976,https://data.rubenianum.be/ead/ark:/86530/39fe3e06-d693-52bb-9a06-bfb7d2903f6d
c4eb4970-7c34-5d42-a403-d81dcedbec6b,tg:rubgr:2501,AssociatedArchives,2,AFG_034,isad:rub:2964,https://data.rubenianum.be/ead/ark:/86530/9247fce9-de4b-53a6-96b4-4edc48208edb
eae2cd74-9c98-5c87-a3d7-835342eb4fc6,tg:rubgr:4251,AssociatedArchives,2,AFG_022,isad:rub:2952,https://data.rubenianum.be/ead/ark:/86530/5af1b7bf-aa40-5aa6-84e9-00c0efbacdb0
a63c5e57-6ae5-5622-adce-b054ca148462,tg:rubgr:5155,AssociatedArchives,2,AFG_021,isad:rub:2951,https://data.rubenianum.be/ead/ark:/86530/c35447a0-a6ac-5ce4-aa37-3d560680432e
3ea201e9-6f4e-584b-b249-a26e8e831f63,tg:rubgr:2413,AssociatedArchives,2,AFG_003,isad:rub:2933,https://data.rubenianum.be/ead/ark:/86530/198948e1-0623-5404-9a6f-d2e0aeec0bbe
