ResourceID,brocade.id,card,order,kenmerken.rubfyformgr,Condition Status
476a46ba-23f6-58be-bbb3-fb03ffb5e69c,tg:rubgr:4066,Conditions,1,dcfvbe,Beschadigd
de0e3516-4eac-51fe-ac8e-7b394c770c5e,tg:rubgr:640,Conditions,1,dcfvbe,Beschadigd
c877a5a3-2d45-57b9-9acd-4a821b9dbfe4,tg:rubgr:4007,Conditions,1,dcfvbe,Beschadigd
04e38255-3285-5914-a7bf-46fe54863af7,tg:rubgr:1317,Conditions,1,dcfvbe,Beschadigd
a447518c-51e7-5ad5-add4-59e5cf2239f3,tg:rubgr:1680,Conditions,1,dcfvbe,Beschadigd
1ba1fcef-d90b-5c3f-ac73-b64fc89cc739,tg:rubgr:420,Conditions,1,dcfvbe,Beschadigd
a1381013-f77e-54a9-b0a5-f3ae4fa3213c,tg:rubgr:3243,Conditions,1,dcfvbe,Beschadigd
9b2dba63-8b31-5874-8dc6-1ba5fe8c7458,tg:rubgr:1681,Conditions,1,dcfvbe,Beschadigd
11883cd1-c710-58e3-8576-e12f150f5263,tg:rubgr:3813,Conditions,1,dcfvbe,Beschadigd
66008fef-0977-5d52-9e0c-8a1d7692734b,tg:rubgr:3258,Conditions,1,dcfvbe,Beschadigd
96be6c22-9bd4-5c36-817a-9fbfbee30a21,tg:rubgr:1079,Conditions,1,dcfvbe,Beschadigd
9739a765-ece8-56c3-8e57-8b039f85bf5c,tg:rubgr:369,Conditions,1,dcfvbe,Beschadigd
592f1111-8805-5b59-8980-322b5d223850,tg:rubgr:4522,Conditions,1,dcfvbe,Beschadigd
8e0b2775-9939-5fcd-b697-407a27a427f6,tg:rubgr:981,Conditions,1,dcfvbe,Beschadigd
dc45986d-86f0-5cc5-95d5-8b93d20d3c52,tg:rubgr:1721,Conditions,1,dcfvbe,Beschadigd
c798e49d-36ae-5fd7-9fd1-6e650b9ea2e0,tg:rubgr:542,Conditions,1,dcfvbe,Beschadigd
425e5c61-71fd-5d04-bd00-adf5522770b9,tg:rubgr:4597,Conditions,1,dcfvbe,Beschadigd
c90182c5-f1ce-53ed-9ed2-93ce87b47189,tg:rubgr:489,Conditions,1,dcfvbe,Beschadigd
cfa8a882-9066-5abc-921d-84e23a6f4271,tg:rubgr:1097,Conditions,1,dcfvbe,Beschadigd
1d91340d-9ecf-56af-a9dc-3e78b5b18cee,tg:rubgr:4078,Conditions,1,dcfvbe,Beschadigd
24024c98-4b88-55fe-9056-69b0dc279181,tg:rubgr:1554,Conditions,1,dcfvbe,Beschadigd
8338478f-4748-526c-93ac-a7f8d37928b1,tg:rubgr:1391,Conditions,1,dcfvbe,Beschadigd
241bff70-c125-522f-9111-2f56a2af1a74,tg:rubgr:3070,Conditions,1,dcfvbe,Beschadigd
83ce614c-5c83-5295-9566-031cb94f4fa2,tg:rubgr:644,Conditions,1,dcfvbe,Beschadigd
7a7075cb-133f-57bc-9310-e592d274c005,tg:rubgr:1611,Conditions,1,dcfvbe,Beschadigd
bd734edb-430a-5bfc-8e0a-5c8092412a23,tg:rubgr:3092,Conditions,1,dcfvbe,Beschadigd
4cee5ddc-9d89-5703-ab27-ef8e1e9600a7,tg:rubgr:984,Conditions,1,dcfvbe,Beschadigd
b97d8e64-d148-5a72-be85-13f4144f3336,tg:rubgr:1905,Conditions,1,dcfvbe,Beschadigd
1674e25b-841d-5f76-ae5f-4e8511255de6,tg:rubgr:2997,Conditions,1,dcfvbe,Beschadigd
4c3a9b7c-97c9-5f98-bbec-e0c085711fa0,tg:rubgr:1085,Conditions,1,dcfvbe,Beschadigd
08d61989-3ff3-5472-9888-adef3c9db67e,tg:rubgr:1206,Conditions,1,dcfvbe,Beschadigd
8fe2bf60-791f-54fa-b44d-71e5c98ea8d3,tg:rubgr:589,Conditions,1,dcfvbe,Beschadigd
