ResourceID,brocade.id,card,order,ire.isaar.uuid,ISAAR Brocade ID,source role,Original Entity Relation,Original Entity Note,Original Entity Widget,Original Entity Identifier
6cfc0a58-4c53-5b57-b87b-3bde57eb7a1a,tg:lhdc:1130,e73_RecordActors,1,1bcdb425-a04e-59c9-acdc-9b0d7b1c4387,au::13362,rg,keywords,,,
b4d8db6c-86c3-56c1-a9fc-f7d810c2a30d,tg:lhdc:598,e73_RecordActors,2,917eff88-272b-5f61-8688-e719c02effab,au::13683,rg,keywords,,,
ce2a7ca6-06d7-50ba-aaa5-e34afb9d5a3d,tg:lhdc:2322,e73_RecordActors,1,a920e800-aee3-5e09-9563-75b7d43a930e,au::108437,rg,keywords,,,
1ddabb87-17a8-53a2-95a2-2b9f9d71cb46,tg:lhdc:2332,e73_RecordActors,1,dcb62a22-267c-5384-b65b-f33e57854228,au::15899,rg,keywords,,,
1a37b0c2-62af-5780-b8fa-03cf6757280a,tg:lhdc:3115,e73_RecordActors,1,dcb62a22-267c-5384-b65b-f33e57854228,au::15899,rg,keywords,,,
8fbf4477-6e10-50eb-a878-d2b953db5be8,tg:lhdc:2611,e73_RecordActors,1,c9eb1f16-8d74-516e-be09-7342313360d6,au::55232,rg,keywords,,,
06d591df-9b15-5419-8fb7-95a7e1b9c239,tg:lhdc:922,e73_RecordActors,1,917eff88-272b-5f61-8688-e719c02effab,au::13683,rg,keywords,,,
732bb41d-2842-5f69-b5c8-a0b29057159b,tg:lhdc:3426,e73_RecordActors,1,dcb62a22-267c-5384-b65b-f33e57854228,au::15899,rg,keywords,,,
f322e60c-9d30-5d98-9f5a-30e505829c5d,tg:lhdc:647,e73_RecordActors,1,dcb62a22-267c-5384-b65b-f33e57854228,au::15899,rg,keywords,,,
c3046ec5-33ec-57fb-b87f-5ac4e4d9e1ca,tg:lhdc:1397,e73_RecordActors,1,f9bdb61b-0f7b-58c6-8206-b03685654c95,au::21342,rg,keywords,,,
c1f96640-c843-544f-a270-f6f1d888b02d,tg:lhdc:1387,e73_RecordActors,1,31a2f4b8-51ac-51e3-bb47-860bbc17f85a,au::9613,rg,keywords,,,
01ae782e-a06f-51ab-81d4-a97fcc857fcf,tg:lhdc:459,e73_RecordActors,2,dcb62a22-267c-5384-b65b-f33e57854228,au::15899,rg,keywords,,,
ad520e3c-7e1e-5350-8c8e-d273113013d9,tg:lhdc:521,e73_RecordActors,2,917eff88-272b-5f61-8688-e719c02effab,au::13683,rg,keywords,,,
14f8d159-9f3a-53d7-956a-f6d5a565dc20,tg:lhdc:2906,e73_RecordActors,1,31a2f4b8-51ac-51e3-bb47-860bbc17f85a,au::9613,rg,keywords,,,
