ResourceID,brocade.id,card,order,source_field,Format Numbers,Format Unit Type,Format Number Type,Page Numbers,Format Number
fe44ef5d-bfbe-5819-9098-a059e6f1566d,tg:lhhs:14757_#1,e22_Formats,1,kenmerken/lhpageshs.lhpageshsnumber,10,folios (leaves),aantal totaal,,
fe44ef5d-bfbe-5819-9098-a059e6f1566d,tg:lhhs:14757_#1,e22_Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,pages (components),aantal beschreven,10,
4bad7a42-470f-5096-aac2-23b6346570d0,tg:lhhs:4716_#1,e22_Formats,1,kenmerken/lhpageshs.lhpageshsnumber,6,folios (leaves),aantal totaal,,
6cc8ca5b-a54f-5964-a6bb-3ec086617feb,tg:lhhs:20300_#1,e22_Formats,1,kenmerken/lhpageshs.lhpageshsnumber,51 + 45,folios (leaves),aantal totaal,,
6cc8ca5b-a54f-5964-a6bb-3ec086617feb,tg:lhhs:20300_#1,e22_Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,pages (components),aantal beschreven,62 + 85,
56165d42-36ab-5249-9615-0da5f7527c30,tg:lhhs:11171_#1,e22_Formats,1,kenmerken/lhpageshs.lhpageshsnumber,1,folios (leaves),aantal totaal,,
56165d42-36ab-5249-9615-0da5f7527c30,tg:lhhs:11171_#1,e22_Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,pages (components),aantal beschreven,2,
f318ca18-82a8-5a1a-b166-4dbca129e9fc,tg:lhhs:1130_#1,e22_Formats,1,kenmerken/lhpageshs.lhpageshsnumber,7,folios (leaves),aantal totaal,,
f318ca18-82a8-5a1a-b166-4dbca129e9fc,tg:lhhs:1130_#1,e22_Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,pages (components),aantal beschreven,7,
5fda9cda-c7b7-58f6-acef-1a70739d0839,tg:lhhs:9285_#1,e22_Formats,1,kenmerken/lhpageshs.lhpageshsnumber,2,folios (leaves),aantal totaal,,
5fda9cda-c7b7-58f6-acef-1a70739d0839,tg:lhhs:9285_#1,e22_Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,pages (components),aantal beschreven,3,
e3052391-0e76-5004-b49b-8ce5aab08819,tg:lhhs:3750_#1,e22_Formats,1,kenmerken/lhpageshs.lhpageshsnumber,5,folios (leaves),aantal totaal,,
e3052391-0e76-5004-b49b-8ce5aab08819,tg:lhhs:3750_#1,e22_Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,pages (components),aantal beschreven,6,
22d797ec-960a-599f-97f1-3681de8dab28,tg:lhhs:13711_#1,e22_Formats,1,kenmerken/lhpageshs.lhpageshsnumber,31,folios (leaves),aantal totaal,,
22d797ec-960a-599f-97f1-3681de8dab28,tg:lhhs:13711_#1,e22_Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,pages (components),aantal beschreven,31,
7e11ff13-4289-5212-8e25-ad3fe32614d9,tg:lhhs:6176_#1,e22_Formats,1,kenmerken/lhpageshs.lhpageshsnumber,66,folios (leaves),aantal totaal,,
7e11ff13-4289-5212-8e25-ad3fe32614d9,tg:lhhs:6176_#1,e22_Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,pages (components),aantal beschreven,102,
ffa90890-4676-539a-a518-fb5a987846f9,tg:lhhs:16137_#1,e22_Formats,1,kenmerken/lhpageshs.lhpageshsnumber,30,folios (leaves),aantal totaal,,ca
25b4613a-2f1c-535d-8c73-be558821b1bd,tg:lhhs:10503_#1,e22_Formats,1,kenmerken/lhpageshs.lhpageshsnumber,113,folios (leaves),aantal totaal,,
25b4613a-2f1c-535d-8c73-be558821b1bd,tg:lhhs:10503_#1,e22_Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,pages (components),aantal beschreven,113,
f298e0cd-186a-5f2d-af00-7f0a9a6ba53f,tg:lhhs:20278_#1,e22_Formats,1,kenmerken/lhpageshs.lhpageshsnumber,58,folios (leaves),aantal totaal,,
f298e0cd-186a-5f2d-af00-7f0a9a6ba53f,tg:lhhs:20278_#1,e22_Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,pages (components),aantal beschreven,102,
66628717-8641-584f-9407-ddf4377752e8,tg:lhhs:15325_#1,e22_Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,pages (components),aantal beschreven,1,
da78ae33-abaf-5bfe-bf60-1fd8fcf6ff39,tg:lhhs:598_#1,e22_Formats,1,kenmerken/lhpageshs.lhpageshsnumber,2,folios (leaves),aantal totaal,,
dea86b06-4f7f-5f98-81d6-e176f2e031c2,tg:lhhs:1048_#1,e22_Formats,1,kenmerken/lhpageshs.lhpageshsnumber,1,folios (leaves),aantal totaal,,
dea86b06-4f7f-5f98-81d6-e176f2e031c2,tg:lhhs:1048_#1,e22_Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,pages (components),aantal beschreven,2,
096356f6-3487-5ccc-bf6e-86d92f389295,tg:lhhs:5364_#1,e22_Formats,1,kenmerken/lhpageshs.lhpageshsnumber,2,folios (leaves),aantal totaal,,
096356f6-3487-5ccc-bf6e-86d92f389295,tg:lhhs:5364_#1,e22_Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,pages (components),aantal beschreven,2,
fdf990ea-c9a4-516a-a3fe-c2904e073ae8,tg:lhhs:6997_#1,e22_Formats,1,kenmerken/lhpageshs.lhpageshsnumber,36,folios (leaves),aantal totaal,,
fdf990ea-c9a4-516a-a3fe-c2904e073ae8,tg:lhhs:6997_#1,e22_Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,pages (components),aantal beschreven,36,
6a507a23-c85d-50ed-9619-d0daeb86bf23,tg:lhhs:13669_#1,e22_Formats,1,kenmerken/lhpageshs.lhpageshsnumber,3,folios (leaves),aantal totaal,,
6a507a23-c85d-50ed-9619-d0daeb86bf23,tg:lhhs:13669_#1,e22_Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,pages (components),aantal beschreven,3,
e598a07a-def3-50ca-803e-d68797daa57d,tg:lhhs:7504_#1,e22_Formats,1,kenmerken/lhpageshs.lhpageshsnumber,7,folios (leaves),aantal totaal,,
e598a07a-def3-50ca-803e-d68797daa57d,tg:lhhs:7504_#1,e22_Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,pages (components),aantal beschreven,7,
776ef412-031b-5595-8eac-d42f40a5956f,tg:lhhs:3628_#1,e22_Formats,1,kenmerken/lhpageshs.lhpageshsnumber,3,folios (leaves),aantal totaal,,
776ef412-031b-5595-8eac-d42f40a5956f,tg:lhhs:3628_#1,e22_Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,pages (components),aantal beschreven,3,
9674fb50-804b-5736-b935-405417970521,tg:lhhs:2322_#1,e22_Formats,1,kenmerken/lhpageshs.lhpageshsnumber,6,folios (leaves),aantal totaal,,
9674fb50-804b-5736-b935-405417970521,tg:lhhs:2322_#1,e22_Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,pages (components),aantal beschreven,6,
6615317a-0ccc-5827-aa8c-f161517a336b,tg:lhhs:12363_#1,e22_Formats,1,kenmerken/lhpageshs.lhpageshsnumber,79,folios (leaves),aantal totaal,,
6615317a-0ccc-5827-aa8c-f161517a336b,tg:lhhs:12363_#1,e22_Formats,1,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,pages (components),aantal beschreven,109,
026a5354-b62d-5615-b0a0-81a874eba782,tg:lhhs:31_#1,e22_Formats,1,kenmerken/lhpageshs.lhpageshsnumber,1,folios (leaves),aantal totaal,,
