ResourceID,brocade.id,card,order,source_field,Description,Description Language
a043845f-7554-5ff0-9205-b645bb32caed,tg:lhdc:729,Descriptions,1,id.desc,Door Marie van Dessel-Poot,Nederlands
f90aee64-fa2e-5c5e-beca-16af546e9bdf,tg:lhdc:683,Descriptions,1,id.desc,L.P. Boon,Nederlands
adac8886-4115-53ba-a5e9-e97f1cbeecb6,tg:lhdc:2130,Descriptions,1,id.desc,"Luisterspel door Hans Peter Breuer. Uit het Duits vertaald door W.  
Wielek-Berg",Nederlands
181ceed4-eaff-5bd2-b8e4-36ec55a0c248,tg:lhdc:2425,Descriptions,1,id.desc,Mini-luisterspel van Rainer Puchert,Nederlands
b0927ea5-92c6-5720-af4d-1332e48ba275,tg:lhdc:1659,Descriptions,1,id.desc,"Luisterspel door R.C. SZherriff, uit het Engels vertaald door  
Valeer Van Kerkhove",Nederlands
06bdc7b2-8cfb-5a0e-8e63-bc517d7574b9,tg:lhdc:2976,Descriptions,1,id.desc,Door Renate Olberg,Nederlands
fe4bd5d8-bcac-5756-b7f4-5c0b5cc0308a,tg:lhdc:1209,Descriptions,1,id.desc,Door Friedrich Feld,Nederlands
54b55676-f60f-5f9d-abfd-fc6ab28fa0dd,tg:lhdc:1823,Descriptions,1,id.desc,Luisterspel van Jacques perret. uit het Frans vertaald door Piet Van Aken,Nederlands
a0bfd496-bdb9-5974-ba6e-4efdac4a96c7,tg:lhdc:1989,Descriptions,1,id.desc,Luisterspel van F.W. Willetts. Nederlandse vertaling: Jan Christaens,Nederlands
1f6e8fbd-93f1-5fd9-9d8e-029293aa8c69,tg:lhdc:4322,Descriptions,1,id.desc,Door Federico Garcia Lorca,Nederlands
194273e5-dce2-55d6-9225-a1a39c7683c4,tg:lhdc:1120,Descriptions,1,id.desc,Door Erik Uyldert,Nederlands
4968b442-83f7-5ac9-8739-78a9594fbb21,tg:lhdc:545,Descriptions,1,id.desc,"door Mikro Bozic  
Uit het Duits vertaald door Lode Vandeput",Nederlands
e82a4066-c13b-5c1e-a89a-f242d880158f,tg:lhdc:1570,Descriptions,1,id.desc,"Een luisterspel door Vincent Brome uit het Engels vertaald door  
Georgette De Rijcke",Nederlands
69b18b18-bbe4-5c3f-8fce-82f5a18111df,tg:lhdc:4288,Descriptions,1,id.desc,"Een éénakter van Glenn Hughes, uit het Amerikaans vertaald door  
Wim Gansemans.",Nederlands
9260ac3a-493b-5c96-8e8b-2c088046afcd,tg:lhdc:3058,Descriptions,1,id.desc,Door Antonia Ridge,Nederlands
918e407c-5088-545f-9600-7455a2ad5ade,tg:lhdc:4267,Descriptions,1,id.desc,"Toneelspel in één bedrijf door Tennessee Williams. Vertaling: Ank  
Van Der Moer.",Nederlands
a4f839b8-c912-557b-91e8-49e0629b7ca8,tg:lhdc:1435,Descriptions,1,id.desc,Luisterspel van Giles Cooper. Nederlandse vertaling: Marc Galle,Nederlands
1c069000-f37d-58f1-9832-62d2d4955dc6,tg:lhdc:1966,Descriptions,1,id.desc,Een luisterspel van Slawomir Mrozek. Vertaling: Marc Colpaert,Nederlands
863f5eca-b4fe-5ff0-9545-a487d5b19de6,tg:lhdc:953,Descriptions,1,id.desc,"Een luisterspel door Friedrich Feld   
vertaald door Georgette De Rycke",Nederlands
697fed17-e5ee-59ed-b9eb-5126ec80b459,tg:lhdc:2537,Descriptions,1,id.desc,( Schiet niet op de pianist ) Auteur: Barry Campbell,Nederlands
d1575020-0721-5685-a972-e30c2476f8a8,tg:lhdc:2167,Descriptions,1,id.desc,Luisterspel van Kay Hoff. Nederlandse vertaling: Cornelis Baan,Nederlands
41d14d41-dfc1-54f9-8a08-852c1805028e,tg:lhdc:4119,Descriptions,1,id.desc,TV-Spel door Eddy Asselbergs,Nederlands
e9a999da-a1c8-5133-a100-77b0a816dae8,tg:lhdc:3326,Descriptions,1,id.desc,Door Elisabeth T'Seyen,Nederlands
c57e010f-886e-58a7-b3b0-b053513b9962,tg:lhdc:4549,Descriptions,1,id.desc,6e aflevering van een feuilleton door Marc De Bie,Nederlands
62c249f2-b9a7-597a-ac55-22637354dd16,tg:lhdc:3776,Descriptions,1,id.desc,Door Jozefa Willems,Nederlands
f15274bf-0e02-5c8a-a85d-74b5b9e4e418,tg:lhdc:2864,Descriptions,1,id.desc,Door Renate Olberg,Nederlands
f5ee3ee2-4185-5e70-9efb-437c54abf769,tg:lhdc:791,Descriptions,1,id.desc,Tot luisterspel bewerkt door Herman van Overbeke,Nederlands
5af84b01-84cf-512e-8360-b9f5c161be29,tg:lhdc:3633,Descriptions,1,id.desc,Deel Ii door Catherina van Eysden,Nederlands
d3d42335-5419-56f6-82d0-fead9c7db9a2,tg:lhdc:2921,Descriptions,1,id.desc,Door René Van Leuven,Nederlands
7e3aa133-adc9-5928-96d0-ef4322952dcd,tg:lhdc:2472,Descriptions,1,id.desc,"Komedie door Guillaume Oyono-Mbia. Omgewerkt tot luisterspel door  
Janheinz Jahn",Nederlands
53608659-e49e-5b3e-8a69-c959b86de8bf,tg:lhdc:2188,Descriptions,1,id.desc,"Luisterspel van Aleksandar Obrenovic. vertaling uit  
het Servokroatisch: Josina van der Grijp",Nederlands
815db3e8-919e-5bd2-a0b0-cb8cf85391b7,tg:lhdc:2022,Descriptions,1,id.desc,"Tekst voor een akoestische kreatie door Ingeborg Drewitz. Vertaling:  
Marc Colpaert",Nederlands
26d15d9f-8e01-5ff2-a090-290a3e04e7ee,tg:lhdc:1527,Descriptions,1,id.desc,Financiële stukken,Nederlands
2ae68211-f898-5a98-a0c7-4596b2e5e799,tg:lhdc:4725,Descriptions,1,id.desc,"Een luisterspel van Hubert Van Herreweghen, naar een verhaal van Tsjekhov",Nederlands
c97309fe-5445-5e17-8c69-b7c249d559c0,tg:lhdc:512,Descriptions,1,id.desc,"door Brian Morris  
In het Nederlands vertaald door René Verbeeck",Nederlands
3a9901ea-3fe6-507c-8c41-35a0c4ee2671,tg:lhdc:1177,Descriptions,1,id.desc,Radioschets door Tristan Bernard,Nederlands
fe418a0e-9ad0-53f0-8b2e-c87f1b876ce3,tg:lhdc:1874,Descriptions,1,id.desc,Een grillige fantasie door Herman B. Eiberts( Bunte),Nederlands
fae3c9b9-42f4-56f5-bc67-8c47087e7dfb,tg:lhdc:841,Descriptions,1,id.desc,"Door F. Demiel  
Regie: Karel De Brabander",Nederlands
ad8d7135-07c0-5a74-ac17-24ccbfc18dfa,tg:lhdc:904,Descriptions,1,id.desc,"Luisterspel door Germaine Dijckhoff-Ceunen.   
Bewerkt naar fragmenten uit """"Het Lied der Korenvelden"""" van F. Mora",Nederlands
2324bbd5-3433-55df-9713-5931879675f6,tg:lhdc:1931,Descriptions,1,id.desc,"Luisterspel door Friedrich Dürrenmaat. Uit het Duits vertaald door Carlos  
Tindemans",Nederlands
6ac7bf2c-638c-51d2-8e6d-6d7d10b6e5b2,tg:lhdc:457,Descriptions,1,id.desc,"Luisterspel door Hans-Joachim Haecker
Uit het Duits vertaald door Jan van den Weghe",Nederlands
0c7e4f85-7dd2-5b82-aa7b-929e9d43ba1f,tg:lhdc:1462,Descriptions,1,id.desc,"Een luisterspel van Henry Cecil uit het Engels vertaald door  
Lowie Weynants",Nederlands
d9a3fbc3-524c-51d2-a037-db5ce99c299c,tg:lhdc:4230,Descriptions,1,id.desc,TV-spel van James Saunders,Nederlands
76f339aa-e986-5227-95ea-6a1b1b9afa6f,tg:lhdc:1032,Descriptions,1,id.desc,"Een luisterspel door Hugh Stewart, naar het gelijknamige toneelstuk  
van Sir James Barrie, en uit het Engels   vertaald door Georgete De Rijcke",Nederlands
a275029b-8133-537e-8cf4-eec2b9bff617,tg:lhdc:3760,Descriptions,1,id.desc,"Tweede deel door Klaus Reuter. Uit het Duits vertaald door Karel 
Ruyssinck",Nederlands
404b06af-229e-5de9-a919-a2753e282f80,tg:lhdc:768,Descriptions,1,id.desc,"Tweede deel   
J.B. Priestley",Nederlands
2c6e4fe2-1a4b-5e64-905b-ca654edb08fa,tg:lhdc:3330,Descriptions,1,id.desc,Door Coos Bos,Nederlands
2656059e-44b1-53d9-a3ab-d6c3b84fe9a3,tg:lhdc:2171,Descriptions,1,id.desc,"Luisterspel van Wolfgang Kirchner. Uit het Duits vertaald door Karel  
Ruyssinck",Nederlands
