ResourceID,brocade.id,card,order,source_code,ire.isaar.uuid,ISAAR Brocade ID,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier
66eb60de-24a9-5936-ac97-848778181837,tg:lhdc:21,e73_OriginalBrocade,1,vb,fa1d89bb-f4e3-5861-b0a3-0ccd36d7c6ed,au::978,keywords,,,
1113b72a-64c9-5afa-b425-e88af29d3c48,tg:lhdc:4460,e73_OriginalBrocade,2,kw,0647dfdf-32f3-5f8d-9214-52498374efb5,au::3602,keywords,,,
5865afa1-c82b-5bb6-9e12-1c1bce037c1b,tg:lhdc:364,e73_OriginalBrocade,1,kw,a3d2781d-bd51-5916-bb03-d0f7670b9a88,au::112242,keywords,,,
39093863-e094-580c-8c97-d19aa446f909,tg:lhdc:316,e73_OriginalBrocade,1,kw,d14daa94-8858-5f23-8dd2-cf98885b7f54,au::112220,keywords,,,
39093863-e094-580c-8c97-d19aa446f909,tg:lhdc:316,e73_OriginalBrocade,2,kw,0e04debb-e795-571b-86ea-e6d890b4416f,au::4559,keywords,,,
47515aaa-5ae6-5418-86a7-1bcb50269606,tg:lhdc:4811,e73_OriginalBrocade,2,kw,ebd00cc4-2119-5474-b6ef-42b56014bfd9,au::4333,keywords,,,
47515aaa-5ae6-5418-86a7-1bcb50269606,tg:lhdc:4811,e73_OriginalBrocade,3,kw,beb49e0f-52a8-5e0b-85f2-a7ef0c25561b,au::11365,keywords,,,
067d731e-8a25-5400-952e-f0741aec587c,tg:lhdc:306,e73_OriginalBrocade,1,kw,c0f3cd59-54d0-57b8-982d-2578bd37b65e,au::6861,keywords,,,
6084d459-1a22-53c4-8f70-5c95ee5f5642,tg:lhdc:4386,e73_OriginalBrocade,2,kw,df74ffe5-8246-5c73-827b-0f2d8ab722d1,au::19127,keywords,,,
3fdd3fdd-1139-5122-9a3a-749efde482be,tg:lhdc:4396,e73_OriginalBrocade,2,kw,92bc7fc6-c47e-5eb3-81a5-1ba96d9862de,au::19056,keywords,,,
55b95545-a95e-5051-97b3-cb1805218512,tg:lhdc:4412,e73_OriginalBrocade,2,kw,3aa0373e-d65f-595c-9c72-372ee2d1d997,au::30,keywords,,,
828a0558-ea2a-56de-a9f1-2e1d6e8171b5,tg:lhdc:4402,e73_OriginalBrocade,2,kw,83e481ff-50bb-5f14-98ca-67133fd12df1,au::14262,keywords,,,
6492972c-b832-576c-9109-46fd3c9cd705,tg:lhdc:1509,e73_OriginalBrocade,1,kw,56c4f5b5-a245-5b8b-9f2d-8fda56444c9f,au::16015,keywords,,,
f66aba15-19f5-5909-854e-fafd608dc6c7,tg:lhdc:53,e73_OriginalBrocade,1,vb,fa1d89bb-f4e3-5861-b0a3-0ccd36d7c6ed,au::978,keywords,,,
f66aba15-19f5-5909-854e-fafd608dc6c7,tg:lhdc:53,e73_OriginalBrocade,2,vb,277ca31e-eee1-5199-9407-2bf9e474e07e,au::58729,keywords,,,
f66aba15-19f5-5909-854e-fafd608dc6c7,tg:lhdc:53,e73_OriginalBrocade,3,vb,2d20ec23-21a2-5b34-8f1c-cf4a5b194990,au::59251,keywords,,,
13f20457-b15c-568a-b0ce-2b01be178b99,tg:lhdc:43,e73_OriginalBrocade,1,vb,fa1d89bb-f4e3-5861-b0a3-0ccd36d7c6ed,au::978,keywords,,,
13f20457-b15c-568a-b0ce-2b01be178b99,tg:lhdc:43,e73_OriginalBrocade,2,vb,c6aea1fe-9da1-5281-b92a-06cd594970af,au::58992,keywords,,,
37105b8a-3158-5e9d-9fcb-9c050e3852c7,tg:lhdc:4790,e73_OriginalBrocade,1,kw,ebd00cc4-2119-5474-b6ef-42b56014bfd9,au::4333,keywords,,,
37105b8a-3158-5e9d-9fcb-9c050e3852c7,tg:lhdc:4790,e73_OriginalBrocade,2,kw,036d363f-0062-5624-b547-2b5a868c8995,au::20788,keywords,,,
37105b8a-3158-5e9d-9fcb-9c050e3852c7,tg:lhdc:4790,e73_OriginalBrocade,3,kw,26bf6cf5-3e7f-5544-bee4-c3894e6014d1,au::25663,keywords,,,
37105b8a-3158-5e9d-9fcb-9c050e3852c7,tg:lhdc:4790,e73_OriginalBrocade,4,kw,c4a651ec-8677-570b-87f6-9557bd97fff8,au::33941,keywords,,,
e691549d-6fc5-537b-affc-38f072fb7018,tg:lhdc:4780,e73_OriginalBrocade,1,kw,ebd00cc4-2119-5474-b6ef-42b56014bfd9,au::4333,keywords,,,
e691549d-6fc5-537b-affc-38f072fb7018,tg:lhdc:4780,e73_OriginalBrocade,2,kw,6123731f-c187-5602-8d89-87df2ec10782,au::58,keywords,,,
e691549d-6fc5-537b-affc-38f072fb7018,tg:lhdc:4780,e73_OriginalBrocade,3,kw,c1f3c48c-b1f6-588f-ac51-113f87387d8e,au::15346,keywords,,,
fa3ed59c-a30a-5e0d-82a4-38ece2e2cc8b,tg:lhdc:145,e73_OriginalBrocade,2,kw,5f87dd83-f6c1-5200-b3ad-4e08b2c08bd8,au::12032,keywords,,,
fa3ed59c-a30a-5e0d-82a4-38ece2e2cc8b,tg:lhdc:145,e73_OriginalBrocade,3,kw,1dafb5ca-0921-5159-be31-635cdf679ee7,au::21632,keywords,,,
fa3ed59c-a30a-5e0d-82a4-38ece2e2cc8b,tg:lhdc:145,e73_OriginalBrocade,4,kw,081c9b31-4027-5461-8038-053e5e99d10f,au::7048,keywords,,,
fa3ed59c-a30a-5e0d-82a4-38ece2e2cc8b,tg:lhdc:145,e73_OriginalBrocade,5,kw,5cef32b8-4d5d-57c8-8971-0061acb742a3,au::44393,keywords,,,
fa3ed59c-a30a-5e0d-82a4-38ece2e2cc8b,tg:lhdc:145,e73_OriginalBrocade,6,kw,dae1633f-0908-5b71-a720-7a97164c8263,au::2086,keywords,,,
a4d214b7-89eb-587a-b25b-6fa67068468e,tg:lhdc:4362,e73_OriginalBrocade,2,kw,71823328-4583-5bdb-88fe-8c18ce873181,au::10392,keywords,,,
bd042d1e-106c-5fd3-8599-fbc846a25dae,tg:lhdc:4372,e73_OriginalBrocade,2,kw,871be397-cec8-5afa-bf53-c23ebcb50268,au::8656,keywords,,,
65f59bdd-4a1e-5abb-a4a6-2ed33fefc836,tg:lhdc:390,e73_OriginalBrocade,1,kw,a8d9be7f-1357-5a8b-b157-5433311b3661,au::10910,keywords,,,
