ResourceID,brocade.id,card,order,source_field,source_code,Dimension Source Note
456fc8e4-524f-59bb-a7be-d14de36f2633,tg:lhdc:379,DimensionSourceNotes,1,kenmerken.lhformatdc,"42 x 55,5","42 x 55,5"
b7413771-a7fa-596e-a06c-03d3ae9a0146,tg:lhdc:396,DimensionSourceNotes,1,kenmerken.lhformatdc,9 x 18,9 x 18
059e46d3-66dc-5b3b-895f-1f4f6b77c3e0,tg:lhdc:400,DimensionSourceNotes,1,kenmerken.lhformatdc,51 x 34,51 x 34
427907aa-7f3e-50f7-9387-3e29bd48c71a,tg:lhdc:284,DimensionSourceNotes,1,kenmerken.lhformatdc,33 x 21,33 x 21
26d15d9f-8e01-5ff2-a090-290a3e04e7ee,tg:lhdc:1527,DimensionSourceNotes,1,kenmerken.lhformatdc,"34,5 x 21,5","34,5 x 21,5"
15405e4c-0613-5379-af4d-8bcb245b1c8a,tg:lhdc:142,DimensionSourceNotes,1,kenmerken.lhformatdc,"42,2 x 29,5","42,2 x 29,5"
2a606f69-d1f0-50b8-8f44-7086fdfb5192,tg:lhdc:292,DimensionSourceNotes,1,kenmerken.lhformatdc,26 x 20,26 x 20
2f494987-7310-568e-b620-d6b4d2bfb7fa,tg:lhdc:338,DimensionSourceNotes,1,kenmerken.lhformatdc,25 x 16,25 x 16
40cadf49-e4e7-5318-844b-e0bb6dabf084,tg:lhdc:380,DimensionSourceNotes,1,kenmerken.lhformatdc,47 x 38,47 x 38
81d84b57-a4fc-5c60-b2c3-47de56f39ae2,tg:lhdc:416,DimensionSourceNotes,1,kenmerken.lhformatdc,"35 x 22,5","35 x 22,5"
e95fb31c-c6e2-5e2b-ae1a-f2cfdec9a202,tg:lhdc:251,DimensionSourceNotes,1,kenmerken.lhformatdc,32x26,32x26
23f8431b-f020-57bb-91ea-ed09ad6889b0,tg:lhdc:314,DimensionSourceNotes,1,kenmerken.lhformatdc,"27,5 x 21","27,5 x 21"
