ResourceID,brocade.id,card,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Note,End Date Note Type,End Date Note Language
3940bb1e-1aae-5980-9f22-c99a567978c7,tg:lhdc:4716,e73_CreationTimeSpans,1962-04-05,nan,nan,nan,nan,nan,nan,nan,nan,nan
6cfc0a58-4c53-5b57-b87b-3bde57eb7a1a,tg:lhdc:1130,e73_CreationTimeSpans,1933,nan,nan,nan,nan,nan,nan,nan,nan,nan
b81f6b31-739c-5c6d-a95e-abfa115230e0,tg:lhdc:3750,e73_CreationTimeSpans,1971-04-07,nan,nan,nan,nan,nan,nan,nan,nan,nan
b4d8db6c-86c3-56c1-a9fc-f7d810c2a30d,tg:lhdc:598,e73_CreationTimeSpans,1964,nan,nan,nan,nan,nan,nan,nan,nan,nan
4d635ee4-ca2e-53a7-ad13-307584d9f4ad,tg:lhdc:1048,e73_CreationTimeSpans,1950,nan,nan,nan,nan,nan,nan,nan,nan,nan
b5bd19e9-171f-55b7-9c70-925b75122b2a,tg:lhdc:3628,e73_CreationTimeSpans,1968-05-08,nan,nan,nan,nan,nan,nan,nan,nan,nan
ce2a7ca6-06d7-50ba-aaa5-e34afb9d5a3d,tg:lhdc:2322,e73_CreationTimeSpans,1967,nan,nan,nan,nan,nan,nan,nan,nan,nan
d5574d19-67a2-5c36-82a1-8dadec6ec51d,tg:lhdc:3740,e73_CreationTimeSpans,1971-01-06,nan,nan,nan,nan,nan,nan,nan,nan,nan
cf0eddf7-eaa6-5daf-aeda-3769be6ece91,tg:lhdc:4706,e73_CreationTimeSpans,1960-06-28,nan,nan,nan,nan,nan,nan,nan,nan,nan
194273e5-dce2-55d6-9225-a1a39c7683c4,tg:lhdc:1120,e73_CreationTimeSpans,1949,nan,nan,nan,nan,nan,nan,nan,nan,nan
98622946-cddd-5bd3-8341-51d8a776250e,tg:lhdc:3638,e73_CreationTimeSpans,1968-07-17,nan,nan,nan,nan,nan,nan,nan,nan,nan
66eb60de-24a9-5936-ac97-848778181837,tg:lhdc:21,e73_CreationTimeSpans,1897-10-18,nan,nan,nan,nan,nan,nan,nan,nan,nan
1ddabb87-17a8-53a2-95a2-2b9f9d71cb46,tg:lhdc:2332,e73_CreationTimeSpans,1976,nan,nan,nan,nan,nan,nan,nan,nan,nan
