ResourceID,brocade.id,card,order,Archive Brocade ID,Archive Widget,Archive Identifier
a37798ab-ae19-5b8f-abaa-d5712e1ecac2,tg:lhdc:4716_#1,e22_Archives,1,isad:lh:182250,"dlod={""name"":""Jaren 1960"",""ark"":""ark:/24970/x0/e7ba9dd0-dad8-5e84-9ed0-a1cca1463db7"",""uri"":""/repositories/11/archival_objects/219552"",""id"":""isad:lh:182250"",""nameWithContext"":[""Radio"",""Radioprogramma's"",""Het uur voor de vrouw""],""resourceName"":""Archief van Belgische Radio en Televisie"",""resourceArk"":""ark:/24970/x0/3ae5a5f5-7f53-5550-816f-2149fd70e3b2"",""resourceURI"":""/repositories/11/resources/2846"",""resourceID"":""isad:lh:43686"",""capacity"":""Jaren 1960"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/e7ba9dd0-dad8-5e84-9ed0-a1cca1463db7
d6fb8440-2ebe-5aca-9f13-61a09a79e3eb,tg:lhdc:1130_#1,e22_Archives,1,isad:lh:174425,"dlod={""name"":""1933"",""ark"":""ark:/24970/x0/21fd91d7-726d-5729-af42-430a4ac9aa43"",""uri"":""/repositories/11/archival_objects/219403"",""id"":""isad:lh:174425"",""nameWithContext"":[""Radio"",""Luisterspelen"",""Jaren 1930""],""resourceName"":""Archief van Belgische Radio en Televisie"",""resourceArk"":""ark:/24970/x0/3ae5a5f5-7f53-5550-816f-2149fd70e3b2"",""resourceURI"":""/repositories/11/resources/2846"",""resourceID"":""isad:lh:43686"",""capacity"":""1933"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/21fd91d7-726d-5729-af42-430a4ac9aa43
043d8594-433e-5706-832e-051566019633,tg:lhdc:3750_#1,e22_Archives,1,isad:lh:179322,"dlod={""name"":""1971"",""ark"":""ark:/24970/x0/9f226534-6dd3-55bc-93f6-9fa1be016593"",""uri"":""/repositories/11/archival_objects/219512"",""id"":""isad:lh:179322"",""nameWithContext"":[""Radio"",""Programma's voor de jeugd"",""De Omnibus"",""Jaren 1980""],""resourceName"":""Archief van Belgische Radio en Televisie"",""resourceArk"":""ark:/24970/x0/3ae5a5f5-7f53-5550-816f-2149fd70e3b2"",""resourceURI"":""/repositories/11/resources/2846"",""resourceID"":""isad:lh:43686"",""capacity"":""1971"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/9f226534-6dd3-55bc-93f6-9fa1be016593
78bebb2d-727e-551c-8d21-499ad27a2f6a,tg:lhdc:598_#1,e22_Archives,1,isad:lh:174018,"dlod={""name"":""1964"",""ark"":""ark:/24970/x0/16529b8f-7e0d-520e-b38f-18544f2448b9"",""uri"":""/repositories/11/archival_objects/219437"",""id"":""isad:lh:174018"",""nameWithContext"":[""Radio"",""Luisterspelen"",""Jaren 1960""],""resourceName"":""Archief van Belgische Radio en Televisie"",""resourceArk"":""ark:/24970/x0/3ae5a5f5-7f53-5550-816f-2149fd70e3b2"",""resourceURI"":""/repositories/11/resources/2846"",""resourceID"":""isad:lh:43686"",""capacity"":""1964"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/16529b8f-7e0d-520e-b38f-18544f2448b9
28544482-542b-5504-a0f5-1b7385b8c5cf,tg:lhdc:1048_#1,e22_Archives,1,isad:lh:174441,"dlod={""name"":""1950"",""ark"":""ark:/24970/x0/31f5bfe6-a167-5e3c-a430-e67c10e5f9fe"",""uri"":""/repositories/11/archival_objects/219422"",""id"":""isad:lh:174441"",""nameWithContext"":[""Radio"",""Luisterspelen"",""Jaren 1950""],""resourceName"":""Archief van Belgische Radio en Televisie"",""resourceArk"":""ark:/24970/x0/3ae5a5f5-7f53-5550-816f-2149fd70e3b2"",""resourceURI"":""/repositories/11/resources/2846"",""resourceID"":""isad:lh:43686"",""capacity"":""1950"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/31f5bfe6-a167-5e3c-a430-e67c10e5f9fe
0f3b1a2a-0e88-58dd-895d-5bc5857a5e48,tg:lhdc:3628_#1,e22_Archives,1,isad:lh:179319,"dlod={""name"":""1968"",""ark"":""ark:/24970/x0/a372f41d-bc64-5993-9dc1-3f009f2a7a77"",""uri"":""/repositories/11/archival_objects/219508"",""id"":""isad:lh:179319"",""nameWithContext"":[""Radio"",""Programma's voor de jeugd"",""De Omnibus"",""Jaren 1980""],""resourceName"":""Archief van Belgische Radio en Televisie"",""resourceArk"":""ark:/24970/x0/3ae5a5f5-7f53-5550-816f-2149fd70e3b2"",""resourceURI"":""/repositories/11/resources/2846"",""resourceID"":""isad:lh:43686"",""capacity"":""1968"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/a372f41d-bc64-5993-9dc1-3f009f2a7a77
dd45d804-4e3f-5eb1-905a-09566d67e9e8,tg:lhdc:2322_#1,e22_Archives,1,isad:lh:173688,"dlod={""name"":""1967"",""ark"":""ark:/24970/x0/bcc52e0c-8bc8-5ffe-9de6-cced98098bc5"",""uri"":""/repositories/11/archival_objects/219440"",""id"":""isad:lh:173688"",""nameWithContext"":[""Radio"",""Luisterspelen"",""Jaren 1960""],""resourceName"":""Archief van Belgische Radio en Televisie"",""resourceArk"":""ark:/24970/x0/3ae5a5f5-7f53-5550-816f-2149fd70e3b2"",""resourceURI"":""/repositories/11/resources/2846"",""resourceID"":""isad:lh:43686"",""capacity"":""1967"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/bcc52e0c-8bc8-5ffe-9de6-cced98098bc5
771a836f-6712-533d-892b-d62b2192024b,tg:lhdc:3740_#1,e22_Archives,1,isad:lh:179322,"dlod={""name"":""1971"",""ark"":""ark:/24970/x0/9f226534-6dd3-55bc-93f6-9fa1be016593"",""uri"":""/repositories/11/archival_objects/219512"",""id"":""isad:lh:179322"",""nameWithContext"":[""Radio"",""Programma's voor de jeugd"",""De Omnibus"",""Jaren 1980""],""resourceName"":""Archief van Belgische Radio en Televisie"",""resourceArk"":""ark:/24970/x0/3ae5a5f5-7f53-5550-816f-2149fd70e3b2"",""resourceURI"":""/repositories/11/resources/2846"",""resourceID"":""isad:lh:43686"",""capacity"":""1971"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/9f226534-6dd3-55bc-93f6-9fa1be016593
12059ee1-bb9a-576a-a44e-a92ad9793f27,tg:lhdc:4706_#1,e22_Archives,1,isad:lh:182250,"dlod={""name"":""Jaren 1960"",""ark"":""ark:/24970/x0/e7ba9dd0-dad8-5e84-9ed0-a1cca1463db7"",""uri"":""/repositories/11/archival_objects/219552"",""id"":""isad:lh:182250"",""nameWithContext"":[""Radio"",""Radioprogramma's"",""Het uur voor de vrouw""],""resourceName"":""Archief van Belgische Radio en Televisie"",""resourceArk"":""ark:/24970/x0/3ae5a5f5-7f53-5550-816f-2149fd70e3b2"",""resourceURI"":""/repositories/11/resources/2846"",""resourceID"":""isad:lh:43686"",""capacity"":""Jaren 1960"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/e7ba9dd0-dad8-5e84-9ed0-a1cca1463db7
fbc307f1-24a7-524b-93f0-eb6a45b0cda7,tg:lhdc:1120_#1,e22_Archives,1,isad:lh:174440,"dlod={""name"":""1949"",""ark"":""ark:/24970/x0/d2a36146-9bd7-5d57-8ad3-61d704041b52"",""uri"":""/repositories/11/archival_objects/219420"",""id"":""isad:lh:174440"",""nameWithContext"":[""Radio"",""Luisterspelen"",""Jaren 1940""],""resourceName"":""Archief van Belgische Radio en Televisie"",""resourceArk"":""ark:/24970/x0/3ae5a5f5-7f53-5550-816f-2149fd70e3b2"",""resourceURI"":""/repositories/11/resources/2846"",""resourceID"":""isad:lh:43686"",""capacity"":""1949"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/d2a36146-9bd7-5d57-8ad3-61d704041b52
