ResourceID,order,db,record.id,brocade_place_name,Creation Place Note,au_id,au_uuid,au_place_name,Creation Place Note Type,Creation Place Note Language,Creation Place Widget
02dabf13-b4e9-548c-9d49-af862d749e3d,1,lhhs,tg:lhhs:12554,Antwerpen,,au::100141,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,Antwerpen (Arrondissement Antwerpen),,,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
042b4055-477b-5766-a647-caf820ff4f50,1,lhhs,tg:lhhs:12947,Wilsele,,au::100967,4dac0536-e589-571f-8e9f-e7fa6280fb11,Wilsele (Leuven),,,"dlod={""name"":""Wilsele (Leuven)"",""ark"":""ark:/83110/x0/4dac0536-e589-571f-8e9f-e7fa6280fb11"",""uri"":""/subjects/8970"",""id"":""au::100967"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
0c83a68b-1b6f-5617-8b03-28dde2d60d86,1,lhhs,tg:lhhs:10148,Antwerpen,,au::100141,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,Antwerpen (Arrondissement Antwerpen),,,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
0e22586f-b46e-501f-9eee-bb33c6fb9eca,1,lhhs,tg:lhhs:13634,New York,,au::106421,1610f937-6357-5afe-8c71-2ed19cd1c8d4,New York City (New York State),,,"dlod={""name"":""New York City (New York State)"",""ark"":""ark:/83110/x0/1610f937-6357-5afe-8c71-2ed19cd1c8d4"",""uri"":""/subjects/9640"",""id"":""au::106421"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
0fa7254d-fba5-54ef-87fa-da4eecbbc995,1,lhhs,tg:lhhs:10183,Antwerpen,,au::100141,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,Antwerpen (Arrondissement Antwerpen),,,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
120db3b1-f26a-53ca-8f36-465612cec8a7,1,lhhs,tg:lhhs:10868,Antwerpen,,au::100141,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,Antwerpen (Arrondissement Antwerpen),,,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
121d4243-975b-5df5-a888-47459b0e5c7b,1,lhhs,tg:lhhs:932,Elsene,,au::100108,8e29025b-1c0f-524d-a9ea-af4663e0d4ee,Elsene (Brussel-Hoofdstad),,,"dlod={""name"":""Elsene (Brussel-Hoofdstad)"",""ark"":""ark:/83110/x0/8e29025b-1c0f-524d-a9ea-af4663e0d4ee"",""uri"":""/subjects/14471"",""id"":""au::100108"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
12702c4d-96d1-5230-9cf6-69e33117c0c5,1,lhhs,tg:lhhs:10617,Antwerpen,,au::100141,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,Antwerpen (Arrondissement Antwerpen),,,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
1448935d-06a9-574f-b0cb-c6c91f670bf8,1,lhhs,tg:lhhs:922,"Taos, New Mexico","Taos, New Mexico",,,,remarks,Nederlands,
16eca426-4292-5223-b195-c79965a04561,1,lhhs,tg:lhhs:20555,,,au::104810,636962b7-6ad0-5b44-83b4-9eb0958ecb76,Amsterdam (Noord-Holland),,,"dlod={""name"":""Amsterdam (Noord-Holland)"",""ark"":""ark:/83110/x0/636962b7-6ad0-5b44-83b4-9eb0958ecb76"",""uri"":""/subjects/13849"",""id"":""au::104810"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
