ResourceID,brocade.id,card,order,adm.isadPartOf,Serial Number,adm.acquiredVia,adm.note,Registration Number value,Location Number,Warehouse Location (begin),Warehouse Location (ende)
c5db2aef-7be7-5a21-9146-0c4b9cde508c,tg:lhdc:3721,Items,1,isad:lh:179321,R 134 / 3103,,,,,,
294454d0-be4b-54ae-92e9-6da58a5fdd5f,tg:lhdc:2833,Items,1,isad:lh:179103,R 134 / 2223,,,,,,
a043845f-7554-5ff0-9205-b645bb32caed,tg:lhdc:729,Items,1,isad:lh:174445,R 134 / 259,,,,,,
17f2318d-1e2a-5593-8b6f-17e0cdf17fd3,tg:lhdc:3371,Items,1,isad:lh:179114,R 134 / 2757,,,,,,
f90aee64-fa2e-5c5e-beca-16af546e9bdf,tg:lhdc:683,Items,1,isad:lh:174445,R 134 / 214,,,,,,
fc51f64c-6faa-5946-b18e-64976edf9643,tg:lhdc:2999,Items,1,isad:lh:179106,R 134 / 2388,,,,,,
adac8886-4115-53ba-a5e9-e97f1cbeecb6,tg:lhdc:2130,Items,1,isad:lh:174020,R 134 / 1546,,,,,,
8e73840d-ac58-587b-b2db-ae1081b28992,tg:lhdc:2560,Items,1,isad:lh:178530,R 134 / 1957,,,,,,
b6e13194-eff2-58b9-a59e-60cfe66a3091,tg:lhdc:2075,Items,1,isad:lh:178687,R 134 / 1492,,,,,,
181ceed4-eaff-5bd2-b8e4-36ec55a0c248,tg:lhdc:2425,Items,1,isad:lh:178530,R 134 / 1822,,,,,,
1c32b364-f7f8-5d9c-924e-ed3e8a2ec4c9,tg:lhdc:3664,Items,1,isad:lh:179320,R 134 / 3046,,,,,,
b0927ea5-92c6-5720-af4d-1332e48ba275,tg:lhdc:1659,Items,1,isad:lh:174447,R 134 / 1086,,,,,,
06bdc7b2-8cfb-5a0e-8e63-bc517d7574b9,tg:lhdc:2976,Items,1,isad:lh:179106,R 134 / 2365,,,,,,
b7413771-a7fa-596e-a06c-03d3ae9a0146,tg:lhdc:396,Items,1,isad:lh:130216,D 9653 / 47,tr:lh:126473,,,,,
93ffcee9-3198-5991-8a1f-f4bd6de1aca1,tg:lhdc:3234,Items,1,isad:lh:179111,R 134 / 2620,,,,,,
fe4bd5d8-bcac-5756-b7f4-5c0b5cc0308a,tg:lhdc:1209,Items,1,isad:lh:174437,R 134 / 671,,,,,,
54b55676-f60f-5f9d-abfd-fc6ab28fa0dd,tg:lhdc:1823,Items,1,isad:lh:174021,R 134 / 1242,,,,,,
a0bfd496-bdb9-5974-ba6e-4efdac4a96c7,tg:lhdc:1989,Items,1,isad:lh:174022,R 134 / 1407,,,,,,
1f6e8fbd-93f1-5fd9-9d8e-029293aa8c69,tg:lhdc:4322,Items,1,isad:lh:179641,R 134 / 3699,,,,,,
194273e5-dce2-55d6-9225-a1a39c7683c4,tg:lhdc:1120,Items,1,isad:lh:174440,R 134 / 592,,,,,,
4968b442-83f7-5ac9-8739-78a9594fbb21,tg:lhdc:545,Items,1,isad:lh:174019,R 134 / 90,,,,,,
e82a4066-c13b-5c1e-a89a-f242d880158f,tg:lhdc:1570,Items,1,isad:lh:174448,R 134 / 1007,,,,,,
69b18b18-bbe4-5c3f-8fce-82f5a18111df,tg:lhdc:4288,Items,1,isad:lh:179639,R 134 / 3665,,,,,,
9260ac3a-493b-5c96-8e8b-2c088046afcd,tg:lhdc:3058,Items,1,isad:lh:179108,R 134 / 2447,,,,,,
918e407c-5088-545f-9600-7455a2ad5ade,tg:lhdc:4267,Items,1,isad:lh:179643,R 134 / 3645,,,,,,
a4f839b8-c912-557b-91e8-49e0629b7ca8,tg:lhdc:1435,Items,1,isad:lh:174450,R 134 / 881,,,,,,
c73efc8c-499e-5620-9f16-d42150dabc4f,tg:lhdc:3408,Items,1,isad:lh:179115,R 134 / 2793,,,,,,
14f597ea-cc38-5294-ac90-c97e8f7570c6,tg:lhdc:4637,Items,1,isad:lh:181951,R134 / 4006,,,,,,
059e46d3-66dc-5b3b-895f-1f4f6b77c3e0,tg:lhdc:400,Items,1,isad:lh:130216,D 9653 / 47,tr:lh:126473,,,,,
1c069000-f37d-58f1-9832-62d2d4955dc6,tg:lhdc:1966,Items,1,isad:lh:178528,R 134 / 1384,,,,,,
