brocade.id,Legacy Information Code,Legacy Information Value,dataset,card,Legacy Information Type,ResourceID
tg:lhdc:10,d:lh:198353,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_06_documenten/V_/V8572_Vos_Van_Kleef_D_de/tg_lhdc_10.tif,lhdc,e73_LegacyImages,image high resolution,099aebb4-7726-54fb-8b07-7d681b6d6656
tg:lhdc:101,d:lh:234946,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_06_documenten/J_/J416_Jonckheere_Karel/tg_lhdc_101.tif,lhdc,e73_LegacyImages,image high resolution,db74dc3c-08e1-583d-bd7c-9e1cb69b0deb
tg:lhdc:103,d:lh:235488,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_06_documenten/B_/B728_Boomgaard_de/tg_lhdc_103.tif,lhdc,e73_LegacyImages,image high resolution,0a89a144-65f4-5f84-939b-d848fe8b5779
tg:lhdc:104,d:lh:235486,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_06_documenten/B_/B728_Boomgaard_de/tg_lhdc_104.tif,lhdc,e73_LegacyImages,image high resolution,4b6936d3-5783-5010-a7e9-a370a47eb956
tg:lhdc:105,d:lh:235487,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_06_documenten/B_/B728_Boomgaard_de/tg_lhdc_105.tif,lhdc,e73_LegacyImages,image high resolution,ee6d1f67-14bd-5d7c-8037-4f4070fe2134
tg:lhdc:106,d:lh:235785,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_06_documenten/S_/S59_Seuphor_Michel/tg_lhdc_106,lhdc,e73_LegacyImages,image high resolution,75509a8a-dbc8-5b16-8148-c732ec84383f
tg:lhdc:109,d:lh:238634,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_06_documenten/V_/VV526_Villerius_Jan_C/tg_lhdc_109.tif,lhdc,e73_LegacyImages,image high resolution,dbcbb34b-4967-50b6-adf5-4c66918cf160
tg:lhdc:11,d:lh:198352,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_06_documenten/V_/V8572_Vos_Van_Kleef_D_de/tg_lhdc_11.tif,lhdc,e73_LegacyImages,image high resolution,6dc4c4e7-3f67-5941-ab18-c81474a2535f
tg:lhdc:110,d:lh:239049,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_06_documenten/C_/C195_Cauwelaert_August_van/tg_lhdc_110.tif,lhdc,e73_LegacyImages,image high resolution,5554b98a-95db-5de8-ac85-3e96c43392e3
tg:lhdc:112,d:lh:241129,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_06_documenten/S_/S4685_Schouwburg_koninklijke_Nederlandse/tg_lhdc_112_05.tif,lhdc,e73_LegacyImages,image high resolution,f4789b85-2a84-563b-ae7f-bb693ec56099
