ResourceID,brocade.id,card,order,source_code,ire.isaar.uuid,ire.isaar.id,Connected Subject Role,Connected Subject Widget,Connected Subject Identifier
79c11f91-a6c1-5532-93ef-2c527ca232cf,tg:lhdc:449,e73_ConnectedSubjects,2,ow,c987d600-4bab-5bec-b1cd-e1bd6a2b39d5,au::21016,subjects (content of works),"dlod={""name"":""Gerard Walschap"",""ark"":""ark:/83110/x0/c987d600-4bab-5bec-b1cd-e1bd6a2b39d5"",""uri"":""/agents/people/53528"",""id"":""au::21016"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c987d600-4bab-5bec-b1cd-e1bd6a2b39d5
c7862c12-4c4e-594e-8943-7e24bfac3f29,tg:lhdc:404,e73_ConnectedSubjects,1,ow,74430b3a-282d-5013-b777-363c2b882eaa,au::6111,subjects (content of works),"dlod={""name"":""Prudens van Duyse"",""ark"":""ark:/83110/x0/74430b3a-282d-5013-b777-363c2b882eaa"",""uri"":""/agents/people/70425"",""id"":""au::6111"",""nameWithContext"":[""Prudens Simplicitas""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/74430b3a-282d-5013-b777-363c2b882eaa
c9958f90-37be-52b7-992c-93eb3e1ef1f7,tg:lhdc:432,e73_ConnectedSubjects,2,ow,74430b3a-282d-5013-b777-363c2b882eaa,au::6111,subjects (content of works),"dlod={""name"":""Prudens van Duyse"",""ark"":""ark:/83110/x0/74430b3a-282d-5013-b777-363c2b882eaa"",""uri"":""/agents/people/70425"",""id"":""au::6111"",""nameWithContext"":[""Prudens Simplicitas""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/74430b3a-282d-5013-b777-363c2b882eaa
79a396c6-3c17-5a09-9744-69f8e964a16b,tg:lhdc:754,e73_ConnectedSubjects,1,ow,56c4f5b5-a245-5b8b-9f2d-8fda56444c9f,au::16015,subjects (content of works),"dlod={""name"":""Max Rooses"",""ark"":""ark:/83110/x0/56c4f5b5-a245-5b8b-9f2d-8fda56444c9f"",""uri"":""/agents/people/60147"",""id"":""au::16015"",""nameWithContext"":[""P. Comestor""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/56c4f5b5-a245-5b8b-9f2d-8fda56444c9f
a61efc13-8120-5db3-8063-5d86884d2f34,tg:lhdc:2253,e73_ConnectedSubjects,1,ow,2a63f3f2-ca2a-5958-b3b0-ee480a61ae1e,au::9845,subjects (content of works),"dlod={""name"":""Jacob Jordaens"",""ark"":""ark:/83110/x0/2a63f3f2-ca2a-5958-b3b0-ee480a61ae1e"",""uri"":""/agents/people/67275"",""id"":""au::9845"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/2a63f3f2-ca2a-5958-b3b0-ee480a61ae1e
fca52239-8524-5aa0-86a6-eef201bd6d34,tg:lhdc:173,e73_ConnectedSubjects,1,ow,e8db4670-cad9-59d6-a330-5a5e4c88b746,au::6306,subjects (content of works),"dlod={""name"":""Willem Elsschot"",""ark"":""ark:/83110/x0/e8db4670-cad9-59d6-a330-5a5e4c88b746"",""uri"":""/agents/people/54867"",""id"":""au::6306"",""nameWithContext"":[""Alfons de Ridder""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/e8db4670-cad9-59d6-a330-5a5e4c88b746
fca52239-8524-5aa0-86a6-eef201bd6d34,tg:lhdc:173,e73_ConnectedSubjects,2,ow,74bed9d0-2f80-5e96-b769-53b1a649f169,au::13704,subjects (content of works),"dlod={""name"":""Nieuw Vlaams Tijdschrift"",""ark"":""ark:/83110/x0/74bed9d0-2f80-5e96-b769-53b1a649f169"",""uri"":""/agents/corporate_entities/24110"",""id"":""au::13704"",""nameWithContext"":[""NVT""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/74bed9d0-2f80-5e96-b769-53b1a649f169
b840da1c-9d8f-5378-8a2f-64f895968b83,tg:lhdc:205,e73_ConnectedSubjects,1,ow,247e719e-494a-57ff-9807-6ae2f352503b,au::17799,subjects (content of works),"dlod={""name"":""Stijn Streuvels"",""ark"":""ark:/83110/x0/247e719e-494a-57ff-9807-6ae2f352503b"",""uri"":""/agents/people/50222"",""id"":""au::17799"",""nameWithContext"":[""Frank Lateur""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/247e719e-494a-57ff-9807-6ae2f352503b
e3b64bd4-fafd-5138-85d0-d4e3b956a87e,tg:lhdc:399,e73_ConnectedSubjects,1,ow,74430b3a-282d-5013-b777-363c2b882eaa,au::6111,subjects (content of works),"dlod={""name"":""Prudens van Duyse"",""ark"":""ark:/83110/x0/74430b3a-282d-5013-b777-363c2b882eaa"",""uri"":""/agents/people/70425"",""id"":""au::6111"",""nameWithContext"":[""Prudens Simplicitas""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/74430b3a-282d-5013-b777-363c2b882eaa
1334cd38-8ba5-5af4-904d-f7569f3bbcbe,tg:lhdc:187,e73_ConnectedSubjects,1,ow,fb298bc8-c20f-57ae-bc1f-7b17be1bec72,au::198,subjects (content of works),"dlod={""name"":""Piet van Aken"",""ark"":""ark:/83110/x0/fb298bc8-c20f-57ae-bc1f-7b17be1bec72"",""uri"":""/agents/people/66595"",""id"":""au::198"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/fb298bc8-c20f-57ae-bc1f-7b17be1bec72
