ResourceID,brocade.id,card,order,volgnummer,title,note
a37798ab-ae19-5b8f-abaa-d5712e1ecac2,tg:lhdc:4716_#1,e22_OtherIdentifiers,1,R134 / 4076,,
a37798ab-ae19-5b8f-abaa-d5712e1ecac2,tg:lhdc:4716_#1,e22_OtherIdentifiers,1,,Grote schoonmaak,
d6fb8440-2ebe-5aca-9f13-61a09a79e3eb,tg:lhdc:1130_#1,e22_OtherIdentifiers,1,R 134 / 602,,
d6fb8440-2ebe-5aca-9f13-61a09a79e3eb,tg:lhdc:1130_#1,e22_OtherIdentifiers,1,,Centrale hier,
043d8594-433e-5706-832e-051566019633,tg:lhdc:3750_#1,e22_OtherIdentifiers,1,R 134 / 3132,,
043d8594-433e-5706-832e-051566019633,tg:lhdc:3750_#1,e22_OtherIdentifiers,1,,De zevensprong (8),
78bebb2d-727e-551c-8d21-499ad27a2f6a,tg:lhdc:598_#1,e22_OtherIdentifiers,1,R 134 / 141,,
78bebb2d-727e-551c-8d21-499ad27a2f6a,tg:lhdc:598_#1,e22_OtherIdentifiers,1,,Het Klokkespel,
28544482-542b-5504-a0f5-1b7385b8c5cf,tg:lhdc:1048_#1,e22_OtherIdentifiers,1,R 134 / 526,,
28544482-542b-5504-a0f5-1b7385b8c5cf,tg:lhdc:1048_#1,e22_OtherIdentifiers,1,,Barabbas,
0f3b1a2a-0e88-58dd-895d-5bc5857a5e48,tg:lhdc:3628_#1,e22_OtherIdentifiers,1,R 134 / 3010,,
0f3b1a2a-0e88-58dd-895d-5bc5857a5e48,tg:lhdc:3628_#1,e22_OtherIdentifiers,1,,Het gestolen geldkistje,
dd45d804-4e3f-5eb1-905a-09566d67e9e8,tg:lhdc:2322_#1,e22_OtherIdentifiers,1,R 134 / 1719,,
dd45d804-4e3f-5eb1-905a-09566d67e9e8,tg:lhdc:2322_#1,e22_OtherIdentifiers,1,,De grote spiegel,
771a836f-6712-533d-892b-d62b2192024b,tg:lhdc:3740_#1,e22_OtherIdentifiers,1,R 134 / 3122,,
771a836f-6712-533d-892b-d62b2192024b,tg:lhdc:3740_#1,e22_OtherIdentifiers,1,,De zevensprong (5),
12059ee1-bb9a-576a-a44e-a92ad9793f27,tg:lhdc:4706_#1,e22_OtherIdentifiers,1,R134 / 4066,,
12059ee1-bb9a-576a-a44e-a92ad9793f27,tg:lhdc:4706_#1,e22_OtherIdentifiers,1,,Congo... in de eerste dagen,
fbc307f1-24a7-524b-93f0-eb6a45b0cda7,tg:lhdc:1120_#1,e22_OtherIdentifiers,1,R 134 / 592,,
fbc307f1-24a7-524b-93f0-eb6a45b0cda7,tg:lhdc:1120_#1,e22_OtherIdentifiers,1,,De droom van Marius Mergpijp,
22aa8107-13d0-5595-a57a-b5edf5744a23,tg:lhdc:3638_#1,e22_OtherIdentifiers,1,R 134 / 3020,,
22aa8107-13d0-5595-a57a-b5edf5744a23,tg:lhdc:3638_#1,e22_OtherIdentifiers,1,,Thee voor kiezer Ting,
9d525e3a-769d-51b3-825d-7b620210bb1d,tg:lhdc:21_#1,e22_OtherIdentifiers,1,,"The Empire Theatre, London, programme",
676a11c7-a1f7-54c4-959e-8e5e35e3e667,tg:lhdc:2332_#1,e22_OtherIdentifiers,1,R 134 / 1729,,
676a11c7-a1f7-54c4-959e-8e5e35e3e667,tg:lhdc:2332_#1,e22_OtherIdentifiers,1,,Een afspraak voor bezichtiging,
ec5d078f-f97f-53c1-a755-cd366e32a31b,tg:lhdc:588_#1,e22_OtherIdentifiers,1,R 134 / 130,,
ec5d078f-f97f-53c1-a755-cd366e32a31b,tg:lhdc:588_#1,e22_OtherIdentifiers,1,,De blinde hertog,
ece62445-857f-5e37-ad7a-5794586cea53,tg:lhdc:1058_#1,e22_OtherIdentifiers,1,R 134 / 536,,
ece62445-857f-5e37-ad7a-5794586cea53,tg:lhdc:1058_#1,e22_OtherIdentifiers,1,,Peer Gynt,
a2571af2-f166-5499-8f1c-c3a12d729a35,tg:lhdc:4143_#1,e22_OtherIdentifiers,1,R 134 / 3521,,
a2571af2-f166-5499-8f1c-c3a12d729a35,tg:lhdc:4143_#1,e22_OtherIdentifiers,1,,De politie,
20a1c9a1-d9ff-5b7f-8fef-2f96d7417eb0,tg:lhdc:1765_#1,e22_OtherIdentifiers,1,R 134 / 1186,,
20a1c9a1-d9ff-5b7f-8fef-2f96d7417eb0,tg:lhdc:1765_#1,e22_OtherIdentifiers,1,,De rechter en de goeverneur,
f5038c55-7b85-5c68-a116-c272b77f1e1b,tg:lhdc:3105_#1,e22_OtherIdentifiers,1,R 134 / 2494,,
f5038c55-7b85-5c68-a116-c272b77f1e1b,tg:lhdc:3105_#1,e22_OtherIdentifiers,1,,Wereldvrede,
fb13f705-6a59-5d4a-af4f-316685a65493,tg:lhdc:2577_#1,e22_OtherIdentifiers,1,R 134 / 1974,,
fb13f705-6a59-5d4a-af4f-316685a65493,tg:lhdc:2577_#1,e22_OtherIdentifiers,1,,De engelbewaarder,
410daec2-a62d-5661-9a3a-9a1b4ce62ef5,tg:lhdc:3115_#1,e22_OtherIdentifiers,1,R 134 / 2504,,
410daec2-a62d-5661-9a3a-9a1b4ce62ef5,tg:lhdc:3115_#1,e22_OtherIdentifiers,1,,"Nuttige en schadelijke dieren in onze streken ""De leeuwerik""",
027cddaf-168e-5fba-a2d2-75a4b12e5f90,tg:lhdc:4153_#1,e22_OtherIdentifiers,1,R 134 / 3531,,
027cddaf-168e-5fba-a2d2-75a4b12e5f90,tg:lhdc:4153_#1,e22_OtherIdentifiers,1,,Het eerste mirakel van het kindeke Jezus,
c9e3a410-ab1e-51c3-9a0e-45b9ffc48f32,tg:lhdc:1775_#1,e22_OtherIdentifiers,1,R 134 / 1196,,
c9e3a410-ab1e-51c3-9a0e-45b9ffc48f32,tg:lhdc:1775_#1,e22_OtherIdentifiers,1,,Zelfverraad,
da1d7905-8b02-5252-88cf-89cc9c838e23,tg:lhdc:2567_#1,e22_OtherIdentifiers,1,R 134 / 1964,,
da1d7905-8b02-5252-88cf-89cc9c838e23,tg:lhdc:2567_#1,e22_OtherIdentifiers,1,,Reinaart de vos,
1cf2ac1f-7990-5a13-a29d-35f2fa24111b,tg:lhdc:2769_#1,e22_OtherIdentifiers,1,R 134 / 2159,,
1cf2ac1f-7990-5a13-a29d-35f2fa24111b,tg:lhdc:2769_#1,e22_OtherIdentifiers,1,,Dubbelpul (2de deel),
841184cb-04c1-5c01-95d9-ba8a24d371e7,tg:lhdc:3263_#1,e22_OtherIdentifiers,1,R 134 / 2649,,
841184cb-04c1-5c01-95d9-ba8a24d371e7,tg:lhdc:3263_#1,e22_OtherIdentifiers,1,,De geschiedenis van kalief Ooievaar,
576c9b04-7130-5482-9826-d751a583c97f,tg:lhdc:1403_#1,e22_OtherIdentifiers,1,R 134 / 851,,
576c9b04-7130-5482-9826-d751a583c97f,tg:lhdc:1403_#1,e22_OtherIdentifiers,1,,De kaartlegster wist het wel,
f4fdd0dd-0f5c-52ee-9f52-bac08cd307bb,tg:lhdc:4225_#1,e22_OtherIdentifiers,1,R 134 / 3603,,
f4fdd0dd-0f5c-52ee-9f52-bac08cd307bb,tg:lhdc:4225_#1,e22_OtherIdentifiers,1,,Het hemelbed,
0901a9b5-ed14-5f1a-bca8-31e9dffb80f5,tg:lhdc:2611_#1,e22_OtherIdentifiers,1,R 134 / 2008,,
0901a9b5-ed14-5f1a-bca8-31e9dffb80f5,tg:lhdc:2611_#1,e22_OtherIdentifiers,1,,Mister international,
9d00cfee-8e01-5ef5-8792-072bdf3491cd,tg:lhdc:932_#1,e22_OtherIdentifiers,1,R 134 / 440,,
9d00cfee-8e01-5ef5-8792-072bdf3491cd,tg:lhdc:932_#1,e22_OtherIdentifiers,1,,Gevangenis oproer,
3103e92c-2fdd-538f-b973-fdd009bc2fce,tg:lhdc:1413_#1,e22_OtherIdentifiers,1,R 134 / 861,,
3103e92c-2fdd-538f-b973-fdd009bc2fce,tg:lhdc:1413_#1,e22_OtherIdentifiers,1,,Het spook van den witten buffel,
fced93b4-f3f4-5440-9dc4-49449a530804,tg:lhdc:4235_#1,e22_OtherIdentifiers,1,R 134 / 3613,,
fced93b4-f3f4-5440-9dc4-49449a530804,tg:lhdc:4235_#1,e22_OtherIdentifiers,1,,Het manneke uit de maan,
8d0b7523-4b7a-50e9-8e45-880be11b9672,tg:lhdc:2779_#1,e22_OtherIdentifiers,1,R 134 / 2169,,
8d0b7523-4b7a-50e9-8e45-880be11b9672,tg:lhdc:2779_#1,e22_OtherIdentifiers,1,,"Jonas, Kombuis en Katrijne",
d856261f-4d19-59cb-938a-ea663583f0a3,tg:lhdc:3273_#1,e22_OtherIdentifiers,1,R 134 / 2659,,
d856261f-4d19-59cb-938a-ea663583f0a3,tg:lhdc:3273_#1,e22_OtherIdentifiers,1,,Het meisje en de beer,
6998acc1-b6f8-5194-886e-6ad894c3097e,tg:lhdc:922_#1,e22_OtherIdentifiers,1,R 134 / 433,,
6998acc1-b6f8-5194-886e-6ad894c3097e,tg:lhdc:922_#1,e22_OtherIdentifiers,1,,Bezuinen om Jeri Cho,
a0dc1245-7339-5f14-b4ef-e3012e58696f,tg:lhdc:2601_#1,e22_OtherIdentifiers,1,R 134 / 1998,,
a0dc1245-7339-5f14-b4ef-e3012e58696f,tg:lhdc:2601_#1,e22_OtherIdentifiers,1,,De wereld gaat aan vlijt ten onder,
37a88861-af9b-5498-a092-862afb43030a,tg:lhdc:3436_#1,e22_OtherIdentifiers,1,R 134 / 2821,,
