ResourceID,brocade.id,card,source_date,Copyright Revision Date,Copyright Type,source_field
3940bb1e-1aae-5980-9f22-c99a567978c7,tg:lhdc:4716,e73_Copyrights,1962.0,2077,In Copyright,nan
6cfc0a58-4c53-5b57-b87b-3bde57eb7a1a,tg:lhdc:1130,e73_Copyrights,1933.0,2048,In Copyright,nan
b81f6b31-739c-5c6d-a95e-abfa115230e0,tg:lhdc:3750,e73_Copyrights,1971.0,2086,In Copyright,nan
b4d8db6c-86c3-56c1-a9fc-f7d810c2a30d,tg:lhdc:598,e73_Copyrights,1964.0,2079,In Copyright,nan
4d635ee4-ca2e-53a7-ad13-307584d9f4ad,tg:lhdc:1048,e73_Copyrights,1950.0,2065,In Copyright,nan
b5bd19e9-171f-55b7-9c70-925b75122b2a,tg:lhdc:3628,e73_Copyrights,1968.0,2083,In Copyright,nan
ce2a7ca6-06d7-50ba-aaa5-e34afb9d5a3d,tg:lhdc:2322,e73_Copyrights,1967.0,2082,In Copyright,nan
d5574d19-67a2-5c36-82a1-8dadec6ec51d,tg:lhdc:3740,e73_Copyrights,1971.0,2086,In Copyright,nan
cf0eddf7-eaa6-5daf-aeda-3769be6ece91,tg:lhdc:4706,e73_Copyrights,1960.0,2075,In Copyright,nan
194273e5-dce2-55d6-9225-a1a39c7683c4,tg:lhdc:1120,e73_Copyrights,1949.0,2064,In Copyright,nan
98622946-cddd-5bd3-8341-51d8a776250e,tg:lhdc:3638,e73_Copyrights,1968.0,2083,In Copyright,nan
66eb60de-24a9-5936-ac97-848778181837,tg:lhdc:21,e73_Copyrights,1897.0,2012,No Known Copyright,nan
1ddabb87-17a8-53a2-95a2-2b9f9d71cb46,tg:lhdc:2332,e73_Copyrights,1976.0,2091,In Copyright,nan
b8067fd6-0786-57b9-9ff4-f5a24613e51d,tg:lhdc:588,e73_Copyrights,1964.0,2079,In Copyright,nan
bd6a1b55-7100-57e5-a6dc-c6739ccb17d7,tg:lhdc:1058,e73_Copyrights,1946.0,2061,In Copyright,nan
0dd9d55a-58d9-5284-9589-181275a47bfb,tg:lhdc:4143,e73_Copyrights,1970.0,2085,In Copyright,nan
b3f1aa51-bfb8-5b29-b12d-e36f53caac70,tg:lhdc:1765,e73_Copyrights,1957.0,2072,In Copyright,nan
a6903790-90b0-57b5-9614-cc6a70cb1e8d,tg:lhdc:3105,e73_Copyrights,1955.0,2070,In Copyright,nan
ff260faa-2f22-5236-ae90-0bcb79f0f734,tg:lhdc:2577,e73_Copyrights,1990.0,2105,In Copyright,nan
1a37b0c2-62af-5780-b8fa-03cf6757280a,tg:lhdc:3115,e73_Copyrights,1955.0,2070,In Copyright,nan
116a9323-4b2e-5f82-890a-e19a706e2873,tg:lhdc:4153,e73_Copyrights,1987.0,2102,In Copyright,nan
61cdb180-a043-540c-bc2f-15b0fbab971c,tg:lhdc:1775,e73_Copyrights,1965.0,2080,In Copyright,nan
6b8da027-6039-5b33-b16d-8f1ec48a91e1,tg:lhdc:2769,e73_Copyrights,1948.0,2063,In Copyright,nan
308a4123-ad05-5ab6-93fe-1353f2e949eb,tg:lhdc:3263,e73_Copyrights,1958.0,2073,In Copyright,nan
6fc00da6-ff0b-5de0-b8e5-f0e55f3952a0,tg:lhdc:1403,e73_Copyrights,1946.0,2061,In Copyright,nan
8ffa37a1-b07a-5b70-9c86-5a62b4314ad8,tg:lhdc:4225,e73_Copyrights,1976.0,2091,In Copyright,nan
8fbf4477-6e10-50eb-a878-d2b953db5be8,tg:lhdc:2611,e73_Copyrights,1980.0,2095,In Copyright,nan
e6dd5cb5-60f7-5d2b-82e3-5792a3979a55,tg:lhdc:932,e73_Copyrights,1952.0,2067,In Copyright,nan
3862e44f-0468-5b54-a827-984799bf8307,tg:lhdc:1413,e73_Copyrights,1946.0,2061,In Copyright,nan
db1f3eb1-5c7a-5d76-bdc6-8e2a6c53b57e,tg:lhdc:4235,e73_Copyrights,1967.0,2082,In Copyright,nan
