ResourceID,brocade.id,card,order,source_field,source_code,Document status
fe44ef5d-bfbe-5819-9098-a059e6f1566d,tg:lhhs:14757_#1,e22_DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
22d797ec-960a-599f-97f1-3681de8dab28,tg:lhhs:13711_#1,e22_DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
7e11ff13-4289-5212-8e25-ad3fe32614d9,tg:lhhs:6176_#1,e22_DocumentStatus,1,kenmerken.lhorighs,tc,transcriptions (documents)
096356f6-3487-5ccc-bf6e-86d92f389295,tg:lhhs:5364_#1,e22_DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
6a507a23-c85d-50ed-9619-d0daeb86bf23,tg:lhhs:13669_#1,e22_DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
776ef412-031b-5595-8eac-d42f40a5956f,tg:lhhs:3628_#1,e22_DocumentStatus,1,kenmerken.lhorighs,fc,photocopies
7512194d-0438-5808-b93a-5df0af6d3d9c,tg:lhhs:4706_#1,e22_DocumentStatus,1,kenmerken.lhorighs,fc,photocopies
609e610e-e738-5c3d-a966-0f12c2f4b30d,tg:lhhs:17555_#1,e22_DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
2ea73e06-9624-5f7f-9cbc-6a284e028f6a,tg:lhhs:13679_#1,e22_DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
f80220c2-d793-5eb9-80cc-ba2770833d42,tg:lhhs:12373_#1,e22_DocumentStatus,1,kenmerken.lhorighs,fc,photocopies
37ab00ee-684f-5971-a05b-4e0ffbc50f6e,tg:lhhs:15408_#1,e22_DocumentStatus,1,kenmerken.lhorighs,fc,photocopies
5c1830c1-3871-5c5f-9b15-35b95999b631,tg:lhhs:6723_#1,e22_DocumentStatus,1,kenmerken.lhorighs,fc,photocopies
ad90968a-19c0-545a-baf8-64f880902e8e,tg:lhhs:15418_#1,e22_DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
58d7dc5a-3e32-5bdd-8468-f2918571d654,tg:lhhs:12526_#1,e22_DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
5a451ad3-a5ea-52dc-a862-fc9a98422fc2,tg:lhhs:10346_#1,e22_DocumentStatus,1,kenmerken.lhorighs,fc,photocopies
758d1429-de9b-56d2-a9ea-5221110fd5c0,tg:lhhs:16404_#1,e22_DocumentStatus,1,kenmerken.lhorighs,op,printouts
69e5f5cb-74b2-5a61-9910-fb01d463553b,tg:lhhs:2769_#1,e22_DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
9f2543b5-ca22-5ac6-a506-f8d8c48c6cd1,tg:lhhs:12728_#1,e22_DocumentStatus,1,kenmerken.lhorighs,fc,photocopies
