ResourceID,card,Object Number,Start Date,End Date
823b6c49-a58d-5d8e-b685-19a987776792,e73_CreationTimeSpans,MMB.A.2501_#1,1850-uu-uu,1858-uu-uu
798f392f-e22e-57b2-8a76-e4e4d40cb162,e73_CreationTimeSpans,MMB.A.2502_#1,1850-uu-uu,1858-uu-uu
b5790776-fd64-546d-9478-daf1741b4264,e73_CreationTimeSpans,MMB.A.2503_#1,1850-uu-uu,1858-uu-uu
d5f5fe12-2d41-5319-b61a-b9703d6061da,e73_CreationTimeSpans,MMB.A.2504_#1,1850-uu-uu,1858-uu-uu
f996dd26-5579-5ab9-acbd-3c16885f36f7,e73_CreationTimeSpans,MMB.A.2505_#1,1850-uu-uu,1858-uu-uu
b3224193-8e5b-579c-b3bc-cffd6b49bfdb,e73_CreationTimeSpans,MMB.A.2506_#1,1850-uu-uu,1858-uu-uu
03625fc9-2e56-5ec9-8053-506d8ed15f9a,e73_CreationTimeSpans,MMB.A.2507_#1,1850-uu-uu,1858-uu-uu
6ce345d6-69b6-543d-982e-9d548457cb61,e73_CreationTimeSpans,MMB.A.2508_#1,1850-uu-uu,1858-uu-uu
bccc870a-d3ec-576b-8c28-fd8f00109c40,e73_CreationTimeSpans,MMB.A.2509_#1,1850-uu-uu,1858-uu-uu
e6d3ac45-70fd-5bbe-afa4-067ba750dc9c,e73_CreationTimeSpans,MMB.A.2510_#1,1850-uu-uu,1858-uu-uu
2fa5edb3-f003-5e0e-b6ee-e8879896defc,e73_CreationTimeSpans,MMB.A.2511_#1,1850-uu-uu,1858-uu-uu
c0f16f97-7d44-517b-b610-34621f05947a,e73_CreationTimeSpans,MMB.A.2512_#1,1850-uu-uu,1858-uu-uu
2a61ed59-0b9a-5979-a767-8afccd260f05,e73_CreationTimeSpans,MMB.A.2513_#1,1850-uu-uu,1858-uu-uu
58673244-df65-5938-96f9-1253b93b8046,e73_CreationTimeSpans,MMB.A.2514_#1,1850-uu-uu,1858-uu-uu
f05c2c50-498b-51e4-bb4c-d00fbe9d0b34,e73_CreationTimeSpans,MMB.A.2515_#1,1850-uu-uu,1858-uu-uu
9d516150-14db-5319-9f26-a1e5d1e0334e,e73_CreationTimeSpans,MMB.A.2516_#1,1850-uu-uu,1858-uu-uu
7b788766-043e-54e2-b2f8-0af90809ad38,e73_CreationTimeSpans,MMB.A.2517_#1,1850-uu-uu,1858-uu-uu
71d46933-799c-551c-af92-a12215f51ab0,e73_CreationTimeSpans,MMB.A.2518_#1,1850-uu-uu,1858-uu-uu
