ResourceID,card,order,Object Identifier,Object Number,Other Identifier,Description,Title
56bae6e2-59b1-5775-8fcb-931044b4d3c8,AA,0,https://data.museummayervandenbergh.be/ark:/59511/56bae6e2-59b1-5775-8fcb-931044b4d3c8,tg:mmbtk:1,MMB.A.1618,,Kruis van de orde van Malta
d09b5e79-9464-5a3e-acbf-43a8e3dff970,AA,0,https://data.museummayervandenbergh.be/ark:/59511/d09b5e79-9464-5a3e-acbf-43a8e3dff970,tg:mmbtk:2,MMB.A.2501,Organographie - Racines (Planche I),Tekeningen van bloemen en planten
aa39b248-07e0-5ff3-b68a-bce898d9475e,AA,0,https://data.museummayervandenbergh.be/ark:/59511/aa39b248-07e0-5ff3-b68a-bce898d9475e,tg:mmbtk:3,MMB.A.2502,Organographie - Tiges (Planche II),Tekeningen van bloemen en planten
31974045-851a-52a1-934b-2abd151aa9f7,AA,0,https://data.museummayervandenbergh.be/ark:/59511/31974045-851a-52a1-934b-2abd151aa9f7,tg:mmbtk:4,MMB.A.2503,Organographie - Feuilles (Planche III),Tekeningen van bloemen en planten
76c0675a-64c4-5e73-a725-a520c17d8941,AA,0,https://data.museummayervandenbergh.be/ark:/59511/76c0675a-64c4-5e73-a725-a520c17d8941,tg:mmbtk:5,MMB.A.2504,Organographie - Fleurs (Planche IV),Tekeningen van bloemen en planten
64f22bc5-5102-5d31-a7dd-7257e09498d1,AA,0,https://data.museummayervandenbergh.be/ark:/59511/64f22bc5-5102-5d31-a7dd-7257e09498d1,tg:mmbtk:6,MMB.A.2505,Organographie - Fruits et Graines (Planche V),Tekeningen van bloemen en planten
1d2b7bbf-1b65-5d19-8cff-321195d587de,AA,0,https://data.museummayervandenbergh.be/ark:/59511/1d2b7bbf-1b65-5d19-8cff-321195d587de,tg:mmbtk:7,MMB.A.2506,Acotyledones - Amphigames et Gryptogames  (Planche VI),Tekeningen van bloemen en planten
b9f42507-3e99-5e3d-8e72-ac739a7d61ff,AA,0,https://data.museummayervandenbergh.be/ark:/59511/b9f42507-3e99-5e3d-8e72-ac739a7d61ff,tg:mmbtk:8,MMB.A.2507,Monocotyledones - Monohypogynie (Planche VII),Tekeningen van bloemen en planten
2498657f-a53d-5a72-b2fe-c8b6b918a6d1,AA,0,https://data.museummayervandenbergh.be/ark:/59511/2498657f-a53d-5a72-b2fe-c8b6b918a6d1,tg:mmbtk:9,MMB.A.2508,Monocotyledones - Monoperigynie (Planche VIII),Tekeningen van bloemen en planten
6bf3f579-da04-53db-8326-2c7f3823d0e3,AA,0,https://data.museummayervandenbergh.be/ark:/59511/6bf3f579-da04-53db-8326-2c7f3823d0e3,tg:mmbtk:10,MMB.A.2509,Monocotyledones - Monoepyginie (Planche IX),Tekeningen van bloemen en planten
a794ea41-d1b8-5afc-9c3a-6d4f93481aa9,AA,0,https://data.museummayervandenbergh.be/ark:/59511/a794ea41-d1b8-5afc-9c3a-6d4f93481aa9,tg:mmbtk:11,MMB.A.2510,"Dicodyledones - Apétales. Epistaminie, Peristaminie, Hypostaminie (Planche X)",Tekeningen van bloemen en planten
0c7ad28a-f03b-5752-ba46-17ec212ed0f8,AA,0,https://data.museummayervandenbergh.be/ark:/59511/0c7ad28a-f03b-5752-ba46-17ec212ed0f8,tg:mmbtk:12,MMB.A.2511,Dicodyledones - Monopétales. Hypocorollie (Planche XI),Tekeningen van bloemen en planten
c7ea80a7-8b45-578a-8d11-2a001103ea38,AA,0,https://data.museummayervandenbergh.be/ark:/59511/c7ea80a7-8b45-578a-8d11-2a001103ea38,tg:mmbtk:13,MMB.A.2512,"Dicodyledones - Monopétales. Hypocorollie, Hypostaminie (Planche XII)",Tekeningen van bloemen en planten
8385935b-a2e4-5df2-80e8-755ba80a4032,AA,0,https://data.museummayervandenbergh.be/ark:/59511/8385935b-a2e4-5df2-80e8-755ba80a4032,tg:mmbtk:14,MMB.A.2513,"Dicodyledones - Monopétales. Synantherie, Corisantherie (Planche XIII)",Tekeningen van bloemen en planten
dad02000-1591-5282-9693-240b3a52ca34,AA,0,https://data.museummayervandenbergh.be/ark:/59511/dad02000-1591-5282-9693-240b3a52ca34,tg:mmbtk:15,MMB.A.2514,"Dicodyledones - Polypétales. Epipétalie, Hypopétalie (Planche XIV)",Tekeningen van bloemen en planten
0e6625ef-48ba-56ad-9380-98181c7cbf25,AA,0,https://data.museummayervandenbergh.be/ark:/59511/0e6625ef-48ba-56ad-9380-98181c7cbf25,tg:mmbtk:16,MMB.A.2515,Dicodyledones - Polypétales. Hypopétalie (Planche XV),Tekeningen van bloemen en planten
36eba54e-750e-5a42-9b05-fc2c81a34c4e,AA,0,https://data.museummayervandenbergh.be/ark:/59511/36eba54e-750e-5a42-9b05-fc2c81a34c4e,tg:mmbtk:17,MMB.A.2516,Dicodyledones - Polypétales. Peripétalie (Planche XVI),Tekeningen van bloemen en planten
231cd7d5-7048-5452-b4ec-77986a0e1a9a,AA,0,https://data.museummayervandenbergh.be/ark:/59511/231cd7d5-7048-5452-b4ec-77986a0e1a9a,tg:mmbtk:18,MMB.A.2517,Dicodyledones - Polypétales. Peripétalie (Planche XVII),Tekeningen van bloemen en planten
a98ff5c9-79a5-543a-aa2a-2e68f7d83cc9,AA,0,https://data.museummayervandenbergh.be/ark:/59511/a98ff5c9-79a5-543a-aa2a-2e68f7d83cc9,tg:mmbtk:19,MMB.A.2518,Dicodyledones - Diclinie (Planche XVIII),Tekeningen van bloemen en planten
