ResourceID,brocade.id,card,source_date,Copyright Revision Date,Copyright Type,source_field
5a5bca89-08bd-5e2b-8c2f-e66d0df91fe9,tg:lhbr:14757,e73_Copyrights,1907.0,2022,No Known Copyright,nan
75adc835-fd41-53f9-a975-7f6489fa57a8,tg:lhbr:92109,e73_Copyrights,1977.0,2092,In Copyright,nan
c959ba4b-084b-5175-90a5-3859069065e6,tg:lhbr:80568,e73_Copyrights,1953.0,2068,In Copyright,nan
28c94b6c-86f1-56bf-84c8-33bc15e626b7,tg:lhbr:192912,e73_Copyrights,1964.0,2079,In Copyright,nan
202ca955-7f17-54ba-8dc1-19707b9feb12,tg:lhbr:253065,e73_Copyrights,1947.0,2062,In Copyright,nan
7c361ffe-a31c-5b1b-9690-fa01fbe96c1b,tg:lhbr:241404,e73_Copyrights,1957.0,2072,In Copyright,nan
dd3a8fcd-a947-560f-a1e2-9964e8e882fd,tg:lhbr:183780,e73_Copyrights,1949.0,2064,In Copyright,nan
1c4ec183-c35d-5db3-859b-8370e42a53e4,tg:lhbr:286931,e73_Copyrights,1962.0,2077,In Copyright,nan
8ba03926-6c13-51c0-aecf-0e154d60ad73,tg:lhbr:147046,e73_Copyrights,1920.0,2035,In Copyright,nan
6ce2ad5f-95e0-5b65-85a8-a46d5a1c5c74,tg:lhbr:155427,e73_Copyrights,1920.0,2035,In Copyright,nan
8d0d2a4e-33c3-545d-86f4-17bc5008a4b0,tg:lhbr:239732,e73_Copyrights,1960.0,2075,In Copyright,nan
45930501-e3bd-5f4d-a597-b16487e2dbc7,tg:lhbr:230814,e73_Copyrights,1941.0,2056,In Copyright,nan
862ad9f0-6032-5bf9-9c80-663214d69f87,tg:lhbr:209049,e73_Copyrights,1982.0,2097,In Copyright,nan
dbf3c4b4-342a-52fc-962e-b5e15e3859f3,tg:lhbr:221686,e73_Copyrights,1977.0,2092,In Copyright,nan
66d7e304-9582-5723-bb28-178ebdafc479,tg:lhbr:124837,e73_Copyrights,1966.0,2081,In Copyright,nan
9c3b5dd9-e236-5ca0-bcdc-ae5db9d49811,tg:lhbr:189255,e73_Copyrights,1957.0,2072,In Copyright,nan
eaae98c8-b85a-5d6f-bfa2-ef8f32096eaf,tg:lhbr:96225,e73_Copyrights,1924.0,2039,In Copyright,nan
8aa2775f-4770-56be-973d-9a04ebd0b07c,tg:lhbr:84644,e73_Copyrights,1891.0,2006,No Copyright - Public Domain Mark 1.0,nan
f2333bd2-7db4-5471-be7f-e586569fe1d1,tg:lhbr:40182,e73_Copyrights,1964.0,2079,In Copyright,nan
768ed730-8c9d-5e35-b950-10450a7023a2,tg:lhbr:113693,e73_Copyrights,1963.0,2078,In Copyright,nan
