card,order,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,ResourceID,brocade.id,Volgnummer,Source Note Type,Source Note Language
e22_Items,1,lhbr,tr:lh:4766,tg:lhbr:14757_#1,93263/1a-b,isad:lh:8222,B 708 / B,6cd21eab-a733-5267-a493-ee75db4db261,6cd21eab-a733-5267-a493-ee75db4db261,tg:lhbr:14757_#1,,,
e22_Items,1,lhbr,,tg:lhbr:92109_#1,,isad:lh:39342,L 642 / B,4dacc4f3-4b79-57b1-acc4-878beb407e0f,4dacc4f3-4b79-57b1-acc4-878beb407e0f,tg:lhbr:92109_#1,,,
e22_Items,1,lhbr,tr:lh:6444,tg:lhbr:80568_#1,158108,isad:lh:35252,J 422 / B,e78e8bd9-5f1d-5f20-b39b-8ad84d07bd98,e78e8bd9-5f1d-5f20-b39b-8ad84d07bd98,tg:lhbr:80568_#1,,,
e22_Items,1,lhbr,tr:lh:5678,tg:lhbr:192912_#1,114686/79,isad:lh:70831,T 48399 / B (1964),47be3623-8b29-5f3e-a4bb-1aa189f06ff5,47be3623-8b29-5f3e-a4bb-1aa189f06ff5,tg:lhbr:192912_#1,,,
e22_Items,1,lhbr,tr:lh:139792,tg:lhbr:253065_#1,,isad:lh:72990,R 71164 / B2 (Golfslag),edb601f7-213e-5861-8332-69ace48cf0a5,edb601f7-213e-5861-8332-69ace48cf0a5,tg:lhbr:253065_#1,,,
e22_Items,1,lhbr,tr:lh:110434,tg:lhbr:241404_#1,,isad:lh:125912,,f6627d97-6231-54f3-ba58-94106286e93a,f6627d97-6231-54f3-ba58-94106286e93a,tg:lhbr:241404_#1,C 2756 / 439,,
e22_Items,1,lhbr,tr:lh:7475,tg:lhbr:183780_#1,197214/432,isad:lh:39333,S 314 / B2,662adb5a-15d8-57dd-9fbc-9aeca0ec70ae,662adb5a-15d8-57dd-9fbc-9aeca0ec70ae,tg:lhbr:183780_#1,,,
e22_Items,1,lhbr,tr:lh:9922,tg:lhbr:147046_#1,147344/33,isad:lh:121522,E 147 / B2,f9c34eae-edb1-5ba8-99d2-3384ab795fa8,f9c34eae-edb1-5ba8-99d2-3384ab795fa8,tg:lhbr:147046_#1,,,
e22_Items,1,lhbr,tr:lh:1747,tg:lhbr:155427_#1,31137/2,isad:lh:64038,V 851 / B,43a4acf2-9354-5a83-ab8b-265ca2694378,43a4acf2-9354-5a83-ab8b-265ca2694378,tg:lhbr:155427_#1,,,
e22_Items,1,lhbr,tr:lh:7063,tg:lhbr:239732_#1,64925/12,isad:lh:107106,D 125 / B,228facf1-f641-51c3-8159-687b88366b3c,228facf1-f641-51c3-8159-687b88366b3c,tg:lhbr:239732_#1,,remarks,Nederlands
e22_Items,1,lhbr,tr:lh:7785,tg:lhbr:230814_#1,201601/191a-b,isad:lh:83001,R 467 / B2,5c21411b-3abf-5c9f-b452-c086eb0cc200,5c21411b-3abf-5c9f-b452-c086eb0cc200,tg:lhbr:230814_#1,,,
e22_Items,1,lhbr,tr:lh:6413,tg:lhbr:209049_#1,151780/6a-e,isad:lh:76897,W 256 / B2 ((periode L. Simons 1969-1984) 19),20da88b0-1cae-5caf-b7ce-7364d91a3c67,20da88b0-1cae-5caf-b7ce-7364d91a3c67,tg:lhbr:209049_#1,,,
e22_Items,1,lhbr,tr:lh:7870,tg:lhbr:221686_#1,210871/5,isad:lh:80179,S 59 / Archief J,93316040-f05d-59b9-9114-c0028fbc333d,93316040-f05d-59b9-9114-c0028fbc333d,tg:lhbr:221686_#1,,,
e22_Items,1,lhbr,tr:lh:6465,tg:lhbr:124837_#1,158592/133,isad:lh:5134,S 7904 / B2 (1966),3a888da5-c40f-5f7b-9732-037d1cd3e510,3a888da5-c40f-5f7b-9732-037d1cd3e510,tg:lhbr:124837_#1,,,
e22_Items,1,lhbr,tr:lh:3772,tg:lhbr:189255_#1,72465/10,isad:lh:73940,T 48399 / B (1957),1ecdacf9-0815-5fd1-8d8d-f6add8c8e92b,1ecdacf9-0815-5fd1-8d8d-f6add8c8e92b,tg:lhbr:189255_#1,,,
e22_Items,1,lhbr,tr:lh:3477,tg:lhbr:96225_#1,69068/166,isad:lh:41031,M 2869 / B,cffcfb75-7f9b-503c-9c3c-2b65619343ae,cffcfb75-7f9b-503c-9c3c-2b65619343ae,tg:lhbr:96225_#1,,,
e22_Items,1,lhbr,tr:lh:2413,tg:lhbr:84644_#1,47200/68,isad:lh:36646,K 907 / B,4c0d860c-b0d5-57cd-b02d-924b2c0479dd,4c0d860c-b0d5-57cd-b02d-924b2c0479dd,tg:lhbr:84644_#1,,,
e22_Items,1,lhbr,tr:lh:5831,tg:lhbr:40182_#1,123748/7,isad:lh:18951,D 125 / B,67688f96-8fa3-5f33-a643-052ae02ee57e,67688f96-8fa3-5f33-a643-052ae02ee57e,tg:lhbr:40182_#1,,,
e22_Items,1,lhbr,tr:lh:4796,tg:lhbr:113693_#1,95553/2,isad:lh:1422,H 722 / B (1964-66),3fa42865-2c9e-5db4-b54d-7cef8f7a8b24,3fa42865-2c9e-5db4-b54d-7cef8f7a8b24,tg:lhbr:113693_#1,,,
e22_Items,1,lhbr,tr:lh:9770,tg:lhbr:257349_#1,,isad:lh:147061,,7465376c-df27-5106-a148-60a3e350c5e2,7465376c-df27-5106-a148-60a3e350c5e2,tg:lhbr:257349_#1,J 416 / 64,,
e22_Items,1,lhbr,tr:lh:5604,tg:lhbr:102801_#1,32669,isad:lh:43540,M 807 / B,ae859f0b-b6a5-58a2-8e83-4ffad5fcdaf6,ae859f0b-b6a5-58a2-8e83-4ffad5fcdaf6,tg:lhbr:102801_#1,,remarks,Nederlands
e22_Items,1,lhbr,tr:lh:6346,tg:lhbr:140999_#1,148099/24,isad:lh:58601,T 176 / B2,576043f7-5722-566b-85bc-d525fb88d031,576043f7-5722-566b-85bc-d525fb88d031,tg:lhbr:140999_#1,,,
e22_Items,1,lhbr,tr:lh:7701,tg:lhbr:216822_#1,200358/289 a-b,isad:lh:78735,G 22445 / B,3bdb6ccd-76b1-5ec6-baae-82430d8457ae,3bdb6ccd-76b1-5ec6-baae-82430d8457ae,tg:lhbr:216822_#1,,,
e22_Items,1,lhbr,tr:lh:4744,tg:lhbr:4716_#1,92362/88,isad:lh:3234,B 1333 / B,0b8ee9ff-67d5-59a8-9bb2-8b4798c7f294,0b8ee9ff-67d5-59a8-9bb2-8b4798c7f294,tg:lhbr:4716_#1,,,
e22_Items,1,lhbr,tr:lh:6231,tg:lhbr:62298_#1,144617/53a-d,isad:lh:28021,D 4697 / B,390a362b-2f7e-5b70-bb0c-1c8710e8e3c1,390a362b-2f7e-5b70-bb0c-1c8710e8e3c1,tg:lhbr:62298_#1,,,
e22_Items,1,lhbr,tr:lh:5872,tg:lhbr:58036_#1,138728,isad:lh:25779,G 994 / B,96abc8af-c0b1-5470-81a9-cf340a6db0eb,96abc8af-c0b1-5470-81a9-cf340a6db0eb,tg:lhbr:58036_#1,,,
e22_Items,1,lhbr,tr:lh:6553,tg:lhbr:20300_#1,161685/16,isad:lh:10406,CC 92 / B2,bb56d919-9a0c-5186-8ef3-1859a84d9193,bb56d919-9a0c-5186-8ef3-1859a84d9193,tg:lhbr:20300_#1,,,
e22_Items,1,lhbr,tr:lh:1717,tg:lhbr:32761_#1,30249/34,isad:lh:15789,C 28426 / B,80f4e193-e30c-508f-a22d-06f9429543e7,80f4e193-e30c-508f-a22d-06f9429543e7,tg:lhbr:32761_#1,,,
e22_Items,1,lhbr,tr:lh:7063,tg:lhbr:173411_#1,177313/184,isad:lh:70175,D 125 / B2,112d54ca-300a-5cdd-942f-b6ede5a005eb,112d54ca-300a-5cdd-942f-b6ede5a005eb,tg:lhbr:173411_#1,,,
e22_Items,1,lhbr,tr:lh:6099,tg:lhbr:161070_#1,140103/4,isad:lh:65980,M 386 / B2,1ada09f4-8511-5751-b21c-f3f7ed59d09e,1ada09f4-8511-5751-b21c-f3f7ed59d09e,tg:lhbr:161070_#1,,,
e22_Items,1,lhbr,tr:lh:5357,tg:lhbr:131589_#1,105284/25,isad:lh:55137,S 47 / B,0ed13936-40c9-5244-b555-c4d7cf4dbad5,0ed13936-40c9-5244-b555-c4d7cf4dbad5,tg:lhbr:131589_#1,,,
e22_Items,1,lhbr,tr:lh:128783,tg:lhbr:267432_#1,,isad:lh:132844,,56fa3207-b6da-5046-9909-66dc6dd52242,56fa3207-b6da-5046-9909-66dc6dd52242,tg:lhbr:267432_#1,R 462 / 874,,
e22_Items,1,lhbr,tr:lh:5850,tg:lhbr:119346_#1,123806/1191,isad:lh:2307,W 686 / B (42),94ed9095-2835-5a9b-aa85-7bf27d3a9435,94ed9095-2835-5a9b-aa85-7bf27d3a9435,tg:lhbr:119346_#1,,,
e22_Items,1,lhbr,tr:lh:7843,tg:lhbr:275053_#1,202504/60a-b,isad:lh:157012,,94cd28d6-847c-5ebc-8f6e-59d8a8bf68b6,94cd28d6-847c-5ebc-8f6e-59d8a8bf68b6,tg:lhbr:275053_#1,D 325 / 327,,
