brocade.id,Legacy Information Code,Legacy Information Value,dataset,card,Legacy Information Type,ResourceID
tg:lhbr:16251,d:lh:227123,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/B_/B7307_Boon_Louis_Paul/tg_lhbr_16251.tif,lhbr,e73_LegacyImages,image high resolution,76148f4f-9081-50de-b927-6b9790fab9cd
tg:lhbr:173244,d:lh:223476,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/D_/D125_Daisne_Johan/tg_lhbr_173244.tif,lhbr,e73_LegacyImages,image high resolution,a408e370-8571-50d4-b490-99e58cfdacd6
tg:lhbr:178144,d:lh:238715,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/S_/S935_Streuvels_Stijn/B2/De_Gemeenschap/tg_lhbr_178144.tif,lhbr,e73_LegacyImages,image high resolution,189dcf19-a9a0-521e-ac37-9da6d4e8101f
tg:lhbr:18411,d:lh:223756,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/B_/B79985_Braak_Menno_ter/tg_lhbr_18411.tif,lhbr,e73_LegacyImages,image high resolution,0623a09d-2461-5a19-a1c0-ad8f6f4606dc
tg:lhbr:192501,d:lh:245531,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/G_/G395_Gilliams_Maurice/tg_lhbr_192501,lhbr,e73_LegacyImages,image high resolution,f5fcc515-5460-5e65-836a-4cc232eafe29
tg:lhbr:239201,d:lh:234889,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/L_/L499_Ley_Gerd_de/tg_lhbr_239201,lhbr,e73_LegacyImages,image high resolution,01935a18-de5a-53a2-9023-9bf42db0af59
tg:lhbr:239211,d:lh:234897,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/L_/L499_Ley_Gerd_de/tg_lhbr_239211.tif,lhbr,e73_LegacyImages,image high resolution,8e0b6858-cd40-5c5f-bdeb-1fef6a3a5a9b
tg:lhbr:239444,d:lh:222355,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/G_/G3978_Gils_Gust/Archief/tg_lhbr_239444.tif,lhbr,e73_LegacyImages,image high resolution,5212bb5f-9249-5d89-990f-e65ec0c2996e
tg:lhbr:239454,d:lh:223545,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/B_/B79985_Braak_Menno_ter/tg_lhbr_239454.tif,lhbr,e73_LegacyImages,image high resolution,035ccd70-00fc-53e9-811d-31d7ab454026
tg:lhbr:239595,d:lh:239148,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/R_/R564_Robbers_Herman/tg_lhbr_239595,lhbr,e73_LegacyImages,image high resolution,e61b3eff-a764-5f6d-b06f-499f4c6254fa
