ResourceID,brocade.id,card,order,source_field,Description,Description Type,Description Language
ef27f8b2-777a-5779-9663-4e15075016b0,tg:lhbr:262214,e73_Descriptions,,id.desc,Deze brief aan Opsteller der Gazette van Gend .,descriptive note,Nederlands
b373f317-0d6c-530e-98a9-dc0ef754c40e,tg:lhbr:264758,e73_Descriptions,,id.desc,Frans Bastiaense aan E. de Bom,descriptive note,Nederlands
b9cdcb3b-c5f2-585c-8f8e-7770984dd6a6,tg:lhbr:265252,e73_Descriptions,,id.desc,P. Verdoes [Nieuwe Rotterdamsche Courant] aan E. de Bom,descriptive note,Nederlands
8ae66482-0f9b-5760-880a-3344e95cdb15,tg:lhbr:240897,e73_Descriptions,,id.desc,Brief aan Eugeen de Bock,descriptive note,Nederlands
e5afff1b-f7d0-5ca8-8e72-245c46f68de0,tg:lhbr:245650,e73_Descriptions,,id.desc,"Tweede kant.
Eerste kant is vermist.",descriptive note,Nederlands
374ac2a5-3209-598b-a2bc-beaaefedc245,tg:lhbr:298528,e73_Descriptions,,id.desc,Lucia Lampo aan Heiko ter Horst,descriptive note,Nederlands
e6b1ee7d-5c65-599c-b113-1f4d82f4fbb2,tg:lhbr:243274,e73_Descriptions,,id.desc,brief van Decort,descriptive note,Nederlands
4311ea87-2f74-5417-b752-7dce20d7abdf,tg:lhbr:240887,e73_Descriptions,,id.desc,Brief aan Jan Blockx,descriptive note,Nederlands
bca98d34-e6a2-5883-8c79-65df28edb1f4,tg:lhbr:265242,e73_Descriptions,,id.desc,E. de Bom aan Victor E. van Vriesland [Nieuwe Rotterdamsche Courant],descriptive note,Nederlands
01d27a01-93b0-57a0-b8e4-47c28ee2bf44,tg:lhbr:216832,e73_Descriptions,1,note.lhcontentbr,"<p>Bericht van adresverandering en nieuwjaarswens van Marc uit Sint-Antonius-Brecht.</p>
",descriptive note,Nederlands
574e742e-d35c-555c-a02f-fabf3b9f1c84,tg:lhbr:239722,e73_Descriptions,,id.desc,"Uitnodiging voor de ""opening van de literaire kring Het nieuw Onkruid"".  
bijgevoegd 2 gesigneerde prentkaarten.",descriptive note,Nederlands
88e88fd7-a15b-574c-9329-4026857878e9,tg:lhbr:253075,e73_Descriptions,,id.desc,Brieven aan Kiyoshi Satoh,descriptive note,Nederlands
57d9d2d8-207c-59ac-b73f-61665c1251c1,tg:lhbr:142670,e73_Descriptions,,id.desc,Brief aan Dhr.en Mevr. Rotthier-Ryckoord,descriptive note,Nederlands
9681342f-68dd-5c77-b943-fc7a56261f2e,tg:lhbr:298538,e73_Descriptions,,id.desc,Theo Huet aan Hubert Lampo,descriptive note,Nederlands
54d43f2b-450c-5d9a-8aca-55e4927ae6d9,tg:lhbr:267267,e73_Descriptions,,id.desc,Brief van Robert Mathy,descriptive note,Nederlands
081a8013-ee94-542a-80b3-fbe3fe17a524,tg:lhbr:262441,e73_Descriptions,,id.desc,Brieven aan Mieke Ontrop,descriptive note,Nederlands
684d04b7-82f0-56fa-aceb-9fc6d3d9e418,tg:lhbr:298205,e73_Descriptions,,id.desc,Robin Hannelore aan Hubert Lampo,descriptive note,Nederlands
c2f54922-dc59-5a59-88fe-98fa205e7d1e,tg:lhbr:235867,e73_Descriptions,2,note.lhcontentbr,"<p>Bevat een ingevuld vragenformulier over Maurice Gilliams, door Jacques Gelaude.</p>
",descriptive note,Nederlands
5b60b953-08f9-5f9a-9655-c8027cc9c256,tg:lhbr:251050,e73_Descriptions,,id.desc,Brieven van Adriaan van der Horst,descriptive note,Nederlands
16fb0095-8278-5010-bd65-b93a7a77d801,tg:lhbr:263033,e73_Descriptions,,id.desc,Deze brief van Opsteler van Gaz. Gent .,descriptive note,Nederlands
3f0ad09a-7c32-55e2-8858-baf11d0185a2,tg:lhbr:277887,e73_Descriptions,,id.desc,Neel Doff aan E. de Bom,descriptive note,Nederlands
671b4434-5cbc-577a-9c18-08d007e6ab10,tg:lhbr:266615,e73_Descriptions,,id.desc,Brief van Marcel Arland,descriptive note,Nederlands
556ef321-35fc-58ed-a0b7-5502109a876c,tg:lhbr:270158,e73_Descriptions,,id.desc,"Uitnodiging van het bestuur van ""De Keyser´s Kunst- en Zanggenootschap, aan Van Duyse.",descriptive note,Nederlands
ae1cfbf8-3e0a-59ee-b8ae-4d815e6d3a98,tg:lhbr:249905,e73_Descriptions,,id.desc,Brieven van André Deslignères,descriptive note,Nederlands
ca6afcc2-0874-5d35-b085-610baf8336c6,tg:lhbr:240623,e73_Descriptions,,id.desc,brief van Adolf Spemann,descriptive note,Nederlands
d12338dc-d90d-5520-8975-7d52c6a25f88,tg:lhbr:252242,e73_Descriptions,,id.desc,Brieven van De Sikkel,descriptive note,Nederlands
896c22c4-6687-5ce3-bb74-29f1d89f92ec,tg:lhbr:250422,e73_Descriptions,,id.desc,Brief van Herman Liebaers,descriptive note,Nederlands
6b1d33ff-bb8b-5103-af31-5032bbc20d26,tg:lhbr:297917,e73_Descriptions,,id.desc,André Demedts aan Hubert Lampo,descriptive note,Nederlands
89f042b2-dce1-5c44-af1a-200a2afc2bfa,tg:lhbr:63926,e73_Descriptions,,id.desc,Brieven aan Dhr. Vandendriessche (De Pinte),descriptive note,Nederlands
cc1230e7-f6b2-527e-81bd-f62b43ef5a53,tg:lhbr:265417,e73_Descriptions,,id.desc,Brief van Werkkunst-Verlag,descriptive note,Nederlands
762bd63f-04b6-56dc-988f-df219501a08e,tg:lhbr:251040,e73_Descriptions,,id.desc,Brieven van Johan van der Woude,descriptive note,Nederlands
c5d51cec-8ec4-5f7b-a601-ab94a67d2e1f,tg:lhbr:264884,e73_Descriptions,,id.desc,August van Cauwelaert aan E. de Bom,descriptive note,Nederlands
41cc8492-c04e-5788-a8cc-3eaa5095d553,tg:lhbr:298215,e73_Descriptions,,id.desc,Paul Hardy aan Hubert Lampo,descriptive note,Nederlands
abf77648-3863-559b-8098-3547e9587ec3,tg:lhbr:276404,e73_Descriptions,,id.desc,Jos. Goudswaard aan E. de Bom,descriptive note,Nederlands
b9932d68-e361-5383-a5f0-d7d1747cfea2,tg:lhbr:297907,e73_Descriptions,,id.desc,André Demedts aan Hubert Lampo,descriptive note,Nederlands
c16f693f-cd02-532d-a263-330012ef5280,tg:lhbr:245015,e73_Descriptions,,id.desc,"Brief van Bossaert, Pieter Allest.",descriptive note,Nederlands
cd06d98e-b572-558c-9751-eb7f09839fdf,tg:lhbr:249915,e73_Descriptions,,id.desc,Brieven van Georges-Marie Dutilleul,descriptive note,Nederlands
8968fb0c-4153-5aa9-b099-fbcd7d1a639f,tg:lhbr:258787,e73_Descriptions,,id.desc,Brieven van P. V. de Nooy,descriptive note,Nederlands
2a99d742-1b7c-590f-bf17-b0f300e23505,tg:lhbr:252252,e73_Descriptions,,id.desc,Brief van Frans Demers,descriptive note,Nederlands
2f59b400-65d5-5f59-b3ee-ca1e0c9b192a,tg:lhbr:240633,e73_Descriptions,,id.desc,brief van Heinz Seewald,descriptive note,Nederlands
6478b86a-4e6e-5de2-aa5f-eafd6fbdc52e,tg:lhbr:266605,e73_Descriptions,,id.desc,Brief van Joseph Llorens Artigas,descriptive note,Nederlands
18d7436d-0557-59ec-85b8-d92d161c7830,tg:lhbr:118171,e73_Descriptions,,id.desc,Brief aan dhr. Willems,descriptive note,Nederlands
b4aa0863-47e1-5670-bc47-542c0e81f1cc,tg:lhbr:277300,e73_Descriptions,,id.desc,E. de Bom aan Betsy Hollants,descriptive note,Nederlands
e33da6db-acba-582b-8fe3-30e81d597a30,tg:lhbr:265761,e73_Descriptions,,id.desc,Brief van Jean Lurçat,descriptive note,Nederlands
a2ed4f38-c4f1-50a7-8b93-c827aff2d378,tg:lhbr:298163,e73_Descriptions,,id.desc,Ben van Eysselsteijn aan Hubert Lampo,descriptive note,Nederlands
35171b0a-f471-53a1-8b0b-f9906e5f23d2,tg:lhbr:253556,e73_Descriptions,,id.desc,Brief van  E.P. vanden Brulle .,descriptive note,Nederlands
23c3dbb1-0071-5718-b669-76bda0334e32,tg:lhbr:266573,e73_Descriptions,,id.desc,Brief van Georg Biermann,descriptive note,Nederlands
c70a69fc-ed50-57d8-9454-3c0212023ea0,tg:lhbr:240545,e73_Descriptions,,id.desc,brief van Adolf Spemann,descriptive note,Nederlands
a2e719db-c8a7-5a0d-bd27-fd0bfc028f28,tg:lhbr:298173,e73_Descriptions,,id.desc,Johan Fleerackers aan Hubert Lampo,descriptive note,Nederlands
5266acbb-05e3-5ff9-88c4-5845acf7de23,tg:lhbr:265771,e73_Descriptions,,id.desc,Brief van Jean Lurçat,descriptive note,Nederlands
d4764058-8c21-5f06-a90f-6a6861981e61,tg:lhbr:240555,e73_Descriptions,,id.desc,brief van Adolf Spemann,descriptive note,Nederlands
da0fe07a-3699-584a-a106-dc9beafa13d4,tg:lhbr:267069,e73_Descriptions,,id.desc,Brief van André Favory,descriptive note,Nederlands
ac449986-b277-5317-900e-6ca55d6f0108,tg:lhbr:263345,e73_Descriptions,,id.desc,De Wereldbibliotheek 5nico van Suchtelen) aan Cypriaan Verhavert,descriptive note,Nederlands
5ac065db-e38a-5212-b5a6-b2c04d44a90e,tg:lhbr:265609,e73_Descriptions,,id.desc,Brief van Pol Neveux,descriptive note,Nederlands
8e74b7d3-cb20-57c1-a65b-c3a5c01be6cf,tg:lhbr:265134,e73_Descriptions,,id.desc,E. de Bom aan Floris Prims,descriptive note,Nederlands
68f52940-6daf-5863-ba9c-1a26a36729bd,tg:lhbr:254345,e73_Descriptions,,id.desc,Brief van P.Vandeghinste .,descriptive note,Nederlands
85c9053a-71b0-578e-9166-cb29b63a9927,tg:lhbr:291810,e73_Descriptions,,id.desc,Hubert Lampo aan Armand Boni,descriptive note,Nederlands
fd3c2391-3db5-51c3-ad1c-042ee103b519,tg:lhbr:240268,e73_Descriptions,,id.desc,1,descriptive note,Nederlands
8b2b1bc2-5381-5842-8c1b-b1e4b053d639,tg:lhbr:263478,e73_Descriptions,,id.desc,Emmanuel de Bom aan Ger Schmook Sr.,descriptive note,Nederlands
f3b08d7b-1b67-58bd-af9e-e36e4503646f,tg:lhbr:266326,e73_Descriptions,,id.desc,Briefwisseling met au::8210 en au::8211,descriptive note,Nederlands
e0522c13-e4c9-5bb6-b3ba-afe57be20b71,tg:lhbr:293691,e73_Descriptions,,id.desc,Emmanuel de Bom aan Leo Simons,descriptive note,Nederlands
6c24d088-9ccc-5312-ba03-66dab462cba8,tg:lhbr:263500,e73_Descriptions,,id.desc,Brief van Mick de Man,descriptive note,Nederlands
232e0730-ed8c-56e1-8fb5-7a2c92675caf,tg:lhbr:240278,e73_Descriptions,,id.desc,duitse versie aanwezig,descriptive note,Nederlands
f3a91ed4-2d4f-569b-b0fe-54d147f5fdf8,tg:lhbr:263468,e73_Descriptions,,id.desc,Emmanuel de Bom aan August Remouchamps,descriptive note,Nederlands
ee51d329-fad9-5aa2-bf90-8b4fae35968f,tg:lhbr:265124,e73_Descriptions,,id.desc,E. de Bom aan Wouter Nijhoff,descriptive note,Nederlands
