ResourceID,brocade.id,card,order,source_field,source_code,Language
5a5bca89-08bd-5e2b-8c2f-e66d0df91fe9,tg:lhbr:14757,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
75adc835-fd41-53f9-a975-7f6489fa57a8,tg:lhbr:92109,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
c959ba4b-084b-5175-90a5-3859069065e6,tg:lhbr:80568,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
28c94b6c-86f1-56bf-84c8-33bc15e626b7,tg:lhbr:192912,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
202ca955-7f17-54ba-8dc1-19707b9feb12,tg:lhbr:253065,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
7c361ffe-a31c-5b1b-9690-fa01fbe96c1b,tg:lhbr:241404,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
dd3a8fcd-a947-560f-a1e2-9964e8e882fd,tg:lhbr:183780,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
1c4ec183-c35d-5db3-859b-8370e42a53e4,tg:lhbr:286931,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
8ba03926-6c13-51c0-aecf-0e154d60ad73,tg:lhbr:147046,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
6ce2ad5f-95e0-5b65-85a8-a46d5a1c5c74,tg:lhbr:155427,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
8d0d2a4e-33c3-545d-86f4-17bc5008a4b0,tg:lhbr:239732,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
45930501-e3bd-5f4d-a597-b16487e2dbc7,tg:lhbr:230814,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
862ad9f0-6032-5bf9-9c80-663214d69f87,tg:lhbr:209049,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
dbf3c4b4-342a-52fc-962e-b5e15e3859f3,tg:lhbr:221686,e73_Languages,1,kenmerken.lhlanguagehs,fre,French (language)
66d7e304-9582-5723-bb28-178ebdafc479,tg:lhbr:124837,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
9c3b5dd9-e236-5ca0-bcdc-ae5db9d49811,tg:lhbr:189255,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
eaae98c8-b85a-5d6f-bfa2-ef8f32096eaf,tg:lhbr:96225,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
8aa2775f-4770-56be-973d-9a04ebd0b07c,tg:lhbr:84644,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
f2333bd2-7db4-5471-be7f-e586569fe1d1,tg:lhbr:40182,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
768ed730-8c9d-5e35-b950-10450a7023a2,tg:lhbr:113693,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
a0f06a28-cb41-5a91-8f44-fd3ebcfbe7fa,tg:lhbr:257349,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
2837991c-3021-53b6-b5b5-6096f8e60c35,tg:lhbr:245728,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
ac41b8f5-a3c9-5ab2-b132-885c3bff0ee0,tg:lhbr:102801,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
3a56d59b-4831-5a13-867e-2d687839a790,tg:lhbr:140999,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
ec266b35-d9d2-5a96-ae0a-6e051bfedb38,tg:lhbr:216822,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
e739daa3-8242-5c69-8e0b-5fdc89119eea,tg:lhbr:4716,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
ed96c3e1-9f49-586c-b572-bdfbb028c668,tg:lhbr:62298,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
ceb87ee9-dc4d-5cb1-9bcf-7c31835a5e61,tg:lhbr:58036,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
85f8978e-cc67-5786-9ba8-244e267ea662,tg:lhbr:20300,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
73a1c92e-d368-5e85-b1a4-382b4992dcb0,tg:lhbr:32761,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
363b1931-3a4f-5ad7-9669-fa83bbe630ce,tg:lhbr:173411,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
b373ad32-414a-571a-8a38-141a982a2a5e,tg:lhbr:161070,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
efd91407-2faf-52f6-883e-1ba482acd547,tg:lhbr:131589,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
353ebed6-fcca-5341-a89d-cc29465893a1,tg:lhbr:267432,e73_Languages,1,kenmerken.lhlanguagehs,fre,French (language)
259de09f-290e-566e-ad92-4817f0900d0d,tg:lhbr:119346,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
c9d88cde-bc74-517b-aef2-2fe649b92be8,tg:lhbr:275053,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
863e40e6-17b9-5742-ab8d-ec8b4fcf7f5d,tg:lhbr:128137,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
6d829940-b5c5-574a-a747-41b359f30e69,tg:lhbr:244222,e73_Languages,1,kenmerken.lhlanguagehs,fre,French (language)
