brocade.id,ResourceID,card,order,Archive Note,Warehouse Location (begin),Serial Number,Source Note,Source Note Language,Source Note Type
tg:rubdoc:4322,48f64614-b025-58bb-9f89-e7a7f465e01f,Items,1,isad:rub:3291,HUNTING.13,,,Nederlands,Noot
tg:rubdoc:4288,d863a4c9-5229-51cf-9795-6fffc22b04d5,Items,1,isad:rub:3291,SAINTS.42,,,Nederlands,Noot
tg:rubdoc:4267,ef33fb84-4c46-5f17-b60d-82ab12edc0cf,Items,1,isad:rub:3291,MINISTRY.07,,,Nederlands,Noot
tg:rubdoc:4119,7a282aeb-82e3-5b9b-b66f-4d5a43e6fe42,Items,1,isad:rub:3144,Doos 2,RA 010 / 194,,Nederlands,Noot
tg:rubdoc:4230,cf68fc39-4ade-58d9-a61e-4dd2a5d7512e,Items,1,isad:rub:3290,,RA 006 / 004,,Nederlands,Noot
tg:rubdoc:4226,0468028f-0e57-5480-abf3-ce05942f43c3,Items,1,isad:rub:3140,Doos 24,RA 010 / ADD001,,Nederlands,Noot
tg:rubdoc:4158,a0c89a6f-5969-5135-839c-0313dc9a2be1,Items,1,isad:rub:3144,Doos 4,RA 010 / 230,,Nederlands,Noot
tg:rubdoc:4158,a0c89a6f-5969-5135-839c-0313dc9a2be1,Items,2,isad:rub:3144,"V17 / Theodor Van Thulden / folder """"Andere religieuze onderwerpen""""",,"https://anet.be/record/rub/opacrub/c:lvd:13231700/N
",Nederlands,Noot
tg:rubdoc:4271,c5dff96a-c12e-5416-aa7d-3309116db0e4,Items,1,isad:rub:3291,PASSION.14,,,Nederlands,Noot
tg:rubdoc:4066,d9ccf1f2-fde5-5cb2-9cb6-e01e6a3e6826,Items,1,isad:rub:3147,Doos 8,RA 010 / 147,Corresponding LB-number: LB 350.,Nederlands,Noot
tg:rubdoc:4123,cdf2a8d7-0aef-5917-a682-37a7257be1f9,Items,1,isad:rub:3144,Doos 2,RA 010 / 198,,Nederlands,Noot
tg:rubdoc:4089,80317716-1431-5501-9724-7a6612cfb6b1,Items,1,isad:rub:3148,Doos 17,RA 010 / 166,,Nederlands,Noot
tg:rubdoc:3936,1f6e3456-babe-5271-92de-16141d2caa8c,Items,1,isad:rub:3142,Doos 15,RA 010 / 031,,Nederlands,Noot
tg:rubdoc:3936,1f6e3456-babe-5271-92de-16141d2caa8c,Items,2,,LB 818,RA 010 / 031,Loose documentation taken out from the original folder,Nederlands,Noot
tg:rubdoc:4031,1f7cb9f5-4dde-5b82-a42f-036df18aafe5,Items,1,isad:rub:3146,Doos 8,RA 010 / 115,Corresponding LB-number: LB 431.,Nederlands,Noot
tg:rubdoc:4174,2443a65b-d8a4-528f-b3e8-152148f20e90,Items,1,isad:rub:3140,Doos 24,RA 010 / 243,,Nederlands,Noot
tg:rubdoc:3961,432b43c8-06af-5d01-9dbc-b07d02e4d7b7,Items,1,isad:rub:3142,Doos 14,RA 010 / 052,Corresponding LB-number: LB 2087.,Nederlands,Noot
tg:rubdoc:4318,c99cd959-c257-547d-b4d2-bb60e73203e5,Items,1,isad:rub:3291,PORTRAITS.31,,,Nederlands,Noot
