ResourceID,card,order,Title,Title Type,Title Language
997ae41d-ed56-5357-b536-311955252067,Titles,1,MC_067 - bij LB 296-299 (Ludwig Burchard),Titel,Nederlands
76544826-bef6-5838-8548-27d359989b56,Titles,1,PO_674 - Bij LB 1496 (Ludwig Burchard),Titel,Nederlands
ed9961ab-1db5-5921-81e7-4913c37c5565,Titles,1,PA_125 - Bij LB 335/1 (Ludwig Burchard),Titel,Nederlands
fa28b5db-96dc-51d3-a42d-d8b8c5728341,Titles,1,IM_132 - LB 2168 (Ludwig Burchard),Titel,Nederlands
2a15a92b-e411-50b1-a5dc-dfa389148c66,Titles,1,PA_070 - LB 325/21 (Ludwig Burchard),Titel,Nederlands
08d7440c-7dcd-5f7e-ae84-95f3b7f251f4,Titles,1,OT_144 - LB 114/6 (Ludwig Burchard),Titel,Nederlands
e187e44c-af25-5f84-beb0-2d4d8ca3388e,Titles,1,CA_056 - LB 1826 (Ludwig Burchard),Titel,Nederlands
618af1bc-46ea-5a9f-a71b-4961a11f4caa,Titles,1,HI_055 - LB 937/2 (Ludwig Burchard),Titel,Nederlands
541391f1-f68f-5ca5-8edf-fb34d34e6847,Titles,1,PO_381 - LB 1263 (Ludwig Burchard),Titel,Nederlands
4fa44e3e-ccad-5185-9471-8292f2468c0d,Titles,1,CB_056 - LB 1542 (Ludwig Burchard),Titel,Nederlands
6861c792-6bf0-5f87-961b-7ae85cc477d7,Titles,1,PO_258 - Bij LB 1199-1243/1 (Ludwig Burchard),Titel,Nederlands
34f82066-f016-5296-8660-3a29bd229d9b,Titles,1,OT_104 - LB 102 (Ludwig Burchard),Titel,Nederlands
51c73168-bf77-55f3-a36b-b6712111a3d2,Titles,1,AG_241 - LB 670/3 (Ludwig Burchard),Titel,Nederlands
3e1c99d0-c839-5b45-abd3-d0acd65b6b67,Titles,1,CA_030 - LB 1806/1 (Ludwig Burchard),Titel,Nederlands
c23f3965-24cf-53b3-863c-506bff430d64,Titles,1,OT_162 - LB 120[1353] (Ludwig Burchard),Titel,Nederlands
