ResourceID,card,order,Description,Description Type,Description Language
48f64614-b025-58bb-9f89-e7a7f465e01f,Descriptions,1,Documentatie betreffende het werk 'The Calydonian Boar Hunt',Beschrijving,Nederlands
d863a4c9-5229-51cf-9795-6fffc22b04d5,Descriptions,1,Documentatie betreffende het werk 'The Mystic Marriage of St Catherine of Alexandria',Beschrijving,Nederlands
ef33fb84-4c46-5f17-b60d-82ab12edc0cf,Descriptions,1,Documentatie betreffende het werk 'The Feast of Herod: Drawing',Beschrijving,Nederlands
7a282aeb-82e3-5b9b-b66f-4d5a43e6fe42,Descriptions,1,"Annotation on the envelope: """"Rubens Besprechungen Briefe zum Buch Eigene Vorträge Recencies""""

- Articles about Evers' conferences in Brussels in 1943 ('Rubens und die Landschaft', 'Rubens in seiner Zeit', 'Rubens und das Frauentum')
- Draft text: """"Rubens und Maria Medici""""
- Work report for the deanery
- Article: 'Ueber Peter Paul Rubens' in """"Kölnische Zeitung"""" dated 22.10.1943
- Article: 'Rubens als künstler' in """"Der Führer"""" dated 11.10.1943
- Article: 'Der Europäer Rubens' 
- Article: 'Neue Forschungen über Rubens' in """"Kölnische Zeitung"""" dated 26.08.1944 
- Article: 'Zur niederländischen und deutschen Künstlergeschichte' in """"Atlantis"""" dated January 1944
- Article: 'Hoe schilderde Rubens het licht? Een belangrijke voordracht van prof. dr. H. G. Evers te Antwerpen' in """"De Dag""""
- Article: 'Voordracht van Prof. Dr. H. G. Evers over """"Hoe schildert Rubens het licht""""'
- Article: 'Rubens als Maler des Lichtes. Ein Vortrag von Prof. Dr. Evers'
- Article: 'Prof. Evers' Rubensmonografie' in """"Volk en Staat"""" dated 16.11.1943
- Article: 'Von Ordnung setzender Kunst / Zu einer neuen Rubens-Deutung' in """"Krakauer Zeitung"""" dated 29.08.1943
- Article: 'Neues Schrifttum. Eine neue Deutche Rubens-Biographie' in """"Innsbrucker Nachrichten"""" dated 10.08.1943
- Article: 'Peter Paul Rubens. Eine neue Biographie' in """"Königsberger Allgemeine Zeitung"""" dated 05.08.1943
- Article: 'Tre smukke Kunstbøger' in """"Wy Europaeisk Litteratur"""" dated 1941
- Article: 'Ein groβer Flame' in """"Das neue Europa"""" dated 15.05.1943
- Article: 'Rubens und seine Zeit' in """"Rheinische Landeszeitung Düsseldorf"""" dated 06.10.1943
- Article: 'Rubens als Politiker' in """"Düsseldorfer Nachrichten"""" dated 06.10.1943
- Article: 'Nordischer Rubens' in """"Westdeutsche Zeitung"""" dated 07.10.1943
- Article: '""""Rubens, ein nordlicher Künstler""""' dated 21.10.1943
- Article: 'Ueber Peter Paul Rubens' in """"KölnischeZeitung"""" dated 30.10.1943
- Article: 'Peter Paul Rubens' dated 25.10.1943
- Article: 'Rubens et la tradition européenne' in """"Le Soir"""" dated 23.07.1943
- Article: 'Rubens in neuem Licht' in """"Westdeutsche Zeitung"""" dated 03.10.1943
- Article: '""""Rubens und das Frauentum""""' in """"Düsseldorfer Nachrichten"""" dated 02.06.1943
- Article: 'Am Vortragspult in """"Der Mittag""""' dated 01.06.1943
- Article: 'Voordracht over """"Rubens en Frankrijk""""' in """"Het allgemeen Nieuws"""" dated 25.05.1943
- Article: 'Brussel Rubens en Frankrijk' in """"Het laatste Nieuws"""" dated 23.05.1943
- Article: 'Der gelehrteste Maler der Zeiten' in """"Der Alemanne"""" dated 09.11.1943
- Article: 'Nieuwe ontdekkingen van een Rubensstudie. Een boeiende voordracht van prof. dr. H. G. Evers te Antwerpen' in """"Volk en Staat"""" dated 02.03.1943
- Article: 'Une causerie sur Rubens par le professeur Evers' in """"Le paus Reil"""" dated 17.02.1943
- Article: 'Une conférence sur Rubens' in """"Le Noune au Journal"""" dated 17.02.1943
- Article: 'Prof. dr. Hans Gerhard Evers. Bij zijn voordracht over Rubens te Antwerpen' in """"Volk en Staat"""" dated 21.02.1943
- Article: 'Rubens und die flämische Landschaft' dated 25.01.1943
- Article: 'Rubens als Landschafter / Prof. Evers vor der Gemeide der Mannheimer Kunsthalle' in """"Hakenkreuzbanner"""" dated 25.01.1943
- Article: 'Rubens als Diplomat und Kunstler' 
- Article:' Rubens als Diplomat' dated 07.04.1943
- Article: 'In der Vortragsreihe der Kunsthalle: Prof. Evers-München über """"Rubens und die flämische Landschaft""""' in """"Städtische Nachrichtenstelle Neue Mannheimer Zeitung"""" dated 25.01.1943
- Article: 'Rubens im neuen Licht' in """"Der Alemanne vom Dienstag"""" dated 23.03.1943
- Various correspondence with F. Bruckmann Verlag, J. Köstler, etc. dated 1943
- Invitations to Evers' conferences",Beschrijving,Nederlands
cf68fc39-4ade-58d9-a61e-4dd2a5d7512e,Descriptions,1,"Allerlei ingebonden documenten (van Rooses en andere handen) over de brieven van Rubens die vermoedelijk dienden ter voorbereiding van de uitgave *Correspondance de Rubens et documents épistolaires concernant sa vie et ses oeuvres* die door Rooses en [Charles Ruelens]( https://anet.be/record/isaarrub/au::16168/N) werd uitgegeven van 1887 t.e.m. 1909. 
Het gaat om notities, transcripties van brieven, excerpten uit literatuur en briefwisseling. In de band bevinden zich heel wat stukken die afkomstig zijn van Noël Sainsbury en mogelijk door hem aan Rooses werden toegestuurd.",Beschrijving,Nederlands
0468028f-0e57-5480-abf3-ce05942f43c3,Descriptions,1,"The folder contains handwritten, very detailed, timelines on Rubens' life and work, with references to his network, travelling, commissions and seemingly also references to his correspondence. They are the manuscript for the first chapter, 'Zeittafeln', in Evers' publication [*Rubens und sein Werk : neue Forschungen*](https://anet.be/record/rub/opacrub/c:lvd:13258322/N).   
There seem to be tree versions: one (with a red screen) starting in 1612 and ending in 1640 (the early years and 1613 are missing); the second one (with the pages numbered unevenly) starting in 1602 and ending in 1641; and the last one (rather small and multiple years per page) starting in 1600 and ending in 1641 (with a gap between 1608 and 1629, so probably a part is missing). 

The back sides of the pages were used to create a 19th-century timeline later on in Evers' career. 

",Beschrijving,Nederlands
a0c89a6f-5969-5135-839c-0313dc9a2be1,Descriptions,1,"- First subfolder (Annotation: """"Rubens Hochbarock""""):
    - Extracts from different publications about christian paintings with annotations
    - A reproduction of 'Saint Francis' by Rubens
    - Bibliographic references
- Second subfolder (Annotation: """"Antwerpen""""):
    - Bibliographic references with annotations
    - Antwerp library's forms
    - Invitation to the ceremony in memory of Rubens in Antwerp dated 1940
    - Business cards of Hannes Schmidt, Rob. Van Roosbroeck and other pieces of paper with address information and phone numbers of shops, etc.
    - Article: 'A Siegen ville natale de Rubens' in """"Le soir"""" dated 15.07.1941
    - Article: 'Rembrandtpreis für Verhulst' in """"Das Reich"""" dated 22.03.1941
    - Article: 'Der Rembrandtpreis 1940 für den flämischen Dichter Raf Verhust' dated 20.03.1941
    - Report on the Rubens study
    - Permission of the War administration chief dated 13.10.1941
    - Permission request to work in Heidelberg dated 13.10.1941
- Third subfolder (Annotation: """"Brüssel""""):
    - Bibliographic references with annotations
- Fourth subfolder (Annotation: """"Dresden""""): empty
- Fifth subfolder (Annotation: """"Köln""""):
    - Notes about different artists (Birth date, death date and other information)
- Sixth subfolder (Annotation: """"London""""):
    - Various notes
    - Article: 'Art history congress'
- Seventh subfolder (Annotation: """"Madrid""""):
    - Notes about sketches, addresses, etc.
    - Correspondence with Dr. Beinert (Deutsches Kulturinstitut Madrid) dated 1941
    - Centro germano español library card
- Eighth subfolder (Annotation: """"München""""):
    - Extracts from different publications
    - Bibliographic references
- Ninth subfolder (Annotation: """"Paris""""):
    - Notes about addresses, photos in the Palais Royal archive, etc.
    - Permission to take photos of french monuments for study purposes
    - Business card of J. E. Bulloz
    - Photo of a book page
- Tenth subfolder (Annotation: """"Wien""""):
    - Notes about artistis and artworks in Vienna museums
    - Extracts from different publications
- Eleventh subfolder (Annotation: """"Rubens Anmerkungen""""):
    - Extracts from different publications
    - Correspondence with Ernst Zinn
    - Photo of the portrait of 'Woverius's son' by Rubens
    - Photo of different engravings by Rubens
- Draft text about 'The Meeting of King Ferdinand of Hungary and the Cardinal-Infante Ferdinand of Spain at Nördlingen' and 'Arrival of Marie de Medici at Marseilles'
- Twelfth subfolder (no annotations):
    - """"Rubens et Caravage"""" (extract from the volume """"Études d'art 11-12"""")
    - Correspondence with Hermann Maschmeyer dated 1954 and 1958
    - Business card of Hermann Maschmeyer
- A yellow book cover
- Piece of a newspaper page with a reproduction of a portrait
- Empty small folder
- Cut page from a book (?) with a reproduction of the 'Transfiguration of Christ'
- Notes about 'The Holy Family' painting dated 02.01.1950
- Photo of a painting with Indios
- Correspondence with Baroness Raitz von Trenker dated 1952, with Curt Reinheldt dated 1958, with Ing. H. Weidhaas dated 1964, with Plietzsch dated 12.12.1942, etc.
- Business card of R. Van de Broek
- Notes about Rubens lecture in Düsseldorf
- Bibliographic references
- Article: 'Antwerper, Gent, Brügge. Vortrag von Prof. Evers-München im """"Freien Bund""""'
- Photo of an antique store in Düsseldorf
- Der Artia publishing company flyer 
- Remarks (dated 28.06.1961) about an artwork attributed to Rubens 
- Keysers Bibliothek für Kunst und Antiquitäten brochure
- Extracts from different publications
- Photos of some pages of """"Rivista dell'arte"""" (1940)
- Visit report of the Roberto Longhi's house
- Correspondence about consult requests (photocopies of artworks reproductions attached)
- Visit report of the Jean De Coen's atelier dated 31.01.1943
  
Loose documentation reunited with the folder:   
   
- Photograph of a sketch depicting the descent from the cross or the lamentation of Christ.  
According to the annotation on the back (added in the Rubenianum) probably sent to Evers by Dr. H. Bünemann in 1943. There should probably be a corresponding letter too (which is currently lost).   
-  Photograph of a painting depicting Maria Magdalena.  
According to the annotation on the back (added in the Rubenianum) the photograph was sent to Evers together with a letter by Eberhard Schenk in 1956. The corresponding letter is currently lost.  
-  Two photographs of a painting depicting Christ giving the keys to St. Peter.  
According to the annotation on the back (added in the Rubenianum) the photograph was sent to Evers together with a letter by E. Heryens? In 1944. The corresponding letter is currently lost.  
  
Loose documentation in the artwork documentation of the Rubenianum:   
    
- Photo of The Resurrected Christ Appears to His Mother by Theodoor Van Thulden",Beschrijving,Nederlands
c5dff96a-c12e-5416-aa7d-3309116db0e4,Descriptions,1,Documentatie betreffende het werk 'Christ Expiring on the Cross',Beschrijving,Nederlands
d9ccf1f2-fde5-5cb2-9cb6-e01e6a3e6826,Descriptions,1,"Annotation on the envelope: """"VII Kreuzabnahme""""

- Correspondence with Philipp Frank dated 1943
- Bibliographic references
- Extracts from different publications about 'The Descent from the Cross'
- Draft texts """"Zeichnung einer """"Kreuz - Abnahme"""", von Rubens",Beschrijving,Nederlands
cdf2a8d7-0aef-5917-a682-37a7257be1f9,Descriptions,1,"Annotation on the envelope: """"Neues Material zum Bd. II""""

- Correspondence with Jules F. Defort dated 1943
- Bibliographic references",Beschrijving,Nederlands
80317716-1431-5501-9724-7a6612cfb6b1,Descriptions,1,"No annotation on the envelope.

- Booklet: """"Le Rubens d'Auxerre"""" (exhibition of The Death of Adonis in Paris 1961)
- Essay (reprint): 'Rubens and Stimmer' by Frits Lugt, in """"The art Quarterly"""", Spring 1943
- Essay (reprint): 'Zur Antwerpener Frühzeit von Peter Paul Rubens' by J. Müller Hofstede, in """"Münchner Jahbuch der bildenden Kunst"""" n. 13, 1962
- Brochure of the exhibition in Cologne 1977
- Guide of the exhibition in Cologne 1977
- Booklet of the exhibition 'Rubens als Bürger, Siegen 1967' (2 copies)
- Catalogue of the exhibition 'Rubens als Bürger, Siegen 1967' (4 copies)
- Catalogue of the exhibition 'Francis Bacon, Siegen 1967'
- Essay (reprint): 'Ein neuentdeckter früher Rubens' by Hermann Konnerth, in """"Zeitschrift für Kunstwissenschaft"""", n. 9, 1-2, 1955
- Catalogue: """"Rubens' Leopards"""", 1973
- Photocopies of """"Rubens and Ioves Eagle,"""" in """"Paragone"""", 1970
- Essay (reprint): 'Rubens and the Book' by J. S. Held, in """"Harvard Library Bulletin"""", vol. XXVII, n. 1, 1979",Beschrijving,Nederlands
