ResourceID,brocade.id,card,order,source_field,Title,Title Type,Title Language
62450c5b-0a35-5d36-b684-1e7c66e4a1c9,tg:lhaq:8881,Titles,1,id.title/ti,Baker,titles proper,Dutch (language)
1eec0799-63fa-543c-a3d0-be891a0c181c,tg:lhaq:8751,Titles,1,id.title/ti,Old Gobbo.,titles proper,Dutch (language)
432a31ab-1b7d-527c-870a-feeb86b1d9c3,tg:lhaq:9140,Titles,1,id.title/ti,Zaal bij Perdino.,titles proper,Dutch (language)
823461b2-0712-56a4-8ed4-be9310e7baa7,tg:lhaq:8993,Titles,1,id.title/ti,La Terre (De Aarde),titles proper,Dutch (language)
afc90268-a4a6-57a2-92ea-ac8b55d49c94,tg:lhaq:9394,Titles,1,id.title/ti,"Decorontwerp ""Een ballet wordt geboren""",titles proper,Dutch (language)
bb524cb6-ed81-546e-a22e-26957d99f5ff,tg:lhaq:5564,Titles,1,id.title/ti,De vogel in de Kunst,titles proper,Dutch (language)
5d08dca6-26ef-556a-a3d9-ec1296c7d5de,tg:lhaq:9052,Titles,1,id.title/ti,Boertje / boerinnetje / jagertje / het dametje / Peter en de Wolf van Prokofiev.,titles proper,Dutch (language)
b2bbf28f-a732-5f52-be4c-4e3a67ca9678,tg:lhaq:9402,Titles,1,id.title/ti,Interieur St Niklaaskerk Gent,titles proper,Dutch (language)
f051649c-2a76-5b5a-8afd-6f3b95716bc4,tg:lhaq:8985,Titles,1,id.title/ti,De Soldaat,titles proper,Dutch (language)
77b0399b-e866-5c0f-97b5-3aa876feeb5a,tg:lhaq:9414,Titles,1,id.title/ti,Peter Terrin,titles proper,Dutch (language)
b115a4c2-902f-58fd-bf56-710a9ed715cc,tg:lhaq:8878,Titles,1,id.title/ti,Joffer,titles proper,Dutch (language)
1c2549b2-f726-5e8d-b9d9-6024da36156d,tg:lhaq:8897,Titles,1,id.title/ti,Lady Macbeth,titles proper,Dutch (language)
090a8e15-d13b-556d-9d94-a248ac6264bf,tg:lhaq:8747,Titles,1,id.title/ti,Aragon,titles proper,Dutch (language)
135c55d1-f7f0-5ed0-ac20-77c41a3026c4,tg:lhaq:9013,Titles,1,id.title/ti,Petkoff,titles proper,Dutch (language)
7c078dc8-7219-5041-974a-d43d540d22fb,tg:lhaq:8550,Titles,1,id.title/ti,Inn - Musician.,titles proper,Dutch (language)
397cdc4d-1877-5ff1-aea4-d5699678eec6,tg:lhaq:8383,Titles,1,id.title/ti,Gommaer,titles proper,Dutch (language)
e9b2a80c-720e-5fb9-88c6-7dca2e80d611,tg:lhaq:8679,Titles,1,id.title/ti,Overste,titles proper,Dutch (language)
da23c11e-76c1-5d41-bc0d-4654a90f4146,tg:lhaq:9068,Titles,1,id.title/ti,Indian Summer.,titles proper,Dutch (language)
9c28a607-05e3-5d17-bea8-9dba2f73b252,tg:lhaq:8696,Titles,1,id.title/ti,Faune,titles proper,Dutch (language)
9b000f80-5b64-5386-992c-edf855837ac7,tg:lhaq:8911,Titles,1,id.title/ti,Schwejk,titles proper,Dutch (language)
9abd95fd-1030-5479-8146-b6d6efc1c2ad,tg:lhaq:8854,Titles,1,id.title/ti,Pooier 2,titles proper,Dutch (language)
5c3c5c94-0899-5cf3-9203-2f45ab429ca0,tg:lhaq:8784,Titles,1,id.title/ti,Egmont,titles proper,Dutch (language)
d26759cd-338b-529c-b7b2-93481776dced,tg:lhaq:8907,Titles,1,id.title/ti,Dikke vrouw,titles proper,Dutch (language)
145c5f0a-bb6c-52ca-b04e-873c5c0615b5,tg:lhaq:8842,Titles,1,id.title/ti,Visvrouw Lowies,titles proper,Dutch (language)
5c1e09e9-31d5-570e-9050-94a70b3f39d9,tg:lhaq:8792,Titles,1,id.title/ti,De marskramer,titles proper,Dutch (language)
5e937a35-f83b-5d43-9f13-29afb0ff6951,tg:lhaq:4565,Titles,1,id.title/ti,Opgeblazen verluchtingsgebouw van de voetgangerstunnel te Antwerpen (1944),titles proper,Dutch (language)
7c729a34-ba1a-58f8-a6ce-69f7c86f50d7,tg:lhaq:8546,Titles,1,id.title/ti,Uncle.,titles proper,Dutch (language)
54b8899f-fe69-58b3-bf28-58ce7abca638,tg:lhaq:8395,Titles,1,id.title/ti,Mevrouw Pilatus II,titles proper,Dutch (language)
06c48f40-7010-5f14-bbd5-02802f6b0a5a,tg:lhaq:8680,Titles,1,id.title/ti,Vrouw Pavilec,titles proper,Dutch (language)
7441af4b-7744-54fb-a0f6-4036bed9cba9,tg:lhaq:8531,Titles,1,id.title/ti,Mariken 1.,titles proper,Dutch (language)
b1ce90f6-e392-5335-b3bd-669a5c58aee7,tg:lhaq:8862,Titles,1,id.title/ti,Een burgerese,titles proper,Dutch (language)
bf88cfb6-f431-5418-a71f-a37074a5f5f7,tg:lhaq:8927,Titles,1,id.title/ti,Paris,titles proper,Dutch (language)
407075f2-7ac8-5743-bab0-7bab26c3df34,tg:lhaq:9377,Titles,1,id.title/ti,Zonsondergang,titles proper,Dutch (language)
8a64f85a-b500-58e5-a6dc-81d241f27c55,tg:lhaq:8835,Titles,1,id.title/ti,Snol,titles proper,Dutch (language)
031ba763-243a-5ac6-bba2-8faeaee6f14c,tg:lhaq:8566,Titles,1,id.title/ti,Inn - Drinker 5,titles proper,Dutch (language)
45bc62d6-8ccc-59a4-815b-f85cab9157de,tg:lhaq:8970,Titles,1,id.title/ti,Vader van Dierik,titles proper,Dutch (language)
2ad859d6-bab7-5567-b91f-09421db89323,tg:lhaq:9418,Titles,1,id.title/ti,Zeezicht,titles proper,Dutch (language)
a862b183-d8e5-5889-a8b6-545a5951bf1d,tg:lhaq:8570,Titles,1,id.title/ti,Maskeroon Devil,titles proper,Dutch (language)
a2a341c3-e2ce-5391-90b5-c592faf6680e,tg:lhaq:8989,Titles,1,id.title/ti,De Elementen,titles proper,Dutch (language)
fce4d66d-6bb7-50d2-8291-4efb3f5e20d6,tg:lhaq:8966,Titles,1,id.title/ti,Oom,titles proper,Dutch (language)
00e0fbdd-4572-51d8-b853-f22d4051ec6e,tg:lhaq:6539,Titles,1,id.title/ti,Al die doden van de Ijzer,titles proper,Dutch (language)
4402b862-8185-50ce-a227-ce7e540c8105,tg:lhaq:8874,Titles,1,id.title/ti,Pooier 1',titles proper,Dutch (language)
0582cb82-8673-5f25-bd9f-584a0c57386f,tg:lhaq:8931,Titles,1,id.title/ti,Peter,titles proper,Dutch (language)
d9193347-1e9b-5a41-90fb-c85a862668a8,tg:lhaq:8675,Titles,1,id.title/ti,Dr. Bautze,titles proper,Dutch (language)
522c53e9-263a-5c6b-8b47-5128f198b1de,tg:lhaq:8360,Titles,1,id.title/ti,Ismène,titles proper,Dutch (language)
10089a08-cd5d-53fc-ae98-dad45dba721f,tg:lhaq:8767,Titles,1,id.title/ti,Sean en Meisie,titles proper,Dutch (language)
f52547bc-ebcc-5b6a-983a-5182fc56891c,tg:lhaq:9025,Titles,1,id.title/ti,Decor bar-burgemeesters bal,titles proper,Dutch (language)
fcfa0ff9-6c11-5143-954c-8aaa3ec15a61,tg:lhaq:8771,Titles,1,id.title/ti,Balthazar,titles proper,Dutch (language)
b8ea5fbc-ef22-518d-b0f1-49279177881f,tg:lhaq:8399,Titles,1,id.title/ti,Priesters,titles proper,Dutch (language)
2f569b35-9fbc-528d-922e-135ba9b7ba8d,tg:lhaq:9422,Titles,1,id.title/ti,Abstract aquarel in groene kleuren,titles proper,Dutch (language)
25edab14-c8f7-5c2c-95df-f46300929ace,tg:lhaq:9137,Titles,1,id.title/ti,Kamer van Giovanni.,titles proper,Dutch (language)
