ResourceID,brocade.id,card,Start Date,End Date,Start Date Type,End Date Type
f336da7c-906c-5ab5-b0f3-aa9d00bd9cd8,tg:lhaq:9286,ProductionTimeSpans,1956-07-11,nan,nan,nan
62450c5b-0a35-5d36-b684-1e7c66e4a1c9,tg:lhaq:8881,ProductionTimeSpans,1974,1975,nan,nan
432a31ab-1b7d-527c-870a-feeb86b1d9c3,tg:lhaq:9140,ProductionTimeSpans,1942,nan,nan,nan
afc90268-a4a6-57a2-92ea-ac8b55d49c94,tg:lhaq:9394,ProductionTimeSpans,1959,nan,nan,nan
bb524cb6-ed81-546e-a22e-26957d99f5ff,tg:lhaq:5564,ProductionTimeSpans,1953,nan,nan,nan
b2bbf28f-a732-5f52-be4c-4e3a67ca9678,tg:lhaq:9402,ProductionTimeSpans,1943,nan,nan,nan
77b0399b-e866-5c0f-97b5-3aa876feeb5a,tg:lhaq:9414,ProductionTimeSpans,2016,nan,nan,nan
b115a4c2-902f-58fd-bf56-710a9ed715cc,tg:lhaq:8878,ProductionTimeSpans,1974,1975,nan,nan
1c2549b2-f726-5e8d-b9d9-6024da36156d,tg:lhaq:8897,ProductionTimeSpans,1955,nan,circa,nan
29cd2b73-2d47-5785-883a-989c4e9de3b6,tg:lhaq:6889,ProductionTimeSpans,1942,nan,reconstructie,nan
473c6aab-df61-5f40-bbb3-628e05adfba3,tg:lhaq:8317,ProductionTimeSpans,1925,nan,reconstructie,nan
135c55d1-f7f0-5ed0-ac20-77c41a3026c4,tg:lhaq:9013,ProductionTimeSpans,1973-04-14,nan,datum vóór,nan
397cdc4d-1877-5ff1-aea4-d5699678eec6,tg:lhaq:8383,ProductionTimeSpans,1950,nan,nan,nan
e9b2a80c-720e-5fb9-88c6-7dca2e80d611,tg:lhaq:8679,ProductionTimeSpans,1952,nan,nan,nan
da23c11e-76c1-5d41-bc0d-4654a90f4146,tg:lhaq:9068,ProductionTimeSpans,1973,nan,nan,nan
977c1be7-d310-596c-adf3-46f76e4317a7,tg:lhaq:20,ProductionTimeSpans,1971,nan,nan,nan
9c28a607-05e3-5d17-bea8-9dba2f73b252,tg:lhaq:8696,ProductionTimeSpans,1962,nan,nan,nan
9b000f80-5b64-5386-992c-edf855837ac7,tg:lhaq:8911,ProductionTimeSpans,1964,nan,circa,nan
9abd95fd-1030-5479-8146-b6d6efc1c2ad,tg:lhaq:8854,ProductionTimeSpans,1974,1975,nan,nan
5c3c5c94-0899-5cf3-9203-2f45ab429ca0,tg:lhaq:8784,ProductionTimeSpans,1953,nan,nan,nan
d26759cd-338b-529c-b7b2-93481776dced,tg:lhaq:8907,ProductionTimeSpans,1964,nan,circa,nan
145c5f0a-bb6c-52ca-b04e-873c5c0615b5,tg:lhaq:8842,ProductionTimeSpans,1974,1975,nan,nan
1beea900-3308-5a4d-9492-8a60f728f42d,tg:lhaq:6626,ProductionTimeSpans,1983,nan,nan,nan
5e937a35-f83b-5d43-9f13-29afb0ff6951,tg:lhaq:4565,ProductionTimeSpans,1944,nan,nan,nan
52738c98-5867-5d59-906c-9ba1046e26c3,tg:lhaq:2632,ProductionTimeSpans,1957,nan,nan,nan
54b8899f-fe69-58b3-bf28-58ce7abca638,tg:lhaq:8395,ProductionTimeSpans,1951,nan,reconstructie,nan
06c48f40-7010-5f14-bbd5-02802f6b0a5a,tg:lhaq:8680,ProductionTimeSpans,1952,nan,nan,nan
0cccfe13-5966-514f-988a-6d35cc081d04,tg:lhaq:5548,ProductionTimeSpans,1917-04-19,nan,nan,nan
b1ce90f6-e392-5335-b3bd-669a5c58aee7,tg:lhaq:8862,ProductionTimeSpans,1974,1975,nan,nan
bf88cfb6-f431-5418-a71f-a37074a5f5f7,tg:lhaq:8927,ProductionTimeSpans,1951,nan,nan,nan
207edb6b-a0ee-5b45-83b8-6ad1b6ebd2ea,tg:lhaq:6893,ProductionTimeSpans,1943,nan,nan,nan
01582bee-3c39-5ada-b2be-121bcba0b779,tg:lhaq:2583,ProductionTimeSpans,1972,nan,nan,nan
407075f2-7ac8-5743-bab0-7bab26c3df34,tg:lhaq:9377,ProductionTimeSpans,nan,nan,zonder datum,nan
8a64f85a-b500-58e5-a6dc-81d241f27c55,tg:lhaq:8835,ProductionTimeSpans,1974,1975,nan,nan
45bc62d6-8ccc-59a4-815b-f85cab9157de,tg:lhaq:8970,ProductionTimeSpans,1959-10-23,nan,datum vóór,nan
2ad859d6-bab7-5567-b91f-09421db89323,tg:lhaq:9418,ProductionTimeSpans,1979,nan,nan,nan
fce4d66d-6bb7-50d2-8291-4efb3f5e20d6,tg:lhaq:8966,ProductionTimeSpans,1959-10-23,nan,datum vóór,nan
00e0fbdd-4572-51d8-b853-f22d4051ec6e,tg:lhaq:6539,ProductionTimeSpans,1972,nan,nan,nan
4402b862-8185-50ce-a227-ce7e540c8105,tg:lhaq:8874,ProductionTimeSpans,1974,1975,nan,nan
47bf8d11-d5db-5792-acd2-fa9915b9b2ef,tg:lhaq:9273,ProductionTimeSpans,1960,nan,circa,nan
0582cb82-8673-5f25-bd9f-584a0c57386f,tg:lhaq:8931,ProductionTimeSpans,1951,nan,nan,nan
d9193347-1e9b-5a41-90fb-c85a862668a8,tg:lhaq:8675,ProductionTimeSpans,1952,nan,nan,nan
522c53e9-263a-5c6b-8b47-5128f198b1de,tg:lhaq:8360,ProductionTimeSpans,1950,nan,nan,nan
6fb15b7a-fef7-59f5-ba3e-a3923cf9d717,tg:lhaq:8788,ProductionTimeSpans,1953,nan,nan,nan
67cc776d-eded-52ef-9013-f8d16406c585,tg:lhaq:9033,ProductionTimeSpans,1949,nan,circa,nan
735a394a-dd03-5cd0-b1e8-50b90936b68c,tg:lhaq:6846,ProductionTimeSpans,nan,nan,nan,nan
