ResourceID,brocade.id,card,order,ire.isaar.uuid,ire.isaar.id,Production Actor Role,Production Actor Widget,Production Actor Identifier
f336da7c-906c-5ab5-b0f3-aa9d00bd9cd8,tg:lhaq:9286,ProductionActors,1,97f5e855-9134-526a-91d3-71b8088d5c68,au::16765,artists (visual artists),"dlod={""name"":""Lode Sebregts"",""ark"":""ark:/83110/x0/97f5e855-9134-526a-91d3-71b8088d5c68"",""uri"":""/agents/people/57152"",""id"":""au::16765"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/97f5e855-9134-526a-91d3-71b8088d5c68
62450c5b-0a35-5d36-b684-1e7c66e4a1c9,tg:lhaq:8881,ProductionActors,1,97f5e855-9134-526a-91d3-71b8088d5c68,au::16765,artists (visual artists),"dlod={""name"":""Lode Sebregts"",""ark"":""ark:/83110/x0/97f5e855-9134-526a-91d3-71b8088d5c68"",""uri"":""/agents/people/57152"",""id"":""au::16765"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/97f5e855-9134-526a-91d3-71b8088d5c68
1eec0799-63fa-543c-a3d0-be891a0c181c,tg:lhaq:8751,ProductionActors,1,1eb37b38-398c-51aa-b304-69f753368fdd,au::58377,artists (visual artists),"dlod={""name"":""Mavis Taylor"",""ark"":""ark:/83110/x0/1eb37b38-398c-51aa-b304-69f753368fdd"",""uri"":""/agents/people/81752"",""id"":""au::58377"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/1eb37b38-398c-51aa-b304-69f753368fdd
432a31ab-1b7d-527c-870a-feeb86b1d9c3,tg:lhaq:9140,ProductionActors,1,40b883b2-4bf1-5e5f-bd5e-cdbc29322604,au::8606,artists (visual artists),"dlod={""name"":""Lode Hendrickx"",""ark"":""ark:/83110/x0/40b883b2-4bf1-5e5f-bd5e-cdbc29322604"",""uri"":""/agents/people/66195"",""id"":""au::8606"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/40b883b2-4bf1-5e5f-bd5e-cdbc29322604
56e6263a-af53-574e-ae41-5addeaf522f7,tg:lhaq:9005,ProductionActors,1,97f5e855-9134-526a-91d3-71b8088d5c68,au::16765,artists (visual artists),"dlod={""name"":""Lode Sebregts"",""ark"":""ark:/83110/x0/97f5e855-9134-526a-91d3-71b8088d5c68"",""uri"":""/agents/people/57152"",""id"":""au::16765"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/97f5e855-9134-526a-91d3-71b8088d5c68
823461b2-0712-56a4-8ed4-be9310e7baa7,tg:lhaq:8993,ProductionActors,1,97f5e855-9134-526a-91d3-71b8088d5c68,au::16765,artists (visual artists),"dlod={""name"":""Lode Sebregts"",""ark"":""ark:/83110/x0/97f5e855-9134-526a-91d3-71b8088d5c68"",""uri"":""/agents/people/57152"",""id"":""au::16765"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/97f5e855-9134-526a-91d3-71b8088d5c68
afc90268-a4a6-57a2-92ea-ac8b55d49c94,tg:lhaq:9394,ProductionActors,1,12e545a5-0cbf-5b85-b77a-c4b60407c5f9,au::6438,artists (visual artists),"dlod={""name"":""Vic Estercam"",""ark"":""ark:/83110/x0/12e545a5-0cbf-5b85-b77a-c4b60407c5f9"",""uri"":""/agents/people/90124"",""id"":""au::6438"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/12e545a5-0cbf-5b85-b77a-c4b60407c5f9
0946f068-5ab0-5558-bd03-4f927fba0f5e,tg:lhaq:8706,ProductionActors,1,97f5e855-9134-526a-91d3-71b8088d5c68,au::16765,artists (visual artists),"dlod={""name"":""Lode Sebregts"",""ark"":""ark:/83110/x0/97f5e855-9134-526a-91d3-71b8088d5c68"",""uri"":""/agents/people/57152"",""id"":""au::16765"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/97f5e855-9134-526a-91d3-71b8088d5c68
bb524cb6-ed81-546e-a22e-26957d99f5ff,tg:lhaq:5564,ProductionActors,1,1233e5fa-64ad-5e75-8f85-1728d131bf72,au::9844,artists (visual artists),"dlod={""name"":""Paul Joostens"",""ark"":""ark:/83110/x0/1233e5fa-64ad-5e75-8f85-1728d131bf72"",""uri"":""/agents/people/64812"",""id"":""au::9844"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/1233e5fa-64ad-5e75-8f85-1728d131bf72
5d08dca6-26ef-556a-a3d9-ec1296c7d5de,tg:lhaq:9052,ProductionActors,1,97f5e855-9134-526a-91d3-71b8088d5c68,au::16765,artists (visual artists),"dlod={""name"":""Lode Sebregts"",""ark"":""ark:/83110/x0/97f5e855-9134-526a-91d3-71b8088d5c68"",""uri"":""/agents/people/57152"",""id"":""au::16765"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/97f5e855-9134-526a-91d3-71b8088d5c68
