ResourceID,Record ID,id,Production Place Identifier,Production Place Widget
,tg:lhpr:10530,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
,tg:lhpr:9643,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
a5062715-bc07-52d1-9ba3-e9870c935182,tg:lhtk:9547,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
,tg:lhtk:9563,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
,tg:lhtk:10313,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
,tg:lhtk:10314,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
,tg:lhtk:14113,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/12682"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
,tg:lhtk:9545,au::100146,ark:/83110/x0/2a47c5b4-f92c-5a05-a57f-cb348283e861,"dlod={""name"":""Borgerhout (Antwerpen)"",""ark"":""ark:/83110/x0/2a47c5b4-f92c-5a05-a57f-cb348283e861"",""uri"":""/subjects/11408"",""id"":""au::100146"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
,tg:lhtk:9590,au::100146,ark:/83110/x0/2a47c5b4-f92c-5a05-a57f-cb348283e861,"dlod={""name"":""Borgerhout (Antwerpen)"",""ark"":""ark:/83110/x0/2a47c5b4-f92c-5a05-a57f-cb348283e861"",""uri"":""/subjects/11408"",""id"":""au::100146"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
,tg:lhtk:9659,au::100146,ark:/83110/x0/2a47c5b4-f92c-5a05-a57f-cb348283e861,"dlod={""name"":""Borgerhout (Antwerpen)"",""ark"":""ark:/83110/x0/2a47c5b4-f92c-5a05-a57f-cb348283e861"",""uri"":""/subjects/11408"",""id"":""au::100146"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
