ResourceID,brocade.id,card,order,source_field,source_code,Condition State Note,Condition State Notes Language,Condition State Notes Type
f336da7c-906c-5ab5-b0f3-aa9d00bd9cd8,tg:lhaq:9286,Conditions,3,note.lhconditie,"10/02/2010: Goed. vergeeld, oppervlaktevuil.","10/02/2010: Goed. vergeeld, oppervlaktevuil.",Nederlands,condition/examination description
62450c5b-0a35-5d36-b684-1e7c66e4a1c9,tg:lhaq:8881,Conditions,2,note.lhconditie,Het papier is licht verkleurd en het heeft gaatjes van punaises.,Het papier is licht verkleurd en het heeft gaatjes van punaises.,Nederlands,condition/examination description
1eec0799-63fa-543c-a3d0-be891a0c181c,tg:lhaq:8751,Conditions,3,note.lhconditie,Het papier heeft kreuken en gaatjes van punaises en het vertoont beschadigingen aan de boven- en onderzijde veroorzaakt door kleefband.,Het papier heeft kreuken en gaatjes van punaises en het vertoont beschadigingen aan de boven- en onderzijde veroorzaakt door kleefband.,Nederlands,condition/examination description
432a31ab-1b7d-527c-870a-feeb86b1d9c3,tg:lhaq:9140,Conditions,1,note.lhconditie,"22/04/2009: Goed, opgekleefd op niet zuurvrij papieren schutblad.","22/04/2009: Goed, opgekleefd op niet zuurvrij papieren schutblad.",Nederlands,condition/examination description
56e6263a-af53-574e-ae41-5addeaf522f7,tg:lhaq:9005,Conditions,2,note.lhconditie,Het papier is verkleurd en aan de linkerkant zijn stukjes afgescheurd.,Het papier is verkleurd en aan de linkerkant zijn stukjes afgescheurd.,Nederlands,condition/examination description
823461b2-0712-56a4-8ed4-be9310e7baa7,tg:lhaq:8993,Conditions,2,note.lhconditie,Het karton is verkleurd en een stuk van de bovenrechterkant is afgescheurd.,Het karton is verkleurd en een stuk van de bovenrechterkant is afgescheurd.,Nederlands,condition/examination description
0946f068-5ab0-5558-bd03-4f927fba0f5e,tg:lhaq:8706,Conditions,2,note.lhconditie,Het papier is licht verkleurd en het vertoont beschadigingen bovenaan aan de achterzijde veroorzaakt door kleefband.,Het papier is licht verkleurd en het vertoont beschadigingen bovenaan aan de achterzijde veroorzaakt door kleefband.,Nederlands,condition/examination description
bb524cb6-ed81-546e-a22e-26957d99f5ff,tg:lhaq:5564,Conditions,2,note.lhconditie,Matig.,Matig.,Nederlands,condition/examination description
5d08dca6-26ef-556a-a3d9-ec1296c7d5de,tg:lhaq:9052,Conditions,2,note.lhconditie,Het papier is licht verkleurd.,Het papier is licht verkleurd.,Nederlands,condition/examination description
f051649c-2a76-5b5a-8afd-6f3b95716bc4,tg:lhaq:8985,Conditions,2,note.lhconditie,Een stuk karton aan de linkeronderkant is afgescheurd.,Een stuk karton aan de linkeronderkant is afgescheurd.,Nederlands,condition/examination description
77b0399b-e866-5c0f-97b5-3aa876feeb5a,tg:lhaq:9414,Conditions,3,note.lhconditie,Links bovenaan enkele verfstrepen,Links bovenaan enkele verfstrepen,Nederlands,condition/examination description
b115a4c2-902f-58fd-bf56-710a9ed715cc,tg:lhaq:8878,Conditions,2,note.lhconditie,Het papier is licht verkleurd en het heeft gaatjes van punaises.,Het papier is licht verkleurd en het heeft gaatjes van punaises.,Nederlands,condition/examination description
1c2549b2-f726-5e8d-b9d9-6024da36156d,tg:lhaq:8897,Conditions,2,note.lhconditie,Het papier is licht verkleurd en een stuk van boven is afgescheurd.,Het papier is licht verkleurd en een stuk van boven is afgescheurd.,Nederlands,condition/examination description
