ResourceID,brocade.id,card,order,source_field,Description,Description Type,Description Language
f336da7c-906c-5ab5-b0f3-aa9d00bd9cd8,tg:lhaq:9286,Descriptions,1,id.title/description/merged,"Voorstudie voor de affiche """"Stad Antwerpen / Guldensporenviering / Reinaert De Vos.""""",descriptive note,Nederlands
f336da7c-906c-5ab5-b0f3-aa9d00bd9cd8,tg:lhaq:9286,Descriptions,1,note.lhdetail,"Vier voorstudies voor een affiche. Gedrukte affiche ook in ons bezit onder inventarisnummer: 234441, 225261/148, 237139/1,2 en posterrecordnummer: 2929.",,Nederlands
62450c5b-0a35-5d36-b684-1e7c66e4a1c9,tg:lhaq:8881,Descriptions,1,id.title/description/merged,"Kostuumontwerp voor het toneelstuk """"Trijntje van Saardam"""". Dit werk geschreven door Eugène Winters en Patrick Hiketick naar Constantijn Huygens, werd door de KNS te Antwerpen op 24-05-1975 opgevoerd.",descriptive note,Nederlands
1eec0799-63fa-543c-a3d0-be891a0c181c,tg:lhaq:8751,Descriptions,1,id.title/description/merged,"Kostuumontwerp voor het toneelstuk """"De Koopman van Venetië"""" van William Shakespeare, uitgevoerd door de Koninklijke Nederlandse Schouwburg voor het eerst van 13 tot 18 september, en daarna van 8 tot 13 november 1958.",descriptive note,Nederlands
1eec0799-63fa-543c-a3d0-be891a0c181c,tg:lhaq:8751,Descriptions,1,note.lhdetail,"De rol van de oude Gobbo, vader van Lancelot, werd door de acteur René Bertal vertolkt.",,Nederlands
432a31ab-1b7d-527c-870a-feeb86b1d9c3,tg:lhaq:9140,Descriptions,1,id.title/description/merged,Decorontwerp.,descriptive note,Nederlands
56e6263a-af53-574e-ae41-5addeaf522f7,tg:lhaq:9005,Descriptions,1,id.title/description/merged,"""""Le mendiant, le singe"""" (De bedelaar, de aap)
Kostuumontwerpen voor """"La Chapelle de la Miséricorde"""" (Kapel van de Barmhartigheid).",descriptive note,Nederlands
823461b2-0712-56a4-8ed4-be9310e7baa7,tg:lhaq:8993,Descriptions,1,id.title/description/merged,"Kostuumontwerp voor """"La Terre et les Hommes"""" (De Aarde en de Mensen).",descriptive note,Nederlands
0946f068-5ab0-5558-bd03-4f927fba0f5e,tg:lhaq:8706,Descriptions,1,id.title/description/merged,"Decorontwerp voor het humoristisch toneelstuk """"De Knecht van twee Meesters"""". Deze """"Commedia dell'Arte"""" voorstelling geschreven in 1745, is een van de meest beroemde werken van de Venetiaanse auteur Carlo Goldoni.",descriptive note,Nederlands
bb524cb6-ed81-546e-a22e-26957d99f5ff,tg:lhaq:5564,Descriptions,1,id.title/description/merged,Collage,descriptive note,Nederlands
5d08dca6-26ef-556a-a3d9-ec1296c7d5de,tg:lhaq:9052,Descriptions,1,id.title/description/merged,Schetsen in potlood en aquarel voor verschillende personages en voor en voostelling van Prokofiev.,descriptive note,Nederlands
f051649c-2a76-5b5a-8afd-6f3b95716bc4,tg:lhaq:8985,Descriptions,1,id.title/description/merged,Kostuumontwerp voor Boerenkermis.,descriptive note,Nederlands
2a009e82-1442-52f3-bdde-255bd25a5b29,tg:lhaq:5122,Descriptions,1,id.title/description/merged,Bomen,descriptive note,Nederlands
b115a4c2-902f-58fd-bf56-710a9ed715cc,tg:lhaq:8878,Descriptions,1,id.title/description/merged,"Kostuumontwerp voor het toneelstuk """"Trijntje van Saardam"""". Dit werk geschreven door Eugène Winters en Patrick Hiketick naar Constantijn Huygens, werd door de KNS te Antwerpen op 24-05-1975 opgevoerd.",descriptive note,Nederlands
1c2549b2-f726-5e8d-b9d9-6024da36156d,tg:lhaq:8897,Descriptions,1,id.title/description/merged,"Kostuumontwerp voor Macbeth van William Shakespeare. Deze tragedie (geschreven rond 1603-1606), werd door de KNS in Antwerpen van 12-02-1955 tot 17-02-1955 opgevoerd.",descriptive note,Nederlands
29cd2b73-2d47-5785-883a-989c4e9de3b6,tg:lhaq:6889,Descriptions,1,id.title/description/merged,"Decorontwerp voor het 7de tafereel van """"Genoveva"""" van Friedrich Hebbel",descriptive note,Nederlands
2889da1d-de01-506d-a2b8-86ab9eaf34d7,tg:lhaq:7261,Descriptions,1,id.title/description/merged,Kortharige man met snor en kinbaard. Borststuk.,descriptive note,Nederlands
2889da1d-de01-506d-a2b8-86ab9eaf34d7,tg:lhaq:7261,Descriptions,1,note.lhdetail,Waterverf schets met enkele potloodlijnen.,,Nederlands
090a8e15-d13b-556d-9d94-a248ac6264bf,tg:lhaq:8747,Descriptions,1,id.title/description/merged,"Kostuumontwerp voor het toneelstuk """"De Koopman van Venetië"""" van William Shakespeare, uitgevoerd door de Koninklijke Nederlandse Schouwburg voor het eerst van 13 tot 18 september, en daarna van 8 tot 13 november 1958.",descriptive note,Nederlands
090a8e15-d13b-556d-9d94-a248ac6264bf,tg:lhaq:8747,Descriptions,1,note.lhdetail,De rol van Prins van Aragon werd door de acteur François Bernard vertolkt.,,Nederlands
473c6aab-df61-5f40-bbb3-628e05adfba3,tg:lhaq:8317,Descriptions,1,id.title/description/merged,Decorontwerp voor de proloog van ?De tocht naar de liefde? van Jozef Boon,descriptive note,Nederlands
135c55d1-f7f0-5ed0-ac20-77c41a3026c4,tg:lhaq:9013,Descriptions,1,id.title/description/merged,"Kostuumontwerpen voor het toneelstuk """"Oorlogsmannen"""" (Arms and the Man) van de Ierse schrijver George Bernard Shaw.<br> Deze komedie in drie bedrijven geschreven in 1894, werd door de KNS te Antwerpen, van  14-04-1973 tot 30-04-1973 opgevoerd.",descriptive note,Nederlands
3427e823-4487-5f09-a8b8-0a62308a7afa,tg:lhaq:4066,Descriptions,1,id.title/description/merged,Legende de Sacumtala,descriptive note,Nederlands
7c078dc8-7219-5041-974a-d43d540d22fb,tg:lhaq:8550,Descriptions,1,id.title/description/merged,Kostuumontwerp voor muzikant van een herberg.,descriptive note,Nederlands
7c078dc8-7219-5041-974a-d43d540d22fb,tg:lhaq:8550,Descriptions,1,note.lhdetail,Op de achterkant van het blad is een lijntekening in potlood van een ander mannelijk kostuumontwerp.,,Nederlands
262ab269-588a-565f-9fff-7b4d784fe26a,tg:lhaq:4123,Descriptions,1,id.title/description/merged,Ruiter met een vlag op het strand,descriptive note,Nederlands
397cdc4d-1877-5ff1-aea4-d5699678eec6,tg:lhaq:8383,Descriptions,1,id.title/description/merged,"Kostuumontwerp voor """"Leontientje"""" van Felix Timmermans",descriptive note,Nederlands
e9b2a80c-720e-5fb9-88c6-7dca2e80d611,tg:lhaq:8679,Descriptions,1,id.title/description/merged,"Kostuumontwerp voor het toneelstuk De Avonturen van de brave Soldaat Schweijk van Jaroslav Hasek, uitgevoerd door de KNS in 1952.",descriptive note,Nederlands
e9b2a80c-720e-5fb9-88c6-7dca2e80d611,tg:lhaq:8679,Descriptions,1,note.lhdetail,"Het personage De Overeste, vader werd  door de acteur Marcel Cauwenberg vertolkt.",,Nederlands
