ResourceID,brocade.id,card,order,source_field,source_code,Production Technique Type
6ca9d290-2da1-5252-8516-d622dfc72cc1,tg:lhaq:3311,ProductionTechniques,1,kenmerken/lhtechaanvtk.lhtechtaddtk,tpe,pens (drawing and writing implements)
30a08090-6407-528c-b5df-d5a0adc4f5d5,tg:lhaq:9376,ProductionTechniques,1,kenmerken/lhtechaanvtk.lhtechtaddtk,tpe,pens (drawing and writing implements)
30a08090-6407-528c-b5df-d5a0adc4f5d5,tg:lhaq:9376,ProductionTechniques,2,kenmerken/lhtechaanvtk.lhtechtaddtk,tps,artists' brushes
38d27616-e096-5ec3-a76a-6655e34689b5,tg:lhaq:8072,ProductionTechniques,1,kenmerken/lhtechaanvtk.lhtechtaddtk,tps,artists' brushes
0cf82502-8335-5729-a8db-112480b358bb,tg:lhaq:9367,ProductionTechniques,1,kenmerken/lhtechaanvtk.lhtechtaddtk,tps,artists' brushes
ba70d35e-b0fb-5efd-b67d-20486f4c27c0,tg:lhaq:9412,ProductionTechniques,1,kenmerken/lhtechaanvtk.lhtechtaddtk,tpe,pens (drawing and writing implements)
53feff83-9ce8-5d25-bbad-6f1d07ce8043,tg:lhaq:9278,ProductionTechniques,2,kenmerken/lhtechaanvtk.lhtechtaddtk,tps,artists' brushes
41b1d16e-b23a-5765-8825-9596dc7e9da0,tg:lhaq:7753,ProductionTechniques,1,kenmerken/lhtechaanvtk.lhtechtaddtk,tpe,pens (drawing and writing implements)
618a1490-449b-5a54-8269-9b12e163fbed,tg:lhaq:9409,ProductionTechniques,1,kenmerken/lhtechaanvtk.lhtechtaddtk,tpe,pens (drawing and writing implements)
ff5b8a2b-0541-5c68-98e4-7232143f53fa,tg:lhaq:6316,ProductionTechniques,1,kenmerken/lhtechaanvtk.lhtechtaddtk,tpe,pens (drawing and writing implements)
00850040-6ff5-52ec-a026-ae40c66b24a2,tg:lhpa:9414,ProductionTechniques,1,kenmerken/lhtechaanvtk.lhtechtaddtk,tps,artists' brushes
63b4c2a5-77f7-52fc-bbdd-e6a4e83750c6,tg:lhpa:9770,ProductionTechniques,2,kenmerken/lhtechaanvtk.lhtechtaddtk,zlv,lavis (technique)
cde6c27f-40b2-597b-9dd9-1f8c45dfa3b8,tg:lhpa:9526,ProductionTechniques,2,kenmerken/lhtechaanvtk.lhtechtaddtk,tpe,pens (drawing and writing implements)
64891017-20f6-5292-8631-383441bfdcaa,tg:lhpa:9567,ProductionTechniques,1,kenmerken/lhtechaanvtk.lhtechtaddtk,tgt,mixed media
cdd56d09-17d0-5bdd-8956-8ee25cb93fb2,tg:lhpa:6902,ProductionTechniques,1,kenmerken/lhtechbasispa.lhtechpa,sag,reverse painting on glass (image-making)
9a6ecb34-4ddb-5d20-b2b4-752bc0ab8fec,tg:lhpa:9527,ProductionTechniques,2,kenmerken/lhtechaanvtk.lhtechtaddtk,tpe,pens (drawing and writing implements)
3ad07255-3782-516f-8d1b-380501ec8188,tg:lhpa:9771,ProductionTechniques,2,kenmerken/lhtechaanvtk.lhtechtaddtk,zlv,lavis (technique)
2e721a7d-816d-53a6-9c78-8e0bda00a2f7,tg:lhpa:9481,ProductionTechniques,1,kenmerken/lhtechaanvtk.lhtechtaddtk,tgt,mixed media
c0f6d33c-fc38-5239-9285-ebb811249929,tg:lhpa:5684,ProductionTechniques,1,kenmerken/lhtechaanvtk.lhtechtaddtk,tgt,mixed media
85e8ad49-20c6-54ad-8150-2cd364ece0f4,tg:lhpa:9185,ProductionTechniques,1,kenmerken/lhtechaanvtk.lhtechtaddtk,tps,artists' brushes
85e8ad49-20c6-54ad-8150-2cd364ece0f4,tg:lhpa:9185,ProductionTechniques,2,kenmerken/lhtechaanvtk.lhtechtaddtk,tpe,pens (drawing and writing implements)
b6390e3f-9243-5847-a58d-6c6cc31dfb19,tg:lhpa:9428,ProductionTechniques,1,kenmerken/lhtechaanvtk.lhtechtaddtk,tps,artists' brushes
e2b95ede-42b7-5f08-a211-032eb24b315d,tg:lhpa:9487,ProductionTechniques,1,kenmerken/lhtechaanvtk.lhtechtaddtk,tgt,mixed media
