Object Number,Record Type,URL,ResourceID,Reference Number,Keeper,Object Identifier,Record ID Type,Object Number Type,URL Type,Object Identifier Type,Reference Number Type,order,card
tg:lhbr:228132,Brieven,https://anet.be/record/opaclhobj/tg:lhbr:228132/N,aa64305a-b125-5b53-a572-2bec7aa3bb27,BE-ANN07/br/000217372,Letterenhuis,https://data.letterenhuis.be/ark:/24970/aa64305a-b125-5b53-a572-2bec7aa3bb27,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhbr:86166,Brieven,https://anet.be/record/opaclhobj/tg:lhbr:86166/N,df44f22d-aafb-505a-b80b-9c4cb604ca70,BE-ANN07/br/000080897,Letterenhuis,https://data.letterenhuis.be/ark:/24970/df44f22d-aafb-505a-b80b-9c4cb604ca70,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhbr:57896,Brieven,https://anet.be/record/opaclhobj/tg:lhbr:57896/N,c24aca3d-4f7a-5759-9ecf-44fc57ab71d0,BE-ANN07/br/000055321,Letterenhuis,https://data.letterenhuis.be/ark:/24970/c24aca3d-4f7a-5759-9ecf-44fc57ab71d0,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhbr:255402,Brieven,https://anet.be/record/opaclhobj/tg:lhbr:255402/N,cdcbef42-3a6c-558b-9e07-475b1b26131c,BE-ANN07/br/000244193,Letterenhuis,https://data.letterenhuis.be/ark:/24970/cdcbef42-3a6c-558b-9e07-475b1b26131c,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhbr:203262,Brieven,https://anet.be/record/opaclhobj/tg:lhbr:203262/N,e01b5cf7-de26-5be4-ab4c-dbec23e187e1,BE-ANN07/br/000192808,Letterenhuis,https://data.letterenhuis.be/ark:/24970/e01b5cf7-de26-5be4-ab4c-dbec23e187e1,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhbr:127292,Brieven,https://anet.be/record/opaclhobj/tg:lhbr:127292/N,4dede4f4-0c70-5908-afe4-37173f2a0679,BE-ANN07/br/000119783,Letterenhuis,https://data.letterenhuis.be/ark:/24970/4dede4f4-0c70-5908-afe4-37173f2a0679,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhbr:66332,Brieven,https://anet.be/record/opaclhobj/tg:lhbr:66332/N,f67aef61-8e85-5979-8729-916af0bb1010,BE-ANN07/br/000063588,Letterenhuis,https://data.letterenhuis.be/ark:/24970/f67aef61-8e85-5979-8729-916af0bb1010,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhbr:30552,Brieven,https://anet.be/record/opaclhobj/tg:lhbr:30552/N,281b06fd-715b-54f8-8cf7-6e5d2e8f3659,BE-ANN07/br/000029495,Letterenhuis,https://data.letterenhuis.be/ark:/24970/281b06fd-715b-54f8-8cf7-6e5d2e8f3659,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhbr:120557,Brieven,https://anet.be/record/opaclhobj/tg:lhbr:120557/N,7f59ae88-e386-5321-86e5-0c2d943a9b2d,BE-ANN07/br/000113369,Letterenhuis,https://data.letterenhuis.be/ark:/24970/7f59ae88-e386-5321-86e5-0c2d943a9b2d,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhbr:263863,Brieven,https://anet.be/record/opaclhobj/tg:lhbr:263863/N,3be709c0-3f47-5ab1-8b4d-6ea7bfc6095a,BE-ANN07/br/000252622,Letterenhuis,https://data.letterenhuis.be/ark:/24970/3be709c0-3f47-5ab1-8b4d-6ea7bfc6095a,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhbr:176337,Brieven,https://anet.be/record/opaclhobj/tg:lhbr:176337/N,db99c399-e816-5663-b323-d0f9cd4c11b1,BE-ANN07/br/000166184,Letterenhuis,https://data.letterenhuis.be/ark:/24970/db99c399-e816-5663-b323-d0f9cd4c11b1,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhbr:37297,Brieven,https://anet.be/record/opaclhobj/tg:lhbr:37297/N,6deea745-e501-5ff0-b78a-b470b70969a4,BE-ANN07/br/000036035,Letterenhuis,https://data.letterenhuis.be/ark:/24970/6deea745-e501-5ff0-b78a-b470b70969a4,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhbr:147893,Brieven,https://anet.be/record/opaclhobj/tg:lhbr:147893/N,d2516495-5f52-5cca-9313-8e04a2e6d93e,BE-ANN07/br/000139354,Letterenhuis,https://data.letterenhuis.be/ark:/24970/d2516495-5f52-5cca-9313-8e04a2e6d93e,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhbr:196163,Brieven,https://anet.be/record/opaclhobj/tg:lhbr:196163/N,3be89d69-c8a1-5540-875d-76e3321a8958,BE-ANN07/br/000185777,Letterenhuis,https://data.letterenhuis.be/ark:/24970/3be89d69-c8a1-5540-875d-76e3321a8958,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhbr:279097,Brieven,https://anet.be/record/opaclhobj/tg:lhbr:279097/N,7fe9f34b-931c-519f-a3ea-9002c5fffb78,BE-ANN07/br/000267693,Letterenhuis,https://data.letterenhuis.be/ark:/24970/7fe9f34b-931c-519f-a3ea-9002c5fffb78,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhbr:3721,Brieven,https://anet.be/record/opaclhobj/tg:lhbr:3721/N,314b362f-52ed-5d04-8de3-1e656ad8eeee,BE-ANN07/br/000003443,Letterenhuis,https://data.letterenhuis.be/ark:/24970/314b362f-52ed-5d04-8de3-1e656ad8eeee,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhbr:282525,Brieven,https://anet.be/record/opaclhobj/tg:lhbr:282525/N,a910bf47-9338-565a-a0fa-739407be5464,BE-ANN07/br/000271096,Letterenhuis,https://data.letterenhuis.be/ark:/24970/a910bf47-9338-565a-a0fa-739407be5464,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhbr:249421,Brieven,https://anet.be/record/opaclhobj/tg:lhbr:249421/N,91b16930-de8e-55a0-bcfa-b1a417332eff,BE-ANN07/br/000238313,Letterenhuis,https://data.letterenhuis.be/ark:/24970/91b16930-de8e-55a0-bcfa-b1a417332eff,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhbr:146781,Brieven,https://anet.be/record/opaclhobj/tg:lhbr:146781/N,a9876ef6-f99f-5757-a433-26ad93233fef,BE-ANN07/br/000138280,Letterenhuis,https://data.letterenhuis.be/ark:/24970/a9876ef6-f99f-5757-a433-26ad93233fef,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhbr:51041,Brieven,https://anet.be/record/opaclhobj/tg:lhbr:51041/N,9f1cba13-d3ea-5624-ab90-cf03f43ec91d,BE-ANN07/br/000049168,Letterenhuis,https://data.letterenhuis.be/ark:/24970/9f1cba13-d3ea-5624-ab90-cf03f43ec91d,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhbr:234111,Brieven,https://anet.be/record/opaclhobj/tg:lhbr:234111/N,6e488d18-5dca-5839-951a-8f7edb07961c,BE-ANN07/br/000223296,Letterenhuis,https://data.letterenhuis.be/ark:/24970/6e488d18-5dca-5839-951a-8f7edb07961c,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhbr:262771,Brieven,https://anet.be/record/opaclhobj/tg:lhbr:262771/N,08b5b18b-fa88-5b47-b703-dd3f90bbdbde,BE-ANN07/br/000251531,Letterenhuis,https://data.letterenhuis.be/ark:/24970/08b5b18b-fa88-5b47-b703-dd3f90bbdbde,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
